##SALT3 INPUT
[pipeline]
n_lcfit = 20 
n_biascorlcfit = 20 
genversion_split = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
genversion_split_biascor = 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
plotdir = figs
[data]
snlists=SALT3_training_data/SALT3_training.LIST
[training]
pro=trainsalt
proargs = -c
baseinput=Train_SALT3.conf,
labels=main,
prooptions =
#--stage validate
outinput=pipeline/Train_SALT3.conf,
set_key=4
        main trainparams fitsalt2 False
        main trainparams fit_tpkoff False
        main trainparams gaussnewton_maxiter 15
        main iodata maxsn 500
    
[lcfitting]
pro=snlc_fit.exe
baseinput=lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml,lcfitting/snfit_base.nml
outinput=pipeline/Hamuy1996_LC.NML,pipeline/Riess1999_LC.NML,pipeline/SNLS3_LC.NML,pipeline/SDSS.NML,pipeline/Hicken2009_LC.NML,pipeline/OTHER_LOWZ_LC.NML,pipeline/Jha2006_LC.NML,pipeline/Pantheon_PS1MD_TEXT.NML,pipeline/Foundation_DR1.NML,pipeline/DES-SN3YR_DES.NML,pipeline/Hamuy1996_LC_SALT2.NML,pipeline/Riess1999_LC_SALT2.NML,pipeline/SNLS3_LC_SALT2.NML,pipeline/SDSS_SALT2.NML,pipeline/Hicken2009_LC_SALT2.NML,pipeline/OTHER_LOWZ_LC_SALT2.NML,pipeline/Jha2006_LC_SALT2.NML,pipeline/Pantheon_PS1MD_TEXT_SALT2.NML,pipeline/Foundation_DR1_SALT2.NML,pipeline/DES-SN3YR_DES_SALT2.NML
batch=False
validplots=False
prooptions=
set_key=4
     0 FITINP FILTLIST_FIT UBVRIfhjkl
     0 SNLCINP KCOR_FILE /Users/David/Dropbox/research/SALTShaker/examples/SALT3TRAIN_K21_PUBLIC/kcor/SALT3TRAIN_K21/kcor_OTHER_LOWZ.fits
     0 FITINP FITMODEL_NAME $SALT3/examples/SALT3_training_v1.0/SALT3.K21
     0 SNLCINP VERSION_PHOTOMETRY SALT3TRAIN_K21_Hamuy1996
