SURVEY: SNLS3_LC
SNID: 05D3mx
IAUC: UNKNOWN
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0119 MW E(B-V)
REDSHIFT_HELIO: 0.47 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53569.686

NOBS: 70
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 53527.350 g  0.8052 0.6105
OBS: 53531.360 g  -1.0536 0.7852
OBS: 53551.330 g  2.1677 0.6165
OBS: 53553.410 g  5.0973 0.8455
OBS: 53563.340 g  47.4011 2.2615
OBS: 53578.340 g  19.4806 1.7994
OBS: 53583.300 g  11.1209 0.9475
OBS: 53586.290 g  9.5607 0.8669
OBS: 53743.630 g  0.7751 0.6458
OBS: 53766.610 g  0.0073 0.7210
OBS: 53769.600 g  0.2645 0.7854
OBS: 53772.620 g  -1.1357 0.9340
OBS: 53799.480 g  0.0997 0.8087
OBS: 53847.570 g  -3.6491 1.6295
OBS: 53851.420 g  0.1825 0.9722
OBS: 53853.430 g  -0.2928 0.8126
OBS: 53855.410 g  -0.3119 0.6840
OBS: 53859.360 g  -0.5199 0.9050
OBS: 53531.290 i  -1.7344 1.9681
OBS: 53534.310 i  -0.7769 1.5235
OBS: 53553.320 i  15.3541 1.9256
OBS: 53558.260 i  43.7524 1.3788
OBS: 53563.310 i  67.1099 2.8879
OBS: 53565.270 i  81.1563 2.7300
OBS: 53578.320 i  72.6711 3.0279
OBS: 53583.260 i  60.6223 2.0336
OBS: 53737.610 i  -0.3566 1.8310
OBS: 53742.630 i  2.0723 1.2767
OBS: 53766.580 i  4.6890 1.5746
OBS: 53769.580 i  4.7033 2.3444
OBS: 53772.590 i  -1.6231 1.8659
OBS: 53791.580 i  0.2301 1.5129
OBS: 53798.580 i  -0.9120 1.2881
OBS: 53801.570 i  3.0887 2.0672
OBS: 53847.450 i  -2.9631 1.6264
OBS: 53851.320 i  1.4677 1.8653
OBS: 53855.360 i  -1.0846 2.8042
OBS: 53859.320 i  1.1090 2.1788
OBS: 53527.330 r  -0.1066 0.8949
OBS: 53531.380 r  1.2827 1.1835
OBS: 53534.350 r  -0.9644 1.3265
OBS: 53550.400 r  3.8861 0.9078
OBS: 53553.390 r  16.5278 1.0580
OBS: 53558.310 r  49.6059 1.0186
OBS: 53565.310 r  93.2567 1.3501
OBS: 53578.270 r  71.8678 2.7175
OBS: 53583.280 r  54.2036 1.3716
OBS: 53586.260 r  40.1077 1.6289
OBS: 53737.630 r  2.3205 1.0038
OBS: 53743.650 r  3.1491 0.8315
OBS: 53766.640 r  1.0845 0.8204
OBS: 53769.560 r  -0.6181 1.5068
OBS: 53772.630 r  1.7345 1.8420
OBS: 53791.630 r  -0.3233 1.4702
OBS: 53799.460 r  0.2877 1.0532
OBS: 53848.440 r  -0.6348 1.5480
OBS: 53851.400 r  1.2529 0.9615
OBS: 53855.390 r  0.0106 0.9736
OBS: 53859.340 r  -0.3116 1.1226
OBS: 53527.380 z  -1.9751 3.0611
OBS: 53534.380 z  3.9312 4.4407
OBS: 53551.350 z  9.0413 3.4510
OBS: 53552.360 z  9.6062 4.2434
OBS: 53558.340 z  44.3608 3.0790
OBS: 53564.260 z  63.6071 16.5992
OBS: 53565.350 z  71.0543 4.3054
OBS: 53799.570 z  -0.6412 3.8098
OBS: 53848.470 z  3.6239 4.9749
OBS: 53855.450 z  2.8190 3.5162
OBS: 53859.400 z  -5.4686 3.1288
END_PHOTOMETRY:

# =============================================
