SURVEY: SNLS3_LC
SNID: 06D4ce
IAUC: UNKNOWN
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0279 MW E(B-V)
REDSHIFT_HELIO: 0.85 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53927.387

NOBS: 82
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 53915.560 g  0.3967 3.3294
OBS: 53916.510 g  6.7344 1.7283
OBS: 53921.510 g  3.3433 1.5394
OBS: 53935.560 g  2.4203 1.5104
OBS: 53939.520 g  1.9333 1.1170
OBS: 53943.520 g  -1.3976 1.1353
OBS: 53946.450 g  -0.0253 1.6414
OBS: 53963.450 g  1.6756 1.6769
OBS: 53967.440 g  -0.2238 1.0350
OBS: 53970.460 g  0.4580 0.8735
OBS: 53975.440 g  1.0694 1.0418
OBS: 53979.420 g  -0.6441 1.0051
OBS: 53992.380 g  0.6181 1.1902
OBS: 53996.380 g  -1.3875 1.1269
OBS: 54000.390 g  -0.8461 1.1065
OBS: 54019.310 g  3.3203 1.1739
OBS: 54023.270 g  -0.8209 1.1050
OBS: 54031.300 g  0.0974 1.7232
OBS: 54035.260 g  4.7101 1.2468
OBS: 54053.310 g  0.9531 1.8146
OBS: 54058.260 g  2.1611 1.2722
OBS: 53888.600 i  -0.3179 2.3973
OBS: 53908.600 i  27.4115 6.4260
OBS: 53909.550 i  29.4181 2.7021
OBS: 53913.510 i  33.0934 4.7322
OBS: 53914.540 i  37.8647 5.8593
OBS: 53915.540 i  39.4684 3.8591
OBS: 53920.500 i  43.2749 2.9450
OBS: 53935.520 i  38.5054 2.5323
OBS: 53939.480 i  26.7642 2.8052
OBS: 53943.430 i  28.0897 1.5807
OBS: 53946.580 i  29.7491 9.1081
OBS: 53963.400 i  11.9480 2.1619
OBS: 53967.390 i  9.8806 1.7731
OBS: 53970.370 i  9.9145 1.8053
OBS: 53975.390 i  6.9358 1.8747
OBS: 53979.360 i  5.8931 1.3638
OBS: 53992.320 i  3.2839 1.8307
OBS: 53996.330 i  2.3225 2.2910
OBS: 54000.280 i  5.0120 1.6407
OBS: 54019.250 i  3.6029 1.7169
OBS: 54023.220 i  4.4260 2.2706
OBS: 54031.230 i  -1.0037 3.5228
OBS: 54035.210 i  4.9317 2.4656
OBS: 54053.240 i  -7.0565 2.8474
OBS: 54058.210 i  2.6381 2.3518
OBS: 53889.610 r  3.3190 2.2961
OBS: 53909.590 r  14.6863 2.0345
OBS: 53915.580 r  23.9639 1.9736
OBS: 53920.560 r  27.4351 2.6380
OBS: 53935.490 r  21.8556 2.3485
OBS: 53939.500 r  13.9977 1.7511
OBS: 53943.500 r  11.9986 1.6459
OBS: 53946.470 r  8.4424 1.4149
OBS: 53963.430 r  1.1556 2.1014
OBS: 53967.410 r  1.5565 1.3623
OBS: 53970.410 r  1.8314 1.4790
OBS: 53975.410 r  0.8963 1.3750
OBS: 53979.400 r  1.3073 1.5072
OBS: 53992.360 r  -1.4036 1.6873
OBS: 53996.360 r  0.9135 1.4308
OBS: 54000.320 r  0.5048 1.4027
OBS: 54019.290 r  0.8083 1.5873
OBS: 54023.250 r  -3.4340 1.8718
OBS: 54031.270 r  4.1315 2.7357
OBS: 54035.240 r  -1.9225 1.8808
OBS: 54053.290 r  -1.6807 2.5485
OBS: 54058.240 r  0.0543 1.8161
OBS: 53909.600 z  23.4207 10.8383
OBS: 53911.570 z  31.3750 6.2967
OBS: 53921.540 z  38.1834 9.2412
OBS: 53935.590 z  41.4361 6.2394
OBS: 53943.550 z  30.0135 4.3544
OBS: 53946.500 z  21.8862 5.1382
OBS: 53963.490 z  20.4928 4.4902
OBS: 53972.350 z  -5.1590 9.7967
OBS: 53973.480 z  11.1304 3.3663
OBS: 53979.450 z  2.1096 4.3959
OBS: 53993.350 z  -6.6274 3.8704
OBS: 54000.350 z  1.4841 3.8437
OBS: 54019.340 z  -7.9631 4.8397
OBS: 54031.330 z  5.5569 6.3503
END_PHOTOMETRY:

# =============================================
