SURVEY: SDSS
SNID: 16073.0
IAUC: UNKNOWN
PHOTOMETRY_VERSION: SDSS
MWEBV: 0.0205 MW E(B-V)
REDSHIFT_HELIO: 0.146 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54051.391

NOBS: 220
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 53974.332 g  -14.8500 13.8190
OBS: 53975.328 g  -16.1400 14.6280
OBS: 53977.383 g  2.8500 13.8880
OBS: 53989.336 g  -5.5100 34.3340
OBS: 53990.340 g  -55.6100 31.7120
OBS: 53994.352 g  0.6900 16.4050
OBS: 53996.336 g  -11.4400 15.6960
OBS: 53997.434 g  43.7200 16.9990
OBS: 53998.301 g  -7.9400 14.1950
OBS: 54000.313 g  32.5100 18.1360
OBS: 54005.332 g  7.0200 13.6260
OBS: 54006.258 g  -44.3900 19.1460
OBS: 54007.363 g  8.5400 15.4500
OBS: 54008.293 g  -22.1900 15.3150
OBS: 54009.285 g  -10.1900 16.4660
OBS: 54010.289 g  -41.8500 19.6460
OBS: 54011.352 g  -13.6300 23.4410
OBS: 54012.281 g  -60.7700 37.8400
OBS: 54020.285 g  1.0200 23.4080
OBS: 54021.355 g  4.7700 21.8620
OBS: 54024.367 g  9.5400 23.0820
OBS: 54025.352 g  -32.5800 18.7650
OBS: 54029.281 g  -15.8500 17.8820
OBS: 54030.281 g  1.0300 13.8990
OBS: 54031.266 g  8.2100 14.3690
OBS: 54035.355 g  91.2500 25.0140
OBS: 54036.270 g  186.2901 19.4830
OBS: 54037.262 g  236.6901 17.1890
OBS: 54039.270 g  421.7002 27.0510
OBS: 54040.273 g  482.4502 38.8880
OBS: 54041.238 g  556.0202 43.9940
OBS: 54047.305 g  817.9903 76.3690
OBS: 54048.262 g  922.9104 28.8970
OBS: 54049.301 g  829.3703 45.7060
OBS: 54053.266 g  844.0204 19.0720
OBS: 54054.285 g  844.0204 30.3050
OBS: 54055.262 g  824.0403 19.3750
OBS: 54056.266 g  769.7303 24.6390
OBS: 54058.262 g  719.0103 20.8960
OBS: 54059.262 g  678.4603 27.2410
OBS: 54060.281 g  648.5103 19.2620
OBS: 54062.266 g  579.5603 21.3790
OBS: 54063.250 g  559.1002 18.1110
OBS: 54068.246 g  333.0301 51.8330
OBS: 53974.332 r  -42.1100 20.4680
OBS: 53975.328 r  -21.2700 22.7560
OBS: 53977.383 r  -22.0100 21.2710
OBS: 53989.336 r  -24.3100 35.3830
OBS: 53990.340 r  -26.0400 34.0860
OBS: 53994.352 r  -4.0400 21.6850
OBS: 53996.336 r  0.6400 28.4000
OBS: 53997.434 r  16.3000 23.5840
OBS: 53998.301 r  33.2800 21.6940
OBS: 54000.313 r  18.8800 25.4250
OBS: 54005.332 r  -6.5300 19.3970
OBS: 54006.258 r  -34.6100 26.4770
OBS: 54007.363 r  -3.0600 21.6660
OBS: 54008.293 r  16.0100 21.6270
OBS: 54009.285 r  -54.0500 23.8550
OBS: 54010.289 r  -8.0300 23.6920
OBS: 54011.352 r  -19.9600 27.1500
OBS: 54012.281 r  21.5100 36.3220
OBS: 54020.285 r  -44.2000 28.5380
OBS: 54021.355 r  13.1900 26.1570
OBS: 54024.367 r  -3.2800 33.6720
OBS: 54025.352 r  -7.9200 27.0400
OBS: 54029.281 r  55.5400 29.0900
OBS: 54030.281 r  15.5100 20.3080
OBS: 54031.266 r  40.8700 24.6140
OBS: 54035.355 r  78.0700 31.8780
OBS: 54036.270 r  158.9100 30.1670
OBS: 54037.262 r  221.3800 23.9710
OBS: 54039.270 r  448.4199 30.2220
OBS: 54040.273 r  503.2099 44.2980
OBS: 54041.238 r  513.5299 46.4510
OBS: 54047.305 r  1016.5698 75.8720
OBS: 54048.262 r  900.1698 30.6640
OBS: 54049.301 r  868.3898 56.7180
OBS: 54052.266 r  900.1698 43.6080
OBS: 54053.266 r  885.3598 25.3780
OBS: 54054.285 r  957.4798 57.9050
OBS: 54055.262 r  883.7298 27.3990
OBS: 54056.266 r  814.1499 35.0520
OBS: 54058.262 r  768.9399 31.5470
OBS: 54059.262 r  752.8199 33.4790
OBS: 54060.281 r  705.1399 36.4600
OBS: 54062.266 r  707.0899 32.9820
OBS: 54063.250 r  643.0599 26.9730
OBS: 54068.246 r  490.3899 44.1600
OBS: 53974.332 i  -19.9800 31.8230
OBS: 53975.328 i  10.1400 34.9140
OBS: 53977.383 i  -55.0200 33.1750
OBS: 53989.336 i  16.7200 41.2070
OBS: 53990.340 i  36.2300 43.7460
OBS: 53994.352 i  -6.3400 35.3280
OBS: 53996.336 i  -7.2800 38.4470
OBS: 53997.434 i  -21.4300 33.6720
OBS: 53998.301 i  -11.5300 34.0030
OBS: 54000.313 i  17.2000 41.5930
OBS: 54005.332 i  -38.5900 29.6420
OBS: 54006.258 i  -114.7700 50.9500
OBS: 54007.363 i  -4.9300 34.6930
OBS: 54008.293 i  18.3100 34.0030
OBS: 54009.285 i  -28.4100 37.6460
OBS: 54010.289 i  -21.4300 33.3680
OBS: 54011.352 i  -13.3900 37.0390
OBS: 54012.281 i  -43.1500 43.3870
OBS: 54020.285 i  -10.7700 40.6820
OBS: 54021.355 i  12.4000 41.5660
OBS: 54024.367 i  -55.3900 52.7710
OBS: 54025.352 i  -15.0300 38.7780
OBS: 54029.281 i  69.7600 51.7500
OBS: 54030.281 i  18.7200 30.9670
OBS: 54031.266 i  -1.2000 35.4940
OBS: 54035.355 i  107.4200 46.4780
OBS: 54036.270 i  150.3499 42.6970
OBS: 54037.262 i  209.5199 34.6660
OBS: 54039.270 i  275.0099 39.0820
OBS: 54040.273 i  536.4298 48.5480
OBS: 54041.238 i  481.9398 54.8690
OBS: 54047.305 i  779.4097 79.3500
OBS: 54048.262 i  732.0497 37.0390
OBS: 54049.301 i  718.0097 65.6880
OBS: 54052.266 i  719.9897 56.7730
OBS: 54053.266 i  744.2997 35.8520
OBS: 54054.285 i  770.8397 63.3700
OBS: 54055.262 i  698.4097 36.5150
OBS: 54056.266 i  743.6097 45.7060
OBS: 54058.262 i  657.7697 43.3870
OBS: 54059.262 i  621.7798 48.9900
OBS: 54060.281 i  685.6497 39.0260
OBS: 54062.266 i  489.5698 47.2790
OBS: 54063.250 i  504.2498 38.6950
OBS: 54068.246 i  461.4698 55.2550
OBS: 53974.332 z  99.8400 94.9440
OBS: 53975.328 z  69.6700 106.5910
OBS: 53977.383 z  100.5000 110.7591
OBS: 53989.336 z  -141.1701 104.7970
OBS: 53990.340 z  -4.2400 129.7201
OBS: 53994.352 z  27.4100 113.5191
OBS: 53996.336 z  102.9800 132.7281
OBS: 53997.434 z  -402.2102 105.8460
OBS: 53998.301 z  21.7400 105.3490
OBS: 54000.313 z  -51.0000 141.7811
OBS: 54005.332 z  138.7001 92.7360
OBS: 54006.258 z  -170.0301 111.5591
OBS: 54007.363 z  32.2700 121.1641
OBS: 54008.293 z  183.1501 108.4681
OBS: 54009.285 z  -2.1900 114.4301
OBS: 54010.289 z  -20.5200 96.2410
OBS: 54011.352 z  -32.8500 112.2221
OBS: 54012.281 z  192.4001 119.6181
OBS: 54020.285 z  -178.2401 144.1551
OBS: 54021.355 z  73.0000 120.3361
OBS: 54024.367 z  -251.2601 178.6001
OBS: 54025.352 z  -138.1701 130.9901
OBS: 54029.281 z  51.8400 200.5141
OBS: 54030.281 z  149.5401 102.3680
OBS: 54031.266 z  -144.9601 118.3491
OBS: 54035.355 z  -38.8900 162.8401
OBS: 54036.270 z  549.9803 136.9791
OBS: 54037.262 z  443.3802 118.0731
OBS: 54039.270 z  269.4201 115.2301
OBS: 54040.273 z  444.6802 138.2761
OBS: 54041.238 z  313.0001 140.4841
OBS: 54047.305 z  920.4904 217.5981
OBS: 54048.262 z  525.3302 106.9220
OBS: 54049.301 z  564.3103 188.8121
OBS: 54052.266 z  -55.9200 227.0381
OBS: 54053.266 z  541.6403 120.3081
OBS: 54054.285 z  220.2201 284.0041
OBS: 54055.262 z  630.5803 114.1261
OBS: 54056.266 z  479.0602 158.2861
OBS: 54058.262 z  88.8500 145.1481
OBS: 54059.262 z  321.0502 144.8721
OBS: 54060.281 z  446.8402 121.0541
OBS: 54062.266 z  250.6801 147.5501
OBS: 54063.250 z  295.2401 120.2531
OBS: 54068.246 z  421.5002 163.6131
OBS: 53974.332 u  -2.9300 37.8950
OBS: 53975.328 u  -63.0200 42.0070
OBS: 53977.383 u  -56.6300 36.4600
OBS: 53989.336 u  49.3200 82.6340
OBS: 53990.340 u  -179.4899 73.9680
OBS: 53994.352 u  -21.2800 41.1240
OBS: 53996.336 u  43.8600 48.1340
OBS: 53997.434 u  132.3200 48.1900
OBS: 53998.301 u  54.4200 39.2750
OBS: 54000.313 u  3.4300 48.8800
OBS: 54005.332 u  -25.5200 36.9010
OBS: 54008.293 u  0.8200 40.0750
OBS: 54009.285 u  37.8900 44.0770
OBS: 54010.289 u  -24.5100 43.0560
OBS: 54011.352 u  23.0400 53.4890
OBS: 54012.281 u  -40.3500 83.0210
OBS: 54020.285 u  -100.1900 61.9900
OBS: 54021.355 u  44.5900 66.3780
OBS: 54024.367 u  -188.2199 97.1800
OBS: 54025.352 u  48.3800 49.9280
OBS: 54029.281 u  164.3199 64.8320
OBS: 54030.281 u  -36.3300 39.6610
OBS: 54031.266 u  23.5700 41.9520
OBS: 54035.355 u  24.7300 70.1040
OBS: 54036.270 u  -16.4300 52.8820
OBS: 54037.262 u  120.5200 42.3660
OBS: 54040.273 u  232.2899 81.9440
OBS: 54041.238 u  412.9499 89.6170
OBS: 54048.262 u  414.4799 71.1530
OBS: 54049.301 u  242.1899 134.2460
OBS: 54052.266 u  262.2799 63.5350
OBS: 54053.266 u  254.6199 46.6440
OBS: 54054.285 u  131.8200 81.0890
OBS: 54055.262 u  175.2499 48.8800
OBS: 54056.266 u  160.3699 59.5330
OBS: 54058.262 u  184.2999 54.1510
OBS: 54059.262 u  182.0799 95.8820
OBS: 54060.281 u  100.7000 59.9750
OBS: 54062.266 u  13.1700 56.9940
OBS: 54063.250 u  96.6400 46.0920
OBS: 54068.246 u  122.8200 105.0460
END_PHOTOMETRY:

# =============================================
