SURVEY: Hicken2009_LC
SNID: sn2006le
IAUC: UNKNOWN
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.408 MW E(B-V)
REDSHIFT_HELIO: 0.017432 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54048.514

NOBS: 228
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 54043.400 l  25211.5776 464.3973
OBS: 54044.334 l  25894.0523 453.1200
OBS: 54046.379 l  25327.9496 699.8112
OBS: 54050.474 l  23702.8203 349.2848
OBS: 54051.468 l  22740.5008 356.0480
OBS: 54052.390 l  21008.7411 986.8016
OBS: 54053.424 l  21340.2752 334.1247
OBS: 54055.318 l  19319.6841 249.1080
OBS: 54056.386 l  18163.5208 351.3006
OBS: 54062.227 l  11857.6885 207.4977
OBS: 54066.298 l  11481.5369 243.2134
OBS: 54069.287 l  12393.6731 251.1206
OBS: 54070.289 l  12776.1507 247.1035
OBS: 54071.364 l  12823.3063 259.8258
OBS: 54072.282 l  12694.0446 280.5892
OBS: 54076.267 l  14348.2859 277.5102
OBS: 54077.396 l  15024.4999 456.6396
OBS: 54078.331 l  14601.5859 255.5132
OBS: 54080.360 l  14190.5761 209.1123
OBS: 54084.335 l  11137.8154 205.1586
OBS: 54086.240 l  10261.2443 170.1109
OBS: 54089.403 l  8550.6676 173.2536
OBS: 54091.371 l  7530.0875 319.0197
OBS: 54095.279 l  6309.5738 180.1446
OBS: 54100.194 l  4733.6923 274.6630
OBS: 54100.297 l  5330.8937 196.3901
OBS: 54101.276 l  4537.3265 129.5452
OBS: 54114.331 l  2836.6126 154.1387
OBS: 54117.247 l  2908.0376 144.6283
OBS: 54117.279 l  2868.1378 81.8882
OBS: 54126.340 l  2305.6853 125.2886
OBS: 54137.157 l  1514.9560 238.5919
OBS: 54138.134 l  1357.6881 228.8288
OBS: 54139.172 l  1601.0321 277.2155
OBS: 54140.224 l  1249.6835 215.2292
OBS: 54144.134 l  1251.9876 186.7990
OBS: 54148.137 l  1000.0001 177.7530
OBS: 54149.100 l  1376.5755 221.8695
OBS: 54152.199 l  949.7297 173.1908
OBS: 54153.123 l  912.0109 173.8721
OBS: 54156.201 l  935.8366 187.0335
OBS: 54160.154 l  819.5964 172.8603
OBS: 54161.141 l  1023.2930 224.3038
OBS: 54166.118 l  968.2779 189.9500
OBS: 54170.137 l  666.8068 148.6192
OBS: 54176.140 l  803.1562 202.6797
OBS: 54036.482 k  12473.8358 390.6057
OBS: 54037.213 k  15459.6630 199.3369
OBS: 54039.445 k  22636.0182 333.5644
OBS: 54040.324 k  25351.2881 256.8339
OBS: 54040.346 k  25656.6552 283.5574
OBS: 54041.374 k  28313.9221 312.9255
OBS: 54043.402 k  32389.1861 357.9653
OBS: 54044.335 k  32181.0367 414.9423
OBS: 54046.381 k  37187.7606 684.9986
OBS: 54050.476 k  38976.2477 358.9712
OBS: 54051.469 k  37983.9416 384.8153
OBS: 54052.392 k  37256.3268 651.9485
OBS: 54053.426 k  36374.7511 402.0138
OBS: 54055.320 k  34166.4640 314.6731
OBS: 54056.387 k  31768.7433 351.1081
OBS: 54062.229 k  22222.8638 245.6071
OBS: 54066.300 k  19624.5647 216.8907
OBS: 54069.288 k  19444.6456 232.8107
OBS: 54070.290 k  18845.1689 260.3460
OBS: 54071.366 k  18620.8731 274.3972
OBS: 54072.284 k  17701.0910 277.1460
OBS: 54076.269 k  16611.1629 229.4832
OBS: 54077.398 k  15907.4307 366.2686
OBS: 54078.333 k  16113.8766 237.4541
OBS: 54080.361 k  14804.7140 218.1623
OBS: 54084.337 k  11577.1067 138.6127
OBS: 54086.242 k  10223.5102 141.2378
OBS: 54089.405 k  8904.3055 139.4147
OBS: 54091.373 k  7987.3006 308.9648
OBS: 54095.282 k  7138.3860 105.1913
OBS: 54100.299 k  5455.0663 190.9164
OBS: 54101.278 k  5597.5764 149.5057
OBS: 54114.333 k  3930.0677 101.3486
OBS: 54117.249 k  3784.4261 97.5928
OBS: 54117.282 k  3571.0837 78.9352
OBS: 54126.343 k  2964.8316 103.7632
OBS: 54137.160 k  1989.7570 71.4701
OBS: 54138.137 k  1986.0951 87.8013
OBS: 54139.175 k  1969.6998 92.5188
OBS: 54140.227 k  1891.4725 73.1659
OBS: 54141.171 k  1850.1206 80.0862
OBS: 54144.137 k  1786.4877 78.9770
OBS: 54148.140 k  1526.1599 73.0908
OBS: 54149.103 k  1498.3043 68.9969
OBS: 54152.202 k  1372.7771 83.4456
OBS: 54153.126 k  1377.8440 65.9877
OBS: 54156.204 k  1307.3746 67.4292
OBS: 54160.157 k  1243.9417 137.4804
OBS: 54162.185 k  1012.9781 104.4907
OBS: 54163.145 k  1171.6558 182.3670
OBS: 54166.121 k  1068.5627 78.7317
OBS: 54170.140 k  920.4496 66.1233
OBS: 54176.143 k  797.9947 65.4108
END_PHOTOMETRY:

# =============================================
