SURVEY: SNLS3_LC
SNID: 03D3cc
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0118 MW E(B-V)
REDSHIFT_HELIO: 0.4627 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 52781.322
FILTERS: griz

NOBS: 23
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

SPEC:   4298.38   4303.38 2.74770e-17 4.31900e-18 1
SPEC:   4303.38   4308.38 1.34180e-17 4.96200e-18 1
SPEC:   4308.38   4313.38 2.46760e-17 4.51700e-18 1
SPEC:   4313.38   4318.39 3.15370e-17 4.62600e-18 1
SPEC:   4318.39   4323.39 3.10370e-17 5.19200e-18 1
SPEC:   4323.39   4328.39 2.54580e-17 4.35000e-18 1
SPEC:   4328.39   4333.39 3.16210e-17 4.36800e-18 1
SPEC:   4333.39   4338.39 2.01020e-17 4.26800e-18 1
SPEC:   4338.39   4343.39 2.54320e-17 4.88000e-18 1
SPEC:   4343.39   4348.39 2.56730e-17 4.30800e-18 1
SPEC:   4348.39   4353.39 2.31000e-17 4.23900e-18 1
SPEC:   4353.39   4358.39 1.90950e-17 5.01400e-18 1
SPEC:   4358.39   4363.39 1.27500e-17 4.34000e-18 1
SPEC:   4363.39   4368.40 1.40560e-17 4.25300e-18 1
SPEC:   4368.40   4373.40 2.76790e-17 4.18600e-18 1
SPEC:   4373.40   4378.40 1.95800e-17 4.77000e-18 1
SPEC:   4378.40   4383.40 1.66320e-17 4.04700e-18 1
SPEC:   4383.40   4388.40 2.24350e-17 3.96800e-18 1
SPEC:   4388.40   4393.40 1.42050e-17 4.63000e-18 1
SPEC:   4393.40   4398.40 2.30180e-17 4.11400e-18 1
SPEC:   4398.40   4403.40 2.06190e-17 4.23200e-18 1
SPEC:   4403.40   4408.40 2.54610e-17 4.40100e-18 1
SPEC:   4408.40   4413.40 1.59140e-17 5.11600e-18 1
SPEC:   4413.40   4418.41 2.41810e-17 4.38600e-18 1
SPEC:   4418.41   4423.41 2.36240e-17 4.36300e-18 1
SPEC:   4423.41   4428.41 1.47880e-17 4.97300e-18 1
SPEC:   4428.41   4433.41 2.36890e-17 4.22800e-18 1
SPEC:   4433.41   4438.41 3.15870e-17 4.18300e-18 1
SPEC:   4438.41   4443.41 2.59830e-17 4.10000e-18 1
SPEC:   4443.41   4448.41 2.47870e-17 4.72400e-18 1
SPEC:   4448.41   4453.41 2.87850e-17 3.97300e-18 1
SPEC:   4453.41   4458.41 1.86310e-17 3.82700e-18 1
SPEC:   4458.41   4463.42 1.81280e-17 4.37200e-18 1
SPEC:   4463.42   4468.42 2.03410e-17 3.80400e-18 1
SPEC:   4468.42   4473.42 1.59040e-17 3.78400e-18 1
SPEC:   4473.42   4478.42 2.19740e-17 3.84100e-18 1
SPEC:   4478.42   4483.42 1.73610e-17 4.40800e-18 1
SPEC:   4483.42   4488.42 2.57860e-17 3.86900e-18 1
SPEC:   4488.42   4493.42 1.61850e-17 3.82500e-18 1
SPEC:   4493.42   4498.42 2.50960e-17 4.41400e-18 1
SPEC:   4498.42   4503.42 2.72750e-17 3.83500e-18 1
SPEC:   4503.42   4508.42 2.02830e-17 3.81700e-18 1
SPEC:   4508.42   4513.43 2.49810e-17 4.42000e-18 1
SPEC:   4513.43   4518.43 2.71470e-17 3.79900e-18 1
SPEC:   4518.43   4523.43 2.34900e-17 3.85300e-18 1
SPEC:   4523.43   4528.43 1.35090e-17 3.85600e-18 1
SPEC:   4528.43   4533.43 1.86600e-17 4.55200e-18 1
SPEC:   4533.43   4538.43 1.97530e-17 3.96500e-18 1
SPEC:   4538.43   4543.43 2.78650e-17 3.97500e-18 1
SPEC:   4543.43   4548.43 3.45860e-17 4.58200e-18 1
SPEC:   4548.43   4553.43 3.10690e-17 3.88000e-18 1
SPEC:   4553.43   4558.43 2.83050e-17 3.80100e-18 1
SPEC:   4558.43   4563.44 1.71310e-17 3.71600e-18 1
SPEC:   4563.44   4568.44 2.95300e-17 4.30100e-18 1
SPEC:   4568.44   4573.44 2.12750e-17 3.67500e-18 1
SPEC:   4573.44   4578.44 2.29970e-17 3.75100e-18 1
SPEC:   4578.44   4583.44 2.43020e-17 4.38300e-18 1
SPEC:   4583.44   4588.44 2.25960e-17 3.73400e-18 1
SPEC:   4588.44   4593.44 3.24010e-17 3.72900e-18 1
SPEC:   4593.44   4598.44 2.58030e-17 3.64600e-18 1
SPEC:   4598.44   4603.44 3.44250e-17 4.18600e-18 1
SPEC:   4603.44   4608.44 2.92520e-17 3.62300e-18 1
SPEC:   4608.44   4613.45 4.15360e-17 3.67800e-18 1
SPEC:   4613.45   4618.45 2.62510e-17 4.14600e-18 1
SPEC:   4618.45   4623.45 3.06440e-17 3.58700e-18 1
SPEC:   4623.45   4628.45 3.40570e-17 3.62600e-18 1
SPEC:   4628.45   4633.45 3.35480e-17 3.59400e-18 1
SPEC:   4633.45   4638.45 3.54470e-17 4.12200e-18 1
SPEC:   4638.45   4643.45 3.00960e-17 3.55900e-18 1
SPEC:   4643.45   4648.45 3.34780e-17 3.53000e-18 1
SPEC:   4648.45   4653.45 2.10840e-17 4.05000e-18 1
SPEC:   4653.45   4658.46 2.99090e-17 3.64800e-18 1
SPEC:   4658.46   4663.46 3.68910e-17 3.69700e-18 1
SPEC:   4663.46   4668.46 2.87950e-17 3.59300e-18 1
SPEC:   4668.46   4673.46 3.93990e-17 4.18100e-18 1
SPEC:   4673.46   4678.46 3.96630e-17 3.65000e-18 1
SPEC:   4678.46   4683.46 3.49820e-17 3.59600e-18 1
SPEC:   4683.46   4688.46 3.22870e-17 4.07900e-18 1
SPEC:   4688.46   4693.46 3.89930e-17 3.51500e-18 1
SPEC:   4693.46   4698.46 2.82960e-17 3.42400e-18 1
SPEC:   4698.46   4703.46 2.46950e-17 3.39200e-18 1
SPEC:   4703.46   4708.47 2.94790e-17 3.94500e-18 1
SPEC:   4708.47   4713.47 2.31580e-17 3.38900e-18 1
SPEC:   4713.47   4718.47 2.49190e-17 3.37500e-18 1
SPEC:   4718.47   4723.47 3.09730e-17 3.88700e-18 1
SPEC:   4723.47   4728.47 2.97240e-17 3.31500e-18 1
SPEC:   4728.47   4733.47 2.56790e-17 3.25900e-18 1
SPEC:   4733.47   4738.47 2.35220e-17 3.25600e-18 1
SPEC:   4738.47   4743.47 2.22550e-17 3.73400e-18 1
SPEC:   4743.47   4748.47 3.57570e-17 3.27400e-18 1
SPEC:   4748.47   4753.47 3.12730e-17 3.20100e-18 1
SPEC:   4753.47   4758.48 1.66730e-17 3.63800e-18 1
SPEC:   4758.48   4763.48 2.11270e-17 3.15600e-18 1
