SURVEY: SNLS3_LC
SNID: 04D2fp
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0197 MW E(B-V)
REDSHIFT_HELIO: 0.415 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53107.33
FILTERS: griz

NOBS: 56
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53084.460 g  NULL    2.8252 1.2566
OBS: 53105.380 g  NULL    81.0014 2.2154
OBS: 53114.320 g  NULL    51.7012 1.5096
OBS: 53118.370 g  NULL    38.0616 2.1266
OBS: 53120.370 g  NULL    38.2614 1.2132
OBS: 53136.330 g  NULL    8.2170 1.1812
OBS: 53148.290 g  NULL    1.2054 1.8737
OBS: 53330.640 g  NULL    0.7134 1.3044
OBS: 53331.610 g  NULL    -3.2023 2.7316
OBS: 53349.650 g  NULL    0.1730 1.0697
OBS: 53352.600 g  NULL    1.2902 0.9933
OBS: 53355.640 g  NULL    0.0510 1.0222
OBS: 53375.650 g  NULL    3.9052 2.1532
OBS: 53385.520 g  NULL    -1.3826 1.1148
OBS: 53080.450 i  NULL    6.0244 2.0695
OBS: 53083.390 i  NULL    9.6993 1.9408
OBS: 53093.370 i  NULL    59.7845 2.0594
OBS: 53105.320 i  NULL    128.4885 2.0573
OBS: 53114.260 i  NULL    121.6999 2.5197
OBS: 53118.350 i  NULL    114.8843 2.5288
OBS: 53135.260 i  NULL    66.2810 3.9544
OBS: 53136.270 i  NULL    56.9460 1.5400
OBS: 53147.340 i  NULL    38.1754 1.7589
OBS: 53329.590 i  NULL    2.5641 1.8039
OBS: 53330.580 i  NULL    2.8353 1.3810
OBS: 53352.540 i  NULL    1.1693 1.5020
OBS: 53355.590 i  NULL    2.8732 1.6850
OBS: 53357.620 i  NULL    -0.0141 3.3289
OBS: 53358.520 i  NULL    -0.8252 1.6715
OBS: 53374.610 i  NULL    0.9593 1.9034
OBS: 53378.460 i  NULL    1.8286 2.1708
OBS: 53385.560 i  NULL    3.0272 1.9785
OBS: 53390.420 i  NULL    2.3734 2.5666
OBS: 53081.360 r  NULL    2.2535 1.3426
OBS: 53084.440 r  NULL    5.6306 1.4910
