SURVEY: SNLS3_LC
SNID: 05D4cw
IAUC: UNKNOWN
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0256 MW E(B-V)
REDSHIFT_HELIO: 0.375 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53580.401

NOBS: 103
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 53551.600 g  1.7246 2.7993
OBS: 53554.600 g  -5.2017 1.2466
OBS: 53582.540 g  128.7231 2.8328
OBS: 53583.400 g  122.3025 1.8453
OBS: 53586.530 g  96.8852 1.8521
OBS: 53587.390 g  94.4002 1.3376
OBS: 53592.430 g  64.4753 1.5711
OBS: 53594.460 g  54.9728 1.9964
OBS: 53609.420 g  13.2982 1.9823
OBS: 53613.430 g  3.4408 2.1090
OBS: 53617.430 g  10.4528 1.4826
OBS: 53622.340 g  10.2883 2.0002
OBS: 53624.380 g  7.2989 1.8142
OBS: 53639.290 g  2.0380 1.7895
OBS: 53642.290 g  4.0387 1.6260
OBS: 53648.310 g  5.1283 1.4894
OBS: 53651.290 g  3.2010 1.7051
OBS: 53654.290 g  4.7093 3.6838
OBS: 53666.350 g  3.7507 2.0705
OBS: 53670.240 g  4.2491 1.3560
OBS: 53674.290 g  3.9401 1.4826
OBS: 53678.270 g  1.2462 1.8030
OBS: 53700.200 g  1.8732 1.2414
OBS: 53705.240 g  1.5835 1.3482
OBS: 53550.540 i  -7.1827 2.7221
OBS: 53554.550 i  -2.9826 3.1084
OBS: 53558.520 i  3.1621 2.7161
OBS: 53564.520 i  18.4643 6.2605
OBS: 53565.480 i  41.9444 2.7045
OBS: 53577.570 i  158.2772 2.7789
OBS: 53582.460 i  171.7661 4.7287
OBS: 53586.440 i  156.2853 2.1952
OBS: 53591.440 i  127.9259 5.9592
OBS: 53594.400 i  128.5440 4.1610
OBS: 53609.360 i  61.4602 2.7130
OBS: 53613.340 i  44.4931 4.4574
OBS: 53617.360 i  49.2315 2.1996
OBS: 53622.340 i  34.5441 3.2310
OBS: 53624.320 i  33.3039 3.3337
OBS: 53639.290 i  23.2798 4.2233
OBS: 53642.250 i  12.8382 5.9491
OBS: 53647.350 i  22.6883 2.4760
OBS: 53651.260 i  35.0489 4.9871
OBS: 53654.240 i  12.6758 4.1586
OBS: 53666.270 i  22.9663 4.1281
OBS: 53667.330 i  19.1460 4.6402
OBS: 53670.210 i  12.3349 3.5369
OBS: 53674.230 i  12.6243 3.0831
OBS: 53678.200 i  12.8739 5.3607
OBS: 53681.210 i  10.5935 2.6866
OBS: 53699.220 i  11.4244 2.2741
OBS: 53705.220 i  10.8307 3.6976
OBS: 53709.210 i  18.4023 6.5757
OBS: 53551.580 r  -2.0518 2.9817
OBS: 53554.570 r  3.2474 3.0338
OBS: 53558.560 r  -1.7916 3.0463
OBS: 53564.560 r  48.7303 6.6647
OBS: 53565.570 r  53.8935 2.6399
OBS: 53577.600 r  182.0042 5.3257
OBS: 53578.490 r  186.6803 4.7381
OBS: 53579.520 r  186.1886 7.4713
OBS: 53582.490 r  176.2784 3.4421
OBS: 53586.500 r  160.6320 2.3586
OBS: 53591.470 r  136.2142 4.7242
OBS: 53592.410 r  122.1345 2.1460
OBS: 53594.430 r  112.9997 3.0170
OBS: 53609.400 r  39.3405 2.6925
OBS: 53613.400 r  24.9362 3.0434
OBS: 53617.400 r  21.5977 2.3552
OBS: 53622.380 r  20.2810 3.3418
OBS: 53624.360 r  22.6029 3.1004
OBS: 53639.350 r  14.5165 3.4457
OBS: 53642.270 r  10.3984 2.9864
OBS: 53648.260 r  12.6734 2.5470
OBS: 53651.280 r  13.5877 2.7165
OBS: 53654.270 r  8.1903 4.3315
OBS: 53666.320 r  12.4580 3.3354
OBS: 53670.250 r  5.9839 2.7604
OBS: 53674.270 r  5.8260 3.1385
OBS: 53678.230 r  6.3565 4.0324
OBS: 53681.250 r  0.3380 4.7943
OBS: 53699.250 r  2.5813 2.1809
OBS: 53705.260 r  8.0073 2.3417
OBS: 53709.230 r  4.2254 4.4484
OBS: 53550.590 z  -1.0561 7.6441
OBS: 53558.590 z  -12.3808 8.2457
OBS: 53565.540 z  51.6089 7.7658
OBS: 53579.560 z  131.2587 8.5603
OBS: 53587.430 z  133.9049 5.8340
OBS: 53593.390 z  100.0209 5.0417
OBS: 53609.450 z  53.3900 8.0690
OBS: 53613.460 z  61.8613 7.9573
OBS: 53617.310 z  56.8860 4.9065
OBS: 53624.420 z  42.5536 6.2625
OBS: 53639.380 z  28.4195 8.7645
OBS: 53642.330 z  26.6527 6.5665
OBS: 53648.360 z  22.0096 7.0135
OBS: 53654.330 z  8.3981 7.9006
OBS: 53668.230 z  16.8240 9.9691
OBS: 53674.330 z  18.3523 8.3695
OBS: 53681.270 z  -16.5716 28.0434
OBS: 53682.220 z  18.8185 7.4396
OBS: 53700.230 z  9.4384 5.1178
END_PHOTOMETRY:

# =============================================
