SURVEY: SNLS3_LC
SNID: 04D3fk
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0079 MW E(B-V)
REDSHIFT_HELIO: 0.3578 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53126.914
FILTERS: griz

NOBS: 65
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

OBS: 53109.580 g  NULL    9.0196 1.7269
OBS: 53117.480 g  NULL    63.2060 0.8949
OBS: 53121.510 g  NULL    83.6463 0.8969
OBS: 53138.460 g  NULL    41.1052 1.0453
OBS: 53146.490 g  NULL    20.4858 0.9262
OBS: 53149.330 g  NULL    17.1812 0.6246
OBS: 53165.410 g  NULL    3.5182 0.7472
OBS: 53175.380 g  NULL    3.1354 0.9424
OBS: 53178.370 g  NULL    3.0316 0.9340
OBS: 53195.340 g  NULL    1.5112 1.0005
OBS: 53198.300 g  NULL    -1.6062 7.9733
OBS: 53200.260 g  NULL    2.5172 0.9032
OBS: 53390.650 g  NULL    -1.4931 0.9229
OBS: 53094.540 i  NULL    0.1634 1.4908
OBS: 53109.490 i  NULL    27.3346 2.0412
OBS: 53112.530 i  NULL    51.3830 2.7569
OBS: 53116.500 i  NULL    85.0785 2.0837
OBS: 53117.450 i  NULL    93.3196 4.1041
OBS: 53121.490 i  NULL    120.6830 1.9694
OBS: 53123.400 i  NULL    133.9682 3.0181
OBS: 53134.290 i  NULL    142.3885 1.9873
OBS: 53138.410 i  NULL    123.9251 2.6173
OBS: 53146.430 i  NULL    86.3978 2.1838
OBS: 53151.380 i  NULL    78.5992 2.7533
OBS: 53165.320 i  NULL    51.7243 2.6362
OBS: 53169.350 i  NULL    40.4928 2.1639
OBS: 53175.330 i  NULL    28.0704 1.8292
OBS: 53178.310 i  NULL    30.8495 1.9431
OBS: 53193.340 i  NULL    20.6552 1.6613
OBS: 53198.260 i  NULL    12.0686 16.4939
OBS: 53202.290 i  NULL    20.8901 1.6511
OBS: 53226.270 i  NULL    10.1039 1.9905
OBS: 53227.260 i  NULL    12.5769 2.8223
OBS: 53386.610 i  NULL    3.0110 1.5824
OBS: 53390.600 i  NULL    0.9555 2.3055
OBS: 53094.590 r  NULL    1.3322 1.4169
OBS: 53109.540 r  NULL    26.0156 1.5438
OBS: 53117.460 r  NULL    99.5500 1.2642
OBS: 53121.410 r  NULL    128.2757 1.1234
OBS: 53123.450 r  NULL    134.5123 1.5898
OBS: 53134.340 r  NULL    119.9339 1.3374
OBS: 53138.430 r  NULL    97.7435 1.3566
OBS: 53146.460 r  NULL    58.7997 1.4335
OBS: 53149.310 r  NULL    47.1476 1.0840
OBS: 53151.450 r  NULL    39.4330 1.6706
OBS: 53165.390 r  NULL    16.6729 0.8424
OBS: 53169.380 r  NULL    15.7766 1.3962
OBS: 53175.360 r  NULL    12.8129 1.1462
OBS: 53178.350 r  NULL    10.9504 0.9006
OBS: 53182.320 r  NULL    10.0657 1.4622
OBS: 53193.380 r  NULL    9.1562 1.8543
OBS: 53197.330 r  NULL    9.0915 1.3278
OBS: 53198.300 r  NULL    8.7471 1.4624
OBS: 53204.350 r  NULL    7.9129 1.2009
OBS: 53228.250 r  NULL    4.1693 1.5557
OBS: 53386.650 r  NULL    1.5556 1.1616
OBS: 53390.630 r  NULL    1.3239 1.5448
OBS: 53094.610 z  NULL    -3.1227 7.0697
OBS: 53123.490 z  NULL    124.2953 4.5240
OBS: 53134.380 z  NULL    122.3469 5.2064
OBS: 53151.330 z  NULL    68.1057 4.2485
OBS: 53169.430 z  NULL    45.5630 5.9954
OBS: 53177.380 z  NULL    25.3609 3.5976
OBS: 53182.360 z  NULL    17.4309 3.5979
OBS: 53204.300 z  NULL    15.1408 3.4270
END_PHOTOMETRY:

# =============================================

NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR DQ

SPECTRUM_ID: 1
SPECTRUM_MJD:  53117.00
SPECTRUM_NLAM:     1043
SPEC:   3738.05   3743.05 4.00400e-18 1.14890e-17 1
SPEC:   3743.05   3748.05 8.01500e-18 1.13600e-17 1
SPEC:   3748.05   3753.05 1.58000e-19 1.02640e-17 1
