SURVEY: Hicken2009_LC
SNID: sn2005ms
IAUC: UNKNOWN
PHOTOMETRY_VERSION: Hicken2009_LC
MWEBV: 0.034 MW E(B-V)
REDSHIFT_HELIO: 0.025204 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53744.315

NOBS: 91
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 53736.448 h  22019.1154 283.9145
OBS: 53739.481 h  29241.5145 323.1772
OBS: 53743.491 h  30507.0255 505.7455
OBS: 53755.432 h  18197.0030 351.9482
OBS: 53764.346 h  7571.8124 139.4728
OBS: 53766.313 h  6075.7496 173.4687
OBS: 53779.299 h  2943.0651 520.4281
OBS: 53788.278 h  1734.6021 154.9641
OBS: 53797.237 h  1564.5876 135.4526
OBS: 53803.258 h  1690.4404 345.6308
OBS: 53817.220 h  1351.4496 192.9262
OBS: 53818.206 h  1271.7445 216.6862
OBS: 53827.229 h  949.7293 172.3160
OBS: 53837.128 h  980.8438 195.1251
OBS: 53736.451 f  28470.8216 708.0101
OBS: 53736.455 f  27189.4235 676.1444
OBS: 53737.401 f  31477.4831 869.7550
OBS: 53739.484 f  36880.7717 883.1796
OBS: 53739.488 f  36374.7486 837.5595
OBS: 53743.494 f  39884.1187 991.8350
OBS: 53743.497 f  38618.9089 960.3719
OBS: 53744.453 f  36779.0070 880.7427
OBS: 53744.457 f  37774.6109 869.7926
OBS: 53745.373 f  34673.6850 894.1980
OBS: 53745.376 f  35448.6744 881.5348
OBS: 53764.349 f  5081.5944 332.3028
OBS: 53764.353 f  4587.7527 338.0381
OBS: 53765.313 f  4786.3009 343.8510
OBS: 53765.317 f  4516.4790 349.4258
OBS: 53766.316 f  4096.3778 309.3781
OBS: 53766.319 f  4176.3799 307.7270
OBS: 53800.222 f  2491.1507 809.9354
OBS: 53800.226 f  2502.6493 822.8940
OBS: 53736.443 j  21028.0912 271.1362
OBS: 53737.392 j  23593.9068 282.4898
OBS: 53743.485 j  31593.6538 465.5641
OBS: 53745.364 j  30846.0708 539.7754
OBS: 53755.427 j  23680.9906 348.9631
OBS: 53764.340 j  14615.0354 201.9067
OBS: 53766.307 j  12823.3014 200.7744
OBS: 53777.270 j  7177.9405 694.1427
OBS: 53781.383 j  5415.0174 239.3871
OBS: 53786.283 j  4768.6984 114.1912
OBS: 53787.251 j  4421.8078 175.1168
OBS: 53797.227 j  3432.4155 104.3214
OBS: 53807.235 j  2587.0205 266.8563
OBS: 53808.225 j  2644.8428 133.9745
OBS: 53818.200 j  1982.4391 199.0151
OBS: 53827.226 j  1741.0044 83.3802
OBS: 53828.201 j  1788.1332 388.6615
OBS: 53736.446 l  16398.3457 256.7489
OBS: 53739.479 l  19284.1289 248.6496
OBS: 53743.489 l  17684.7944 276.8908
OBS: 53744.448 l  17171.1756 316.2931
OBS: 53745.368 l  16734.0100 262.0044
OBS: 53755.431 l  9826.5264 235.3060
OBS: 53755.485 l  8904.3049 311.6329
OBS: 53764.344 l  9488.5538 209.7350
OBS: 53765.308 l  9576.3503 202.8558
OBS: 53766.311 l  10046.1585 194.3027
OBS: 53779.287 l  8287.0513 328.1921
OBS: 53781.387 l  6735.9681 223.3378
OBS: 53788.276 l  4924.9296 104.3248
OBS: 53797.226 l  3473.7617 105.5780
OBS: 53800.218 l  2973.0350 115.0029
OBS: 53803.256 l  2299.3232 476.4772
OBS: 53807.233 l  2568.0296 165.5609
OBS: 53808.222 l  2110.5713 176.8891
OBS: 53817.215 l  1664.1790 119.5513
OBS: 53818.204 l  1741.0050 251.7441
OBS: 53827.224 l  1294.1959 72.7092
OBS: 53829.207 l  1269.4045 177.7065
OBS: 53736.445 k  20361.0432 243.7828
OBS: 53737.395 k  23099.3645 297.8432
OBS: 53739.478 k  26375.4594 315.7934
OBS: 53743.487 k  29895.1015 413.0008
OBS: 53744.447 k  30394.8516 419.9049
OBS: 53745.366 k  29950.2210 468.9306
OBS: 53755.429 k  20304.8614 299.2124
OBS: 53755.483 k  20063.1924 295.6512
OBS: 53779.286 k  9061.4986 325.4800
OBS: 53781.385 k  7834.2970 230.8924
OBS: 53788.275 k  5823.7139 118.0001
OBS: 53797.224 k  4401.4932 97.2906
OBS: 53800.216 k  4591.9804 215.6899
OBS: 53807.230 k  3637.4751 190.9565
OBS: 53808.220 k  3650.9008 195.0238
OBS: 53817.212 k  2387.8114 107.7595
OBS: 53818.203 k  2403.2559 243.4739
OBS: 53827.221 k  1728.2240 85.9515
OBS: 53837.120 k  1310.9920 123.1572
END_PHOTOMETRY:

# =============================================
