SURVEY: OTHER_LOWZ_LC
SNID: sn2004eo
IAUC: UNKNOWN
PHOTOMETRY_VERSION: OTHER_LOWZ_LC
MWEBV: 0.109 MW E(B-V)
REDSHIFT_HELIO: 0.015701 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53278.566

NOBS: 350
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 53268.260 B  21399.3150 555.6339
OBS: 53269.180 B  26717.7498 479.2849
OBS: 53269.830 B  30116.1798 586.8811
OBS: 53270.020 B  30760.9594 553.6076
OBS: 53270.170 B  33884.4064 1366.9394
OBS: 53271.190 B  39192.2210 645.0915
OBS: 53271.860 B  41342.7989 642.5883
OBS: 53273.160 B  50211.1164 853.8607
OBS: 53274.190 B  54903.4809 1009.9073
OBS: 53274.870 B  57068.9498 771.3020
OBS: 53275.200 B  58237.1184 1112.6816
OBS: 53275.830 B  58505.9285 833.2095
OBS: 53276.200 B  61602.7186 1435.1528
OBS: 53276.870 B  62632.5192 978.2121
OBS: 53277.200 B  62517.2520 977.2537
OBS: 53277.860 B  61432.7392 819.0411
OBS: 53278.210 B  63328.5989 1092.1829
OBS: 53279.160 B  63212.0507 1304.8461
OBS: 53280.190 B  60925.6089 955.1962
OBS: 53280.890 B  59210.6566 705.4778
OBS: 53281.130 B  58237.1184 1063.4860
OBS: 53281.930 B  56389.7121 721.1614
OBS: 53282.180 B  56078.9504 2874.2663
OBS: 53282.480 B  54903.4809 1054.9208
OBS: 53283.160 B  52143.4642 681.1496
OBS: 53283.440 B  51951.7137 678.1433
OBS: 53283.860 B  48797.7592 913.3739
OBS: 53283.890 B  48887.7310 651.8494
OBS: 53284.830 B  43853.0576 608.4786
OBS: 53285.800 B  42894.3292 595.7681
OBS: 53288.130 B  33697.6701 561.1328
OBS: 53288.420 B  31885.9882 609.4988
OBS: 53289.800 B  25491.7631 534.9511
OBS: 53290.130 B  26399.7538 478.5830
OBS: 53290.420 B  24865.6533 454.3338
OBS: 53292.130 B  20192.9550 464.9128
OBS: 53292.920 B  17571.1376 451.3957
OBS: 53293.920 B  16383.2433 403.2849
OBS: 53294.120 B  16489.2108 550.4042
OBS: 53298.110 B  10148.4541 452.8762
OBS: 53299.130 B  9541.1317 2096.5649
OBS: 53299.820 B  9853.7120 375.4539
OBS: 53300.420 B  8394.5972 377.5590
OBS: 53300.870 B  8226.2113 476.6684
OBS: 53301.100 B  8582.2246 660.9106
OBS: 53302.400 B  7066.4270 413.6322
OBS: 53303.140 B  6969.4720 556.5326
OBS: 53303.460 B  6767.0577 442.1480
OBS: 53306.420 B  5425.0017 509.1798
OBS: 53306.440 B  5495.4072 467.9942
OBS: 53307.430 B  5114.4611 578.1562
OBS: 53307.450 B  5058.2452 607.4978
OBS: 53308.110 B  5380.2180 393.5547
OBS: 53308.830 B  4866.3112 363.5107
OBS: 53310.100 B  5296.6329 377.1655
OBS: 53311.090 B  4707.6035 597.5766
OBS: 53312.100 B  4790.7099 376.5386
OBS: 53314.090 B  3861.8898 374.4520
OBS: 53316.100 B  3705.0995 414.0832
OBS: 53317.830 B  3499.4507 424.7640
OBS: 53321.860 B  3247.8792 723.9351
OBS: 53324.770 B  3203.3167 388.8597
OBS: 53324.820 B  3000.5432 383.4669
OBS: 53325.730 B  3101.7007 391.4575
OBS: 53326.740 B  3076.0959 769.2545
OBS: 53328.090 B  3081.7675 458.2384
OBS: 53328.810 B  2981.2601 750.7787
OBS: 53331.090 B  3028.3068 1440.1417
OBS: 53334.030 B  3098.8451 863.2987
OBS: 53334.090 B  3006.0754 695.4133
OBS: 53334.770 B  2826.1804 362.2671
OBS: 53337.090 B  2652.1609 411.5800
OBS: 53339.080 B  2539.8021 494.2884
OBS: 53349.700 B  2218.1958 372.6870
OBS: 53352.700 B  2010.0177 388.8605
OBS: 53353.090 B  2011.8698 631.2326
OBS: 53478.390 B  536.5373 359.6645
OBS: 53502.400 B  239.4417 359.5659
OBS: 53503.410 B  222.0240 359.5659
OBS: 53504.150 B  180.9672 363.0145
OBS: 53506.140 B  206.8235 359.6806
OBS: 53550.990 B  106.8562 359.6891
OBS: 53584.020 B  68.9287 359.7567
OBS: 53592.190 B  60.8135 359.5922
OBS: 53605.030 B  47.4679 359.5637
OBS: 53624.050 B  40.0682 359.5583
OBS: 53268.260 I  32359.3790 1102.7105
OBS: 53269.180 I  38654.5102 462.8105
OBS: 53269.830 I  47951.2762 1059.9150
OBS: 53270.020 I  47730.9605 439.6021
OBS: 53270.170 I  46946.1702 864.7485
OBS: 53271.190 I  53901.4151 794.2913
OBS: 53271.860 I  62805.8605 636.2862
OBS: 53273.160 I  65644.7763 1874.2240
OBS: 53274.190 I  70794.6071 2086.4586
OBS: 53274.870 I  72912.1957 738.6734
OBS: 53275.200 I  70016.4639 1096.2478
OBS: 53275.830 I  73046.6273 672.7594
OBS: 53276.200 I  71055.9051 1243.4073
OBS: 53276.870 I  71978.0655 596.6262
OBS: 53277.200 I  70145.5583 1098.2690
OBS: 53277.860 I  71911.8028 662.3077
OBS: 53278.210 I  68422.6950 756.2076
OBS: 53279.160 I  65584.3436 906.0477
OBS: 53280.190 I  64506.0090 1188.2007
OBS: 53280.880 I  59374.5278 492.1555
OBS: 53280.890 I  56650.0334 626.0962
OBS: 53281.130 I  62115.5267 1201.3764
OBS: 53281.930 I  62979.6402 522.0382
OBS: 53282.180 I  62517.2940 633.3627
OBS: 53282.480 I  63738.2555 2054.6026
OBS: 53283.160 I  60145.0896 886.2980
OBS: 53283.440 I  60478.3838 612.7065
OBS: 53283.860 I  61263.2691 1015.6225
OBS: 53283.890 I  54802.4747 454.2577
OBS: 53284.830 I  56337.8371 622.6458
OBS: 53285.800 I  53112.9190 635.9210
OBS: 53288.130 I  50118.7427 1615.5777
OBS: 53288.420 I  49567.8606 547.8240
OBS: 53289.800 I  49705.0114 1007.1229
OBS: 53290.130 I  47424.2169 480.4547
OBS: 53290.420 I  47863.0283 484.9003
OBS: 53292.130 I  47687.0193 702.7159
OBS: 53292.920 I  48797.7915 584.2560
OBS: 53293.920 I  47424.2169 480.4547
OBS: 53294.120 I  49888.4687 689.2092
OBS: 53298.110 I  50442.9148 743.3268
OBS: 53299.820 I  47467.9169 480.8975
OBS: 53300.420 I  46644.4716 687.3529
OBS: 53300.870 I  48083.9536 664.2798
OBS: 53301.100 I  48797.7915 1572.9969
OBS: 53302.400 I  48573.5872 3936.7921
OBS: 53303.140 I  49613.5357 1188.0457
OBS: 53303.460 I  45750.9553 547.7762
OBS: 53306.440 I  39591.3376 474.0271
OBS: 53307.430 I  38089.0532 631.4403
OBS: 53308.110 I  36643.7719 573.7315
OBS: 53308.830 I  33052.1849 334.8517
OBS: 53310.100 I  32900.3232 909.0359
OBS: 53311.090 I  31739.5064 3361.6899
OBS: 53312.100 I  29730.3601 930.9765
OBS: 53314.090 I  25211.5868 650.1564
OBS: 53316.100 I  22761.4626 586.9726
OBS: 53317.830 I  21222.6780 684.1130
OBS: 53320.080 I  16919.9926 654.4992
OBS: 53324.770 I  15848.9382 481.6968
OBS: 53325.730 I  15718.1043 1592.4012
OBS: 53326.740 I  14335.0817 211.2418
OBS: 53328.090 I  13702.5114 454.3205
OBS: 53328.820 I  12519.8803 1499.0052
OBS: 53331.090 I  12280.0511 2035.7869
OBS: 53334.090 I  11759.8064 2166.1564
OBS: 53334.770 I  10804.3880 218.9185
OBS: 53337.090 I  9497.3004 323.6395
OBS: 53339.080 I  8519.2266 1020.0070
OBS: 53345.820 I  7365.4650 271.3437
OBS: 53349.700 I  5964.8588 181.2900
OBS: 53352.700 I  5525.8637 91.6078
