SURVEY: SDSS
SNID: 14979.0
IAUC: UNKNOWN
PHOTOMETRY_VERSION: SDSS
MWEBV: 0.0897 MW E(B-V)
REDSHIFT_HELIO: 0.1771 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 54025.652

NOBS: 127
NVAR: 4
VARLIST:  MJD   FLT       FLUXCAL   FLUXCALERR

OBS: 53975.453 g  2.1700 14.9040
OBS: 53994.477 g  -2.8200 16.9800
OBS: 53996.461 g  -22.5100 15.4150
OBS: 54005.477 g  17.8000 13.7720
OBS: 54008.422 g  31.6300 17.3520
OBS: 54009.488 g  95.3600 12.9800
OBS: 54010.414 g  145.0601 13.3530
OBS: 54012.410 g  309.3401 22.4830
OBS: 54020.449 g  744.6203 31.1050
OBS: 54024.496 g  815.7304 23.3500
OBS: 54028.484 g  726.3303 17.7300
OBS: 54030.441 g  630.8303 17.0130
OBS: 54035.484 g  480.2302 19.7150
OBS: 54037.391 g  427.1802 16.0770
OBS: 54040.406 g  333.0301 14.9590
OBS: 54041.441 g  303.1201 15.2160
OBS: 54047.438 g  108.6000 54.7860
OBS: 54049.434 g  127.3601 39.1370
OBS: 54050.391 g  124.0901 28.8970
OBS: 54053.410 g  42.6000 27.0230
OBS: 54056.398 g  81.3500 15.6800
OBS: 54059.391 g  54.0500 16.0690
OBS: 54061.402 g  75.9300 17.0020
OBS: 54062.398 g  46.0800 13.2310
OBS: 54064.395 g  25.6000 15.3430
OBS: 54068.379 g  62.1700 21.4950
OBS: 53975.453 r  7.7800 24.6220
OBS: 53994.477 r  -23.7200 23.6590
OBS: 53996.461 r  22.5300 25.1600
OBS: 54005.477 r  25.5600 23.4100
OBS: 54008.422 r  109.0500 33.8380
OBS: 54009.488 r  99.1200 20.9570
OBS: 54010.414 r  146.5300 20.1040
OBS: 54012.410 r  234.0300 32.6780
OBS: 54020.449 r  658.0399 32.0160
OBS: 54024.496 r  797.0799 33.4510
OBS: 54028.484 r  739.0699 30.2500
OBS: 54030.441 r  686.5399 25.3290
OBS: 54035.484 r  563.1199 34.8860
OBS: 54037.391 r  517.3299 23.0740
OBS: 54040.406 r  442.2599 25.2650
OBS: 54041.441 r  467.4299 26.2610
OBS: 54047.438 r  391.1899 50.3980
OBS: 54049.434 r  287.3700 42.0350
OBS: 54050.391 r  319.5899 38.6680
OBS: 54053.410 r  229.7300 35.1070
OBS: 54056.398 r  261.9900 27.1470
OBS: 54059.391 r  176.8500 26.5760
OBS: 54061.402 r  178.8400 28.2350
OBS: 54062.398 r  197.8800 23.7060
OBS: 54064.395 r  193.8900 27.9310
OBS: 54068.379 r  101.3000 33.0650
OBS: 53975.453 i  22.2700 37.8120
OBS: 53994.477 i  -17.3600 34.6660
OBS: 53996.461 i  37.2700 37.2600
OBS: 54005.477 i  28.2600 35.1620
OBS: 54008.422 i  66.0800 57.4630
OBS: 54009.488 i  125.3500 32.9540
OBS: 54010.414 i  155.5599 31.7950
OBS: 54012.410 i  243.4699 43.6910
OBS: 54020.449 i  600.3598 46.6990
OBS: 54024.496 i  692.6397 43.8010
OBS: 54028.484 i  632.7698 49.5970
OBS: 54030.441 i  636.8698 38.0330
OBS: 54035.484 i  553.0198 48.3550
OBS: 54037.391 i  463.5998 39.0540
