SURVEY: SNLS3_LC
SNID: 03D4dh
IAUC: UNKNOWN
RA: 0.0
DECL: 0.0
PHOTOMETRY_VERSION: SNLS3_LC
MWEBV: 0.0289 MW E(B-V)
REDSHIFT_HELIO: 0.627 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 52906.507
FILTERS: griz

NOBS: 67
NVAR: 5
VARLIST:  MJD   FLT       FIELD    FLUXCAL   FLUXCALERR

SPEC:   4513.05   4518.06 2.35980e-17 8.54500e-18 1
SPEC:   4518.06   4523.06 2.56160e-17 8.57500e-18 1
SPEC:   4523.06   4528.06 1.22830e-17 8.74600e-18 1
SPEC:   4528.06   4533.06 1.88850e-17 8.81300e-18 1
SPEC:   4533.06   4538.06 3.33920e-17 8.52900e-18 1
SPEC:   4538.06   4543.06 1.66000e-17 8.95100e-18 1
SPEC:   4543.06   4548.06 2.25230e-17 9.00100e-18 1
SPEC:   4548.06   4553.06 1.00280e-17 8.72300e-18 1
SPEC:   4553.06   4558.06 3.55220e-17 8.70800e-18 1
SPEC:   4558.06   4563.06 1.59570e-17 8.04400e-18 1
SPEC:   4563.06   4568.06 3.29360e-17 8.40700e-18 1
SPEC:   4568.06   4573.06 3.04180e-17 8.52800e-18 1
SPEC:   4573.06   4578.06 2.33150e-17 8.27600e-18 1
SPEC:   4578.06   4583.06 2.27000e-17 8.09800e-18 1
SPEC:   4583.06   4588.06 5.04920e-17 8.56900e-18 1
SPEC:   4588.06   4593.06 3.44750e-17 8.46300e-18 1
SPEC:   4593.06   4598.07 2.30660e-17 8.26500e-18 1
SPEC:   4598.07   4603.07 3.01750e-17 8.04300e-18 1
SPEC:   4603.07   4608.07 3.44350e-17 7.63000e-18 1
SPEC:   4608.07   4613.07 2.06260e-17 8.16500e-18 1
SPEC:   4613.07   4618.07 4.81700e-18 8.05900e-18 1
SPEC:   4618.07   4623.07 3.35090e-17 8.09400e-18 1
SPEC:   4623.07   4628.07 3.36960e-17 8.10400e-18 1
SPEC:   4628.07   4633.07 1.57270e-17 7.55900e-18 1
SPEC:   4633.07   4638.07 3.71850e-17 8.01500e-18 1
SPEC:   4638.07   4643.07 1.65100e-17 7.83700e-18 1
SPEC:   4643.07   4648.07 2.04670e-17 7.84000e-18 1
SPEC:   4648.07   4653.07 2.55810e-17 7.31600e-18 1
SPEC:   4653.07   4658.07 1.81990e-17 7.89700e-18 1
SPEC:   4658.07   4663.07 4.21060e-17 8.43000e-18 1
SPEC:   4663.07   4668.07 3.92840e-17 8.26500e-18 1
SPEC:   4668.07   4673.07 3.68290e-17 7.86300e-18 1
SPEC:   4673.07   4678.08 6.84160e-17 7.72700e-18 1
SPEC:   4678.07   4683.08 4.08600e-17 8.00600e-18 1
SPEC:   4683.08   4688.08 4.52590e-17 8.04300e-18 1
SPEC:   4688.08   4693.08 5.13920e-17 7.96300e-18 1
SPEC:   4693.08   4698.08 3.88850e-17 7.87800e-18 1
SPEC:   4698.08   4703.08 3.56110e-17 7.27500e-18 1
SPEC:   4703.08   4708.08 6.37580e-17 7.75600e-18 1
SPEC:   4708.08   4713.08 4.54770e-17 7.82600e-18 1
SPEC:   4713.08   4718.08 3.84160e-17 7.71800e-18 1
SPEC:   4718.08   4723.08 5.29440e-17 7.40800e-18 1
SPEC:   4723.08   4728.08 2.88610e-17 7.77200e-18 1
SPEC:   4728.08   4733.08 4.36400e-17 7.58800e-18 1
SPEC:   4733.08   4738.08 4.94880e-17 7.58800e-18 1
SPEC:   4738.08   4743.08 5.64430e-17 7.67400e-18 1
SPEC:   4743.08   4748.08 4.50710e-17 7.17200e-18 1
SPEC:   4748.08   4753.08 4.61150e-17 7.59000e-18 1
SPEC:   4753.08   4758.09 4.40190e-17 7.52000e-18 1
SPEC:   4758.08   4763.09 3.02980e-17 7.54200e-18 1
SPEC:   4763.09   4768.09 4.37710e-17 7.51400e-18 1
SPEC:   4768.09   4773.09 3.86210e-17 7.03200e-18 1
SPEC:   4773.09   4778.09 5.74070e-17 7.62700e-18 1
SPEC:   4778.09   4783.09 5.27360e-17 7.61500e-18 1
SPEC:   4783.09   4788.09 6.48550e-17 7.66100e-18 1
SPEC:   4788.09   4793.09 5.05750e-17 7.13200e-18 1
SPEC:   4793.09   4798.09 5.93320e-17 7.72900e-18 1
SPEC:   4798.09   4803.09 4.57600e-17 7.71500e-18 1
SPEC:   4803.09   4808.09 4.65850e-17 7.67800e-18 1
SPEC:   4808.09   4813.09 5.15470e-17 7.62100e-18 1
SPEC:   4813.09   4818.09 4.91450e-17 7.23800e-18 1
SPEC:   4818.09   4823.09 4.21480e-17 8.02400e-18 1
SPEC:   4823.09   4828.09 4.91230e-17 7.93000e-18 1
SPEC:   4828.09   4833.09 4.13290e-17 7.92800e-18 1
SPEC:   4833.09   4838.09 3.99390e-17 8.00500e-18 1
SPEC:   4838.09   4843.10 6.51400e-17 7.57600e-18 1
SPEC:   4843.10   4848.10 4.52790e-17 7.87600e-18 1
SPEC:   4848.10   4853.10 5.97940e-17 7.62900e-18 1
SPEC:   4853.10   4858.10 4.54300e-17 7.40700e-18 1
SPEC:   4858.10   4863.10 4.10160e-17 6.68700e-18 1
SPEC:   4863.10   4868.10 3.92910e-17 7.06500e-18 1
SPEC:   4868.10   4873.10 3.70900e-17 7.32600e-18 1
SPEC:   4873.10   4878.10 3.37130e-17 7.16900e-18 1
SPEC:   4878.10   4883.10 5.02840e-17 7.41200e-18 1
SPEC:   4883.10   4888.10 3.76360e-17 7.11900e-18 1
SPEC:   4888.10   4893.10 4.90890e-17 7.49300e-18 1
SPEC:   4893.10   4898.10 5.97800e-17 7.46900e-18 1
SPEC:   4898.10   4903.10 2.77310e-17 7.36700e-18 1
SPEC:   4903.10   4908.10 4.13300e-17 7.42300e-18 1
SPEC:   4908.10   4913.10 3.75280e-17 6.93100e-18 1
SPEC:   4913.10   4918.10 4.81530e-17 7.29300e-18 1
SPEC:   4918.10   4923.11 4.38350e-17 7.13100e-18 1
SPEC:   4923.11   4928.11 5.53970e-17 7.29400e-18 1
SPEC:   4928.11   4933.11 5.07260e-17 6.87400e-18 1
SPEC:   4933.11   4938.11 4.11230e-17 7.23100e-18 1
SPEC:   4938.11   4943.11 4.91150e-17 7.32000e-18 1
SPEC:   4943.11   4948.11 3.66200e-17 7.20200e-18 1
SPEC:   4948.11   4953.11 4.77380e-17 7.34500e-18 1
SPEC:   4953.11   4958.11 4.03650e-17 6.92200e-18 1
SPEC:   4958.11   4963.11 5.20250e-17 7.10300e-18 1
SPEC:   4963.11   4968.11 4.93040e-17 7.35300e-18 1
SPEC:   4968.11   4973.11 6.78800e-17 7.48700e-18 1
SPEC:   4973.11   4978.11 4.24330e-17 7.38100e-18 1
SPEC:   4978.11   4983.11 5.23030e-17 6.83100e-18 1
SPEC:   4983.11   4988.11 4.62330e-17 6.98300e-18 1
SPEC:   4988.11   4993.11 4.34190e-17 7.21800e-18 1
SPEC:   4993.11   4998.11 5.82300e-17 7.42000e-18 1
SPEC:   4998.11   5003.12 7.01660e-17 6.88300e-18 1
SPEC:   5003.11   5008.12 5.50470e-17 7.11300e-18 1
SPEC:   5008.12   5013.12 3.84370e-17 7.09900e-18 1
SPEC:   5013.12   5018.12 4.80050e-17 7.03400e-18 1
SPEC:   5018.12   5023.12 7.13700e-17 7.09600e-18 1
SPEC:   5023.12   5028.12 6.36340e-17 6.64400e-18 1
SPEC:   5028.12   5033.12 5.93520e-17 7.00100e-18 1
SPEC:   5033.12   5038.12 6.80370e-17 7.02400e-18 1
SPEC:   5038.12   5043.12 5.98240e-17 6.87700e-18 1
SPEC:   5043.12   5048.12 6.62240e-17 6.91600e-18 1
SPEC:   5048.12   5053.12 6.00200e-17 6.50200e-18 1
SPEC:   5053.12   5058.12 7.20920e-17 6.95900e-18 1
SPEC:   5058.12   5063.12 7.05220e-17 7.01300e-18 1
SPEC:   5063.12   5068.12 6.16660e-17 6.88400e-18 1
SPEC:   5068.12   5073.12 6.29600e-17 6.53000e-18 1
SPEC:   5073.12   5078.12 6.68490e-17 6.90600e-18 1
SPEC:   5078.12   5083.13 8.76260e-17 6.91300e-18 1
SPEC:   5083.12   5088.13 7.00930e-17 6.83500e-18 1
SPEC:   5088.13   5093.13 7.89740e-17 6.98700e-18 1
SPEC:   5093.13   5098.13 7.00310e-17 6.52300e-18 1
SPEC:   5098.13   5103.13 7.54690e-17 6.79700e-18 1
SPEC:   5103.13   5108.13 7.99960e-17 6.98100e-18 1
SPEC:   5108.13   5113.13 5.38980e-17 6.80200e-18 1
SPEC:   5113.13   5118.13 7.38600e-17 6.92000e-18 1
SPEC:   5118.13   5123.13 5.07810e-17 6.49700e-18 1
SPEC:   5123.13   5128.13 6.88810e-17 6.79800e-18 1
SPEC:   5128.13   5133.13 6.06700e-17 6.85900e-18 1
SPEC:   5133.13   5138.13 7.51710e-17 7.21100e-18 1
SPEC:   5138.13   5143.13 7.14790e-17 6.72900e-18 1
SPEC:   5143.13   5148.13 7.13690e-17 7.25300e-18 1
SPEC:   5148.13   5153.13 7.45430e-17 7.14000e-18 1
SPEC:   5153.13   5158.13 6.07540e-17 7.09900e-18 1
SPEC:   5158.13   5163.13 5.66300e-17 7.16300e-18 1
SPEC:   5163.13   5168.14 5.94800e-17 6.62700e-18 1
SPEC:   5168.14   5173.14 4.05900e-17 6.75000e-18 1
SPEC:   5173.14   5178.14 4.41370e-17 6.74100e-18 1
SPEC:   5178.14   5183.14 5.41270e-17 6.96500e-18 1
SPEC:   5183.14   5188.14 6.74110e-17 6.69400e-18 1
SPEC:   5188.14   5193.14 4.18300e-17 6.78600e-18 1
SPEC:   5193.14   5198.14 6.04380e-17 7.26700e-18 1
SPEC:   5198.14   5203.14 4.36720e-17 9.33400e-18 1
SPEC:   5203.14   5208.14 7.77230e-17 7.70600e-18 1
SPEC:   5208.14   5213.14 4.02250e-17 6.53800e-18 1
SPEC:   5213.14   5218.14 3.26890e-17 6.91500e-18 1
SPEC:   5218.14   5223.14 4.62130e-17 7.13100e-18 1
SPEC:   5223.14   5228.14 4.29810e-17 7.35400e-18 1
SPEC:   5228.14   5233.14 5.12170e-17 7.00800e-18 1
SPEC:   5233.14   5238.14 4.49510e-17 6.66000e-18 1
SPEC:   5238.14   5243.14 4.17020e-17 7.45600e-18 1
SPEC:   5243.14   5248.15 4.03020e-17 6.96000e-18 1
SPEC:   5248.14   5253.15 6.02960e-17 7.20600e-18 1
SPEC:   5253.15   5258.15 4.70350e-17 7.26200e-18 1
SPEC:   5258.15   5263.15 4.83910e-17 6.84400e-18 1
SPEC:   5263.15   5268.15 4.48290e-17 6.77400e-18 1
SPEC:   5268.15   5273.15 1.73050e-17 6.70700e-18 1
SPEC:   5273.15   5278.15 5.13700e-17 7.15100e-18 1
SPEC:   5278.15   5283.15 3.56440e-17 6.73000e-18 1
SPEC:   5283.15   5288.15 3.66770e-17 6.89200e-18 1
SPEC:   5288.15   5293.15 4.59450e-17 7.10700e-18 1
SPEC:   5293.15   5298.15 4.22020e-17 7.14700e-18 1
SPEC:   5298.15   5303.15 3.00050e-17 7.15600e-18 1
SPEC:   5303.15   5308.15 3.84850e-17 6.72900e-18 1
SPEC:   5308.15   5313.15 3.52350e-17 7.23000e-18 1
SPEC:   5313.15   5318.15 4.23060e-17 7.29400e-18 1
SPEC:   5318.15   5323.15 3.90790e-17 7.22400e-18 1
SPEC:   5323.15   5328.16 3.56350e-17 7.30700e-18 1
SPEC:   5328.15   5333.16 4.61170e-17 6.89000e-18 1
SPEC:   5333.16   5338.16 3.79850e-17 7.31300e-18 1
SPEC:   5338.16   5343.16 5.30790e-17 7.20200e-18 1
SPEC:   5343.16   5348.16 3.51400e-17 7.19100e-18 1
SPEC:   5348.16   5353.16 5.37040e-17 6.84600e-18 1
SPEC:   5353.16   5358.16 4.57800e-17 7.22300e-18 1
SPEC:   5358.16   5363.16 4.56120e-17 7.23900e-18 1
SPEC:   5363.16   5368.16 4.41260e-17 7.09600e-18 1
SPEC:   5368.16   5373.16 3.98260e-17 7.07000e-18 1
SPEC:   5373.16   5378.16 5.14090e-17 6.75900e-18 1
SPEC:   5378.16   5383.16 6.52900e-17 7.30100e-18 1
SPEC:   5383.16   5388.16 5.34350e-17 7.16800e-18 1
SPEC:   5388.16   5393.16 4.78800e-17 7.12800e-18 1
SPEC:   5393.16   5398.16 4.80430e-17 7.14400e-18 1
SPEC:   5398.16   5403.16 5.02990e-17 6.72200e-18 1
SPEC:   5403.16   5408.17 5.11110e-17 7.08800e-18 1
SPEC:   5408.16   5413.17 7.39660e-17 7.20100e-18 1
SPEC:   5413.17   5418.17 5.38420e-17 7.24300e-18 1
SPEC:   5418.17   5423.17 4.94960e-17 6.84600e-18 1
SPEC:   5423.17   5428.17 5.30440e-17 7.20800e-18 1
SPEC:   5428.17   5433.17 4.38760e-17 7.26400e-18 1
SPEC:   5433.17   5438.17 5.54170e-17 7.30400e-18 1
SPEC:   5438.17   5443.17 5.46250e-17 7.40200e-18 1
