NVAR: 2
VARNAMES: b+g SPECEFF
SPECEFF: 14.000 0.200
SPECEFF: 14.500 0.200
SPECEFF: 15.000 0.194
SPECEFF: 15.500 0.162
SPECEFF: 16.000 0.111
SPECEFF: 16.500 0.062
SPECEFF: 17.000 0.029
SPECEFF: 17.500 0.011
SPECEFF: 18.000 0.002
SPECEFF: 18.500 0.000
SPECEFF: 19.000 0.000
SPECEFF: 19.500 0.000
SPECEFF: 20.000 0.000
SPECEFF: 20.500 0.000
SPECEFF: 21.000 0.000
SPECEFF: 21.500 0.000
NVAR: 2
VARNAMES: l+p SPECEFF
SPECEFF: 14.000 0.532
SPECEFF: 14.500 0.425
SPECEFF: 15.000 0.303
SPECEFF: 15.500 0.193
SPECEFF: 16.000 0.109
SPECEFF: 16.500 0.055
SPECEFF: 17.000 0.025
SPECEFF: 17.500 0.010
SPECEFF: 18.000 0.004
SPECEFF: 18.500 0.001
SPECEFF: 19.000 0.000
SPECEFF: 19.500 0.000
SPECEFF: 20.000 0.000
SPECEFF: 20.500 0.000
SPECEFF: 21.000 0.000
SPECEFF: 21.500 0.000
NVAR: 2
VARNAMES: u SPECEFF
SPECEFF: 14.000 0.488
SPECEFF: 14.500 0.324
SPECEFF: 15.000 0.204
SPECEFF: 15.500 0.121
SPECEFF: 16.000 0.068
SPECEFF: 16.500 0.036
SPECEFF: 17.000 0.018
SPECEFF: 17.500 0.009
SPECEFF: 18.000 0.004
SPECEFF: 18.500 0.001
SPECEFF: 19.000 0.000
SPECEFF: 19.500 0.000
SPECEFF: 20.000 0.000
SPECEFF: 20.500 0.000
SPECEFF: 21.000 0.000
SPECEFF: 21.500 0.000
NVAR: 2
VARNAMES: C+H SPECEFF
SPECEFF: 14.000 0.904
SPECEFF: 14.500 0.512
SPECEFF: 15.000 0.359
SPECEFF: 15.500 0.193
SPECEFF: 16.000 0.094
SPECEFF: 16.500 0.041
SPECEFF: 17.000 0.016
SPECEFF: 17.500 0.006
SPECEFF: 18.000 0.001
SPECEFF: 18.500 0.000
SPECEFF: 19.000 0.000
SPECEFF: 19.500 0.000
SPECEFF: 20.000 0.000
SPECEFF: 20.500 0.000
SPECEFF: 21.000 0.000
SPECEFF: 21.500 0.000
