# SNID zHelio x0 x1 c
03D1au 0.5043 1.13457e-05 1.24803 -0.0158275
03D1aw 0.582 6.68697e-06 0.932415 -0.0182913
03D1ax 0.496 1.14683e-05 -0.666794 -0.0823517
03D1co 0.679 4.19186e-06 0.753454 -0.0433574
03D1fc 0.332 3.29625e-05 0.470901 -0.0343112
03D3af 0.532 7.11938e-06 -0.0618134 0.0744549
03D3aw 0.449 1.57562e-05 0.739323 -0.0960475
03D3ay 0.3709 2.22548e-05 0.569333 -0.054199
03D3ba 0.2912 2.87035e-05 0.660086 0.13223
03D3cc 0.4627 1.55581e-05 0.557943 -0.0749377
03D3cd 0.4607 1.69402e-05 1.76948 -0.0526233
03D4ag 0.285 5.61841e-05 0.949948 -0.0773886
03D4at 0.634 5.73318e-06 0.237262 -0.0207859
03D4cj 0.27 6.72322e-05 1.20691 -0.0731201
03D4cz 0.695 4.42295e-06 -1.8176 -0.0479833
03D4dh 0.627 7.89218e-06 1.16962 -0.0703618
03D4dy 0.61 8.95838e-06 1.17768 -0.119297
04D1ag 0.557 1.17525e-05 0.00661976 -0.192551
04D1dc 0.211 6.84023e-05 -1.20532 -0.0121834
04D1hd 0.369 2.47109e-05 0.789016 -0.0984979
04D1hx 0.56 5.95108e-06 0.269836 0.0801928
04D1jg 0.5842 8.83724e-06 0.251528 -0.0966551
04D1kj 0.585 8.3694e-06 0.277007 -0.0534021
04D1oh 0.59 7.90851e-06 -0.00516695 -0.0388468
04D1pg 0.515 6.66973e-06 0.992209 0.0883277
04D1rh 0.436 1.68968e-05 1.12421 -0.0686666
04D1sa 0.585 6.71802e-06 -0.197183 -0.0055526
04D1sk 0.6634 4.24195e-06 0.500147 0.120321
04D2fp 0.415 1.72844e-05 0.405575 -0.0536632
04D2fs 0.357 1.92333e-05 0.0293521 0.072488
04D2gc 0.521 8.41048e-06 1.15858 0.0162543
04D2mc 0.348 1.78011e-05 -1.73746 0.0882196
04D3cy 0.643 5.51966e-06 -0.196407 -0.0705859
04D3df 0.47 7.04872e-06 -2.15456 0.107271
04D3ez 0.263 3.88064e-05 -1.12847 0.031159
04D3fk 0.3578 1.77385e-05 -0.392551 0.0806446
04D3hn 0.552 7.21831e-06 -0.568084 0.0529636
04D3kr 0.337 2.94406e-05 1.1951 -0.0165043
04D3nh 0.34 2.50997e-05 0.596722 0.00394019
04D3nq 0.22 7.1457e-05 0.607015 -0.0132704
04D4bq 0.55 8.29457e-06 0.661996 0.101641
04D4fx 0.629 7.02961e-06 1.04321 -0.00946771
04D4gg 0.424 1.42982e-05 1.39383 0.0832488
04D4ic 0.687 4.07112e-06 -0.914086 -0.0389632
04D4in 0.516 1.24565e-05 1.66262 -0.0634486
04D4jr 0.47 1.59113e-05 1.49683 -0.0484599
05D1cb 0.632 5.97968e-06 -0.298016 -0.0572817
05D1cc 0.564 7.18278e-06 -0.141306 -0.015477
05D1ck 0.617 4.22037e-06 -0.0306512 0.113259
05D1dn 0.566 8.70462e-06 1.12377 -0.0324562
05D1dx 0.58 8.72921e-06 0.681842 -0.050424
05D1ee 0.559 6.99239e-06 -0.520143 -0.00325373
05D1ej 0.312 1.37888e-05 -1.23938 0.275604
05D1hk 0.263 5.99654e-05 1.44904 -0.011075
05D1hn 0.149 6.4337e-05 0.398197 0.288529
05D1ix 0.49 1.2866e-05 0.410113 -0.0623033
05D1iy 0.2478 3.79924e-05 -1.4243 -0.037478
05D2ab 0.323 2.91084e-05 -0.232454 -0.0520966
05D2ac 0.479 1.53019e-05 1.16956 -0.0379559
05D2ah 0.184 8.99099e-05 -0.0975889 -0.00133021
05D2bt 0.68 7.16271e-06 0.608936 -0.127174
05D2bv 0.474 1.49728e-05 -0.0589911 -0.125408
05D2ci 0.63 6.54525e-06 -0.915606 0.0566622
05D2ck 0.698 2.96079e-06 -2.5595 -0.00440396
05D2dt 0.574 6.22812e-06 0.181229 0.0481462
05D2dw 0.417 1.86991e-05 1.17101 -0.0332665
05D2eb 0.534 1.14538e-05 0.930401 -0.0605862
05D2ec 0.64 6.04303e-06 -0.182513 -0.0531348
05D2hc 0.35 1.53594e-05 -0.59721 0.0143767
05D2he 0.608 4.75959e-06 0.298544 0.049321
05D2ie 0.348 2.3356e-05 -0.130534 -0.0872911
05D2ja 0.303 2.41849e-05 -1.19739 0.0385516
05D2le 0.7 4.71704e-06 0.594096 0.00943368
05D2mp 0.3537 2.00009e-05 1.26466 0.0157385
05D3ax 0.643 6.3373e-06 0.837052 -0.0627378
05D3cf 0.419 1.20501e-05 -0.227515 -0.00609457
05D3ci 0.515 6.16652e-06 2.59021 0.166663
05D3dd 0.48 1.19459e-05 -0.256046 -0.0115361
05D3gp 0.58 7.11619e-06 -0.41543 -0.0549575
05D3hq 0.338 2.82408e-05 -0.0499151 -0.0305582
05D3hs 0.664 6.91191e-06 0.777414 -0.146954
05D3kt 0.648 4.66436e-06 -0.28344 0.126306
05D3kx 0.219 8.28215e-05 0.729966 -0.0508736
05D3lb 0.647 4.96982e-06 0.344441 -0.000829927
05D3lc 0.461 1.16252e-05 -0.74822 -0.0522157
05D3lr 0.6 5.16253e-06 0.262223 0.10787
05D3mh 0.67 4.13958e-06 0.966036 -0.0519009
05D3mq 0.246 4.51275e-05 -0.794077 0.00493265
05D3ne 0.169 0.00013907 -1.49533 -0.154105
05D4af 0.499 1.03322e-05 0.0202904 -0.0315215
05D4av 0.509 6.70542e-06 0.958442 0.167694
05D4be 0.537 1.24087e-05 1.03886 -0.147256
05D4bf 0.589 6.44185e-06 0.0867227 -0.006066
05D4bm 0.372 2.37506e-05 0.117426 -0.064476
05D4cw 0.375 2.54205e-05 -0.757006 -0.172823
05D4dt 0.407 1.37545e-05 -1.09169 -0.0425786
05D4ej 0.585 5.87746e-06 0.18686 -0.0671675
05D4ek 0.536 8.65098e-06 0.263861 0.0726459
05D4fo 0.373 1.89018e-05 -0.726699 -0.0322817
06D1ab 0.182 4.39385e-05 -2.07482 0.199136
06D2ag 0.31 2.66293e-05 0.762556 0.108952
06D2bk 0.499 8.88312e-06 0.387459 0.0352741
06D2cc 0.532 7.51671e-06 -0.59627 0.0753179
06D3ed 0.404 1.61217e-05 -0.479746 -0.0158597
06D3el 0.519 1.24814e-05 0.828917 -0.138689
06D3em 0.69 3.17313e-06 0.0415711 0.160107
06D3et 0.576 7.44678e-06 -1.37089 -0.0908385
06D3fp 0.268 3.68696e-05 -0.0544045 0.06126
06D3gn 0.25 3.2079e-05 -0.573031 0.13432
06D4ba 0.7 5.75645e-06 0.699029 -0.128255
06D4co 0.437 1.76653e-05 -0.366063 -0.0672416
06D4cq 0.411 1.70298e-05 0.368144 -0.0129478
06D4dh 0.303 4.73229e-05 0.538027 -0.158274
10028.0 0.06533 0.000815783 -1.1803 -0.00442779
1032.0 0.12976 0.000131342 -2.52174 0.0534258
1241.0 0.0902 0.000404882 -0.557231 0.0521314
12843.0 0.16695 0.000122992 -1.02082 0.0381331
12855.0 0.172 8.70411e-05 -1.97512 0.0469778
12856.0 0.17167 0.000158559 0.813293 -0.0850408
12860.0 0.1217 0.000146421 -0.262015 0.15136
12898.0 0.081 0.000442086 -0.0616654 0.0707155
12930.0 0.14717 0.000170079 1.68021 0.0271668
12950.0 0.08266 0.000491446 -0.386979 4.09315e-05
13025.0 0.225 5.66548e-05 0.829787 0.0274952
13038.0 0.104 0.000373416 1.38135 -0.0184694
13044.0 0.121 0.000267022 -0.0297782 -0.0730192
13070.0 0.19853 0.000130572 0.951367 -0.144479
13135.0 0.10467 0.000316992 -1.38785 -0.048256
13152.0 0.207 9.73893e-05 0.357867 0.00100831
13305.0 0.201 8.26839e-05 1.13703 0.00911359
13354.0 0.15763 0.000136497 1.03028 0.0889008
13411.0 0.163 0.000132195 1.75975 0.0294216
13511.0 0.23737 4.68058e-05 -1.40399 -0.0861795
13578.0 0.228 6.79179e-05 -0.398194 -0.0296434
13641.0 0.21 8.84378e-05 1.07117 -0.0164888
1371.0 0.11909 0.00042901 0.803315 -0.101929
13727.0 0.221 8.03895e-05 1.26939 -0.0178131
13736.0 0.1504 0.000183069 1.23432 -0.0210804
13796.0 0.145 0.000209897 0.800883 -0.0207046
13835.0 0.2477 6.59519e-05 0.582152 -0.0553057
13894.0 0.121 0.0001327 0.69526 0.172982
14019.0 0.2164 4.80313e-05 -0.344158 -0.0147406
14024.0 0.146 0.00011698 -1.906 0.0384465
14108.0 0.133 0.000157202 0.244874 -0.00169248
14157.0 0.2115 0.000116034 1.26099 -0.0574447
14212.0 0.2054 7.76028e-05 -0.326722 -0.0341588
14279.0 0.04539 0.00175228 -0.293968 0.0938645
14284.0 0.18107 0.000145402 -0.294496 -0.0702019
14331.0 0.214 5.77404e-05 0.117223 0.0137866
14421.0 0.1749 0.00011976 -0.717467 -0.092406
14437.0 0.144 0.000236562 0.560846 -0.101607
14451.0 0.179 0.000157616 0.308592 -0.116249
14816.0 0.10722 0.000317279 -0.625165 0.0263994
14846.0 0.2247 7.63947e-05 0.606838 -0.0502402
14871.0 0.119 0.000304578 1.25413 -0.0499053
14979.0 0.1771 0.00015381 0.242495 -0.129819
14984.0 0.184 8.10833e-05 0.973786 0.0697156
15129.0 0.19828 9.55926e-05 -0.771674 -0.0782654
15132.0 0.1543 0.000223504 1.02216 -0.126594
15161.0 0.24954 5.9747e-05 -0.326899 -0.0561237
15171.0 0.1392 0.000253281 0.616746 -0.101783
15201.0 0.2085 3.3701e-05 -1.34443 0.126799
15203.0 0.216 9.14181e-05 1.25812 -0.0268548
15219.0 0.248 6.8469e-05 -0.319952 -0.144243
15222.0 0.19943 7.51277e-05 -1.28409 0.00778192
15229.0 0.224 7.11265e-05 0.631933 -0.0553548
15234.0 0.1363 0.000116316 0.904363 0.136584
15259.0 0.212 8.58951e-05 0.464436 0.00386952
15301.0 0.248 9.58483e-05 -0.375793 -0.11459
15365.0 0.178 0.000114923 0.839992 -0.0520965
15421.0 0.18537 9.92614e-05 0.124784 -0.0357814
15425.0 0.15989 0.000196336 0.985094 -0.00375403
