SURVEY: FOUNDATION
SNTYPE: 1
SNID: PSNJ0859349
RA: 134.8954275
DEC: 45.9258557
MWEBV: 0.021 # MW E(B-V)
FILTERS: griz
REDSHIFT_HELIO: 0.02812 +- 0.00001
REDSHIFT_CMB: 0.02873 +- 0.00001
VPEC: -164.447
VPEC_ERR: 250.000
SEARCH_PEAKMJD: 57103.23901
HOSTGAL_LOGMASS: 10.650 +- 0.010
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
#==============================
NOBS: 37
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS: 57097.36078 PS1-g VOID 19882.232 285.665 16.7540 0.0160 2.03
OBS: 57103.23784 PS1-g VOID 18970.336 273.925 16.8050 0.0160 1.81
OBS: 57108.24500 PS1-g VOID 13814.676 212.018 17.1490 0.0170 3.01
OBS: 57119.29485 PS1-g VOID 4727.601 102.597 18.3130 0.0230 2.17
OBS: 57128.24329 PS1-g VOID 2240.351 121.144 19.1240 0.0580 2.51
OBS: 57137.25423 PS1-g VOID 1639.751 111.756 19.4630 0.0740 1.99
OBS: 57097.36193 PS1-r VOID 19023.428 272.243 16.8020 0.0160 1.86
OBS: 57103.23901 PS1-r VOID 20168.659 287.508 16.7380 0.0150 1.60
OBS: 57108.24617 PS1-r VOID 15956.113 237.309 16.9930 0.0160 2.71
OBS: 57119.29555 PS1-r VOID 10450.522 167.963 17.4520 0.0170 2.04
OBS: 57128.24375 PS1-r VOID 7380.910 163.518 17.8300 0.0240 2.17
OBS: 57137.25470 PS1-r VOID 4613.808 132.176 18.3400 0.0310 1.87
OBS: 57097.36306 PS1-i VOID 12883.423 189.055 17.2250 0.0160 1.76
OBS: 57103.24014 PS1-i VOID 12528.914 183.915 17.2550 0.0160 1.43
OBS: 57108.24729 PS1-i VOID 8854.784 146.247 17.6320 0.0180 2.45
OBS: 57119.29621 PS1-i VOID 7724.590 138.554 17.7800 0.0190 1.90
OBS: 57128.24418 PS1-i VOID 6986.228 172.482 17.8890 0.0270 2.12
OBS: 57137.25514 PS1-i VOID 4146.466 120.388 18.4560 0.0310 1.64
OBS: 57105.25161 PS1-i VOID 10465.989 167.295 17.4510 0.0170 1.58
OBS: 57105.26499 PS1-i VOID 10723.441 170.112 17.4240 0.0170 1.58
OBS: 57105.27839 PS1-i VOID 10160.147 162.446 17.4830 0.0170 1.66
OBS: 57105.29199 PS1-i VOID 10784.066 170.981 17.4180 0.0170 1.77
OBS: 57106.23960 PS1-i VOID 10523.468 166.988 17.4450 0.0170 1.46
OBS: 57106.25412 PS1-i VOID 10160.752 163.212 17.4830 0.0170 1.51
OBS: 57106.26857 PS1-i VOID 10600.911 166.977 17.4370 0.0170 1.36
OBS: 57106.28868 PS1-i VOID 10226.161 159.658 17.4760 0.0170 1.18
OBS: 57106.35593 PS1-i VOID 10873.491 171.122 17.4090 0.0170 1.60
OBS: 57116.24873 PS1-i VOID 7780.745 143.397 17.7720 0.0200 1.77
OBS: 57116.26222 PS1-i VOID 7982.301 145.325 17.7450 0.0200 1.82
OBS: 57116.27570 PS1-i VOID 8068.857 145.467 17.7330 0.0200 1.96
OBS: 57116.28923 PS1-i VOID 8056.102 163.241 17.7350 0.0220 1.96
OBS: 57117.25587 PS1-i VOID 8351.910 163.534 17.6960 0.0210 2.16
OBS: 57097.36419 PS1-z VOID 12143.250 187.121 17.2890 0.0170 1.63
OBS: 57103.24127 PS1-z VOID 11717.799 180.559 17.3280 0.0170 1.37
OBS: 57119.29688 PS1-z VOID 8492.697 163.546 17.6770 0.0210 1.76
OBS: 57128.24463 PS1-z VOID 7359.244 217.303 17.8330 0.0320 1.88
OBS: 57137.25558 PS1-z VOID 3888.157 155.866 18.5260 0.0430 1.56
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR SPECFLAG

SPECTRUM_ID: 1
SPECTRUM_NLAM: 2096
SPECTRUM_MJD:  57094.00
SPEC: 3228.95 3231.25 1.56755e-14 7.88975e-15 0
SPEC: 3231.25 3233.55 2.82074e-15 7.76980e-15 0
SPEC: 3233.55 3235.85 1.59861e-14 7.64996e-15 0
SPEC: 3235.85 3238.15 -1.30549e-14 7.53032e-15 0
SPEC: 3238.15 3240.45 -9.61415e-15 7.41094e-15 0
SPEC: 3240.45 3242.75 -5.95960e-15 7.29188e-15 0
SPEC: 3242.75 3245.05 -4.29858e-15 7.17322e-15 0
SPEC: 3245.05 3247.35 -6.19228e-15 7.05504e-15 0
SPEC: 3247.45 3249.75 7.36607e-15 6.93740e-15 0
SPEC: 3249.75 3252.05 5.70643e-15 6.82037e-15 0
SPEC: 3252.05 3254.35 -9.91340e-16 6.70404e-15 0
SPEC: 3254.35 3256.65 -5.08097e-15 6.58847e-15 0
SPEC: 3256.65 3258.95 -4.03297e-15 6.47374e-15 0
SPEC: 3258.95 3261.25 -1.42562e-17 6.35992e-15 0
SPEC: 3261.25 3263.55 2.06993e-15 6.24707e-15 0
SPEC: 3263.55 3265.85 -2.75021e-15 6.13528e-15 0
SPEC: 3265.85 3268.15 -2.41351e-15 6.02460e-15 0
SPEC: 3268.15 3270.45 6.81801e-15 5.91510e-15 0
SPEC: 3270.55 3272.85 3.55347e-15 5.80685e-15 0
SPEC: 3272.85 3275.15 3.43389e-15 5.69991e-15 0
SPEC: 3275.15 3277.45 -7.87065e-15 5.59433e-15 0
SPEC: 3277.45 3279.75 -2.39082e-15 5.49017e-15 0
SPEC: 3279.75 3282.05 5.24585e-15 5.38749e-15 0
SPEC: 3282.05 3284.35 -1.57261e-16 5.28631e-15 0
SPEC: 3284.35 3286.65 1.56905e-15 5.18670e-15 0
SPEC: 3286.65 3288.95 6.69558e-17 5.08869e-15 0
SPEC: 3288.95 3291.25 3.29310e-15 4.99231e-15 0
SPEC: 3291.25 3293.55 4.33618e-15 4.89759e-15 0
SPEC: 3293.65 3295.95 3.47811e-15 4.80456e-15 0
SPEC: 3295.95 3298.25 1.30533e-15 4.71323e-15 0
SPEC: 3298.25 3300.55 5.14276e-15 4.62362e-15 0
SPEC: 3300.55 3302.85 2.58213e-15 4.53574e-15 0
SPEC: 3302.85 3305.15 -8.02456e-15 4.44958e-15 0
SPEC: 3305.15 3307.45 6.49525e-16 4.36516e-15 0
SPEC: 3307.45 3309.75 -2.12879e-15 4.28245e-15 0
SPEC: 3309.75 3312.05 -2.43530e-15 4.20146e-15 0
SPEC: 3312.05 3314.35 2.48092e-15 4.12216e-15 0
SPEC: 3314.45 3316.75 -6.29607e-16 4.04454e-15 0
SPEC: 3316.75 3319.05 3.27154e-15 3.96856e-15 0
SPEC: 3319.05 3321.35 5.07006e-15 3.89421e-15 0
SPEC: 3321.35 3323.65 -7.29046e-16 3.82144e-15 0
SPEC: 3323.65 3325.95 -1.36724e-15 3.75022e-15 0
SPEC: 3325.95 3328.25 4.25114e-15 3.68052e-15 0
SPEC: 3328.25 3330.55 5.79361e-15 3.61229e-15 0
SPEC: 3330.55 3332.85 2.94215e-15 3.54549e-15 0
SPEC: 3332.85 3335.15 1.50565e-15 3.48007e-15 0
SPEC: 3335.15 3337.45 4.37570e-16 3.41600e-15 0
SPEC: 3337.55 3339.85 7.08056e-16 3.35321e-15 0
SPEC: 3339.85 3342.15 4.24883e-15 3.29168e-15 0
SPEC: 3342.15 3344.45 9.79136e-16 3.23134e-15 0
SPEC: 3344.45 3346.75 -8.01476e-16 3.17215e-15 0
SPEC: 3346.75 3349.05 -2.40661e-15 3.11408e-15 0
SPEC: 3349.05 3351.35 -7.44467e-16 3.05706e-15 0
SPEC: 3351.35 3353.65 3.47705e-15 3.00106e-15 0
SPEC: 3353.65 3355.95 1.53034e-15 2.94605e-15 0
SPEC: 3355.95 3358.25 4.74702e-15 2.89196e-15 0
