SURVEY: FOUNDATION
SNTYPE: 1
SNID: ASASSN-17co
RA: 272.3364601
DEC: 18.2983501
MWEBV: 0.091 # MW E(B-V)
FILTERS: griz
REDSHIFT_HELIO: 0.01826 +- 0.00015
REDSHIFT_CMB: 0.01792 +- 0.00015
VPEC: -110.770
VPEC_ERR: 250.000
SEARCH_PEAKMJD: 57804.65458
HOSTGAL_LOGMASS: 11.011 +- 0.001
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
#==============================
NOBS: 26
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS: 57804.65416 PS1-g VOID 43731.843 672.359 15.8980 0.0170 2.27
OBS: 57816.63521 PS1-g VOID 35267.579 576.703 16.1320 0.0180 3.20
OBS: 57825.63514 PS1-g VOID 17928.018 333.329 16.8660 0.0200 1.66
OBS: 57832.62375 PS1-g VOID 8981.747 230.462 17.6170 0.0280 2.45
OBS: 57846.61656 PS1-g VOID 4392.267 194.461 18.3930 0.0480 2.73
OBS: 57855.58407 PS1-g VOID 3630.795 228.145 18.6000 0.0680 2.20
OBS: 57804.65458 PS1-r VOID 47561.715 728.447 15.8070 0.0170 2.11
OBS: 57816.63562 PS1-r VOID 41844.417 665.202 15.9460 0.0170 2.73
OBS: 57825.63553 PS1-r VOID 29033.281 479.543 16.3430 0.0180 1.49
OBS: 57832.62415 PS1-r VOID 25818.045 431.302 16.4700 0.0180 1.91
OBS: 57846.61695 PS1-r VOID 11540.464 269.013 17.3440 0.0250 2.38
OBS: 57855.58446 PS1-r VOID 9250.661 250.707 17.5850 0.0290 1.76
OBS: 57804.65493 PS1-i VOID 34387.987 562.706 16.1590 0.0180 1.88
OBS: 57816.63597 PS1-i VOID 23529.259 455.025 16.5710 0.0210 2.66
OBS: 57825.63589 PS1-i VOID 21420.803 388.959 16.6730 0.0200 1.79
OBS: 57832.62451 PS1-i VOID 23143.415 406.382 16.5890 0.0190 1.82
OBS: 57846.61733 PS1-i VOID 10402.408 277.333 17.4570 0.0290 2.46
OBS: 57855.58483 PS1-i VOID 8492.094 267.986 17.6770 0.0340 1.97
OBS: 57804.65528 PS1-z VOID 31859.992 555.499 16.2420 0.0190 1.85
OBS: 57816.63632 PS1-z VOID 23988.709 474.365 16.5500 0.0210 2.40
OBS: 57825.63626 PS1-z VOID 24921.285 455.488 16.5090 0.0200 1.57
OBS: 57832.62488 PS1-z VOID 22155.766 425.055 16.6360 0.0210 1.85
OBS: 57846.61770 PS1-z VOID 11790.753 316.804 17.3210 0.0290 2.20
OBS: 57855.58519 PS1-z VOID 7439.469 278.587 17.8210 0.0400 1.66
OBS: 57831.64378 PS1-z VOID 24953.649 411.152 16.5070 0.0180 1.93
OBS: 57832.62752 PS1-z VOID 24543.356 393.845 16.5250 0.0170 1.75
END_PHOTOMETRY:

# =============================================
NSPECTRA: 1 


NVAR_SPEC: 5
VARNAMES_SPEC: LAMMIN LAMMAX  FLAM  FLAMERR SPECFLAG

SPECTRUM_ID: 1
SPECTRUM_NLAM: 3847
SPECTRUM_MJD:  57783.00
SPEC: 3303.30 3305.10 2.54034e-16 2.99830e-16 0
SPEC: 3305.10 3306.90 -3.21765e-16 2.98185e-16 0
SPEC: 3306.80 3308.60 -1.12436e-16 2.96550e-16 0
SPEC: 3308.50 3310.30 4.61655e-16 2.94924e-16 0
SPEC: 3310.30 3312.10 7.29832e-16 2.93308e-16 0
SPEC: 3312.00 3313.80 6.97885e-16 2.91703e-16 0
SPEC: 3313.80 3315.60 3.24383e-16 2.90109e-16 0
SPEC: 3315.50 3317.30 1.09893e-15 2.88527e-16 0
SPEC: 3317.20 3319.00 4.94160e-16 2.86958e-16 0
SPEC: 3319.00 3320.80 3.86757e-16 2.85401e-16 0
SPEC: 3320.70 3322.50 3.61600e-16 2.83858e-16 0
SPEC: 3322.50 3324.30 2.32262e-16 2.82329e-16 0
SPEC: 3324.20 3326.00 5.11636e-16 2.80815e-16 0
SPEC: 3325.90 3327.70 5.33730e-16 2.79316e-16 0
SPEC: 3327.70 3329.50 1.34197e-16 2.77832e-16 0
SPEC: 3329.40 3331.20 1.59182e-16 2.76365e-16 0
SPEC: 3331.20 3333.00 1.99354e-16 2.74914e-16 0
SPEC: 3332.90 3334.70 2.02124e-16 2.73481e-16 0
SPEC: 3334.70 3336.50 6.06823e-16 2.72065e-16 0
SPEC: 3336.40 3338.20 6.78425e-16 2.70667e-16 0
SPEC: 3338.10 3339.90 4.93935e-16 2.69287e-16 0
SPEC: 3339.90 3341.70 1.85161e-16 2.67927e-16 0
SPEC: 3341.60 3343.40 1.92515e-16 2.66585e-16 0
SPEC: 3343.40 3345.20 1.76257e-16 2.65262e-16 0
SPEC: 3345.10 3346.90 3.54728e-16 2.63960e-16 0
SPEC: 3346.80 3348.60 3.07184e-16 2.62677e-16 0
SPEC: 3348.60 3350.40 4.63027e-18 2.61414e-16 0
SPEC: 3350.30 3352.10 6.68849e-17 2.60172e-16 0
SPEC: 3352.10 3353.90 3.77114e-16 2.58950e-16 0
SPEC: 3353.80 3355.60 6.44153e-16 2.57748e-16 0
SPEC: 3355.50 3357.30 2.84143e-16 2.56567e-16 0
SPEC: 3357.30 3359.10 2.18125e-16 2.55407e-16 0
SPEC: 3359.00 3360.80 3.21487e-16 2.54267e-16 0
SPEC: 3360.80 3362.60 1.44052e-16 2.53148e-16 0
SPEC: 3362.50 3364.30 2.69289e-16 2.52049e-16 0
SPEC: 3364.30 3366.10 6.09950e-16 2.50970e-16 0
SPEC: 3366.00 3367.80 5.15073e-16 2.49911e-16 0
SPEC: 3367.70 3369.50 1.08618e-16 2.48872e-16 0
SPEC: 3369.50 3371.30 4.61533e-16 2.47852e-16 0
SPEC: 3371.20 3373.00 1.13691e-16 2.46851e-16 0
SPEC: 3373.00 3374.80 1.64321e-16 2.45869e-16 0
SPEC: 3374.70 3376.50 6.00219e-17 2.44905e-16 0
SPEC: 3376.40 3378.20 1.23199e-16 2.43959e-16 0
