SPEC:   3896.15   3901.65 9.76257e-16 1.89962e-17 1
SPEC:   3901.65   3907.15 1.05256e-15 1.92566e-17 1
SPEC:   3907.15   3912.65 1.12761e-15 1.95645e-17 1
SPEC:   3912.75   3918.25 1.20707e-15 1.99198e-17 1
SPEC:   3918.25   3923.75 1.24033e-15 2.03217e-17 1
SPEC:   3923.75   3929.25 1.36411e-15 2.07684e-17 1
SPEC:   3929.25   3934.75 1.43009e-15 2.12575e-17 1
SPEC:   3934.75   3940.25 1.51659e-15 2.17855e-17 1
SPEC:   3940.35   3945.85 1.59215e-15 2.23480e-17 1
SPEC:   3945.85   3951.35 1.66289e-15 2.29396e-17 1
SPEC:   3951.35   3956.85 1.68074e-15 2.35541e-17 1
SPEC:   3956.85   3962.35 1.79470e-15 2.41844e-17 1
SPEC:   3962.35   3967.85 1.80927e-15 2.48225e-17 1
SPEC:   3967.85   3973.35 1.83411e-15 2.54601e-17 1
SPEC:   3973.45   3978.95 1.87250e-15 2.60880e-17 1
SPEC:   3978.95   3984.45 1.91406e-15 2.66970e-17 1
SPEC:   3984.45   3989.95 1.90722e-15 2.72778e-17 1
SPEC:   3989.95   3995.45 1.93333e-15 2.78212e-17 1
SPEC:   3995.45   4000.95 1.95445e-15 2.83185e-17 1
SPEC:   4001.05   4006.55 1.97404e-15 2.88817e-17 1
SPEC:   4006.55   4012.05 2.03655e-15 2.92278e-17 1
SPEC:   4012.05   4017.55 2.11403e-15 2.94693e-17 1
SPEC:   4017.55   4023.05 2.12117e-15 2.96966e-17 1
SPEC:   4023.05   4028.55 2.06588e-15 2.99175e-17 1
SPEC:   4028.55   4034.05 1.92480e-15 3.00546e-17 1
SPEC:   4034.15   4039.65 1.82258e-15 3.00696e-17 1
SPEC:   4039.65   4045.15 1.72007e-15 2.99812e-17 1
SPEC:   4045.15   4050.65 1.72134e-15 2.98527e-17 1
SPEC:   4050.65   4056.15 1.64037e-15 2.95492e-17 1
SPEC:   4056.15   4061.65 1.59139e-15 2.92907e-17 1
SPEC:   4061.65   4067.15 1.53541e-15 2.90529e-17 1
SPEC:   4067.25   4072.75 1.51569e-15 2.86637e-17 1
SPEC:   4072.75   4078.25 1.51829e-15 2.82026e-17 1
SPEC:   4078.25   4083.75 1.51975e-15 2.77220e-17 1
SPEC:   4083.75   4089.25 1.48697e-15 2.72380e-17 1
SPEC:   4089.25   4094.75 1.44122e-15 2.66557e-17 1
SPEC:   4094.85   4100.35 1.43933e-15 2.60628e-17 1
SPEC:   4100.35   4105.85 1.49344e-15 2.54998e-17 1
SPEC:   4105.85   4111.35 1.54788e-15 2.49829e-17 1
SPEC:   4111.35   4116.85 1.61752e-15 2.44099e-17 1
SPEC:   4116.85   4122.35 1.62758e-15 2.39075e-17 1
SPEC:   4122.35   4127.85 1.70645e-15 2.33776e-17 1
SPEC:   4127.95   4133.45 1.75367e-15 2.28642e-17 1
SPEC:   4133.45   4138.95 1.75495e-15 2.23524e-17 1
SPEC:   4138.95   4144.45 1.81542e-15 2.18171e-17 1
SPEC:   4144.45   4149.95 1.84866e-15 2.12572e-17 1
SPEC:   4149.95   4155.45 1.86625e-15 2.08483e-17 1
SPEC:   4155.45   4160.95 1.90189e-15 2.05655e-17 1
SPEC:   4161.05   4166.55 1.93673e-15 2.02890e-17 1
SPEC:   4166.55   4172.05 1.96140e-15 1.99229e-17 1
SPEC:   4172.05   4177.55 1.95160e-15 1.94586e-17 1
SPEC:   4177.55   4183.05 1.98958e-15 1.91524e-17 1
SPEC:   4183.05   4188.55 1.95872e-15 1.88385e-17 1
