SPEC:   3834.25   3839.95 8.33782e-16 5.09567e-17 1
SPEC:   3840.05   3845.75 8.22224e-16 4.99649e-17 1
SPEC:   3845.75   3851.45 7.55792e-16 4.89996e-17 1
SPEC:   3851.45   3857.15 6.27492e-16 4.80653e-17 1
SPEC:   3857.25   3862.95 5.91646e-16 4.71671e-17 1
SPEC:   3862.95   3868.65 5.38396e-16 4.63099e-17 1
SPEC:   3868.65   3874.35 4.50577e-16 4.54987e-17 1
SPEC:   3874.45   3880.15 4.04518e-16 4.47381e-17 1
SPEC:   3880.15   3885.85 3.83687e-16 4.40317e-17 1
SPEC:   3885.95   3891.65 3.99581e-16 4.33826e-17 1
SPEC:   3891.65   3897.35 3.60654e-16 4.27923e-17 1
SPEC:   3897.35   3903.05 3.07880e-16 4.22615e-17 1
SPEC:   3903.05   3908.75 3.08362e-16 4.17895e-17 1
SPEC:   3908.85   3914.55 2.85840e-16 4.13744e-17 1
SPEC:   3914.55   3920.25 3.31685e-16 4.10131e-17 1
SPEC:   3920.35   3926.05 2.71250e-16 4.07020e-17 1
SPEC:   3926.05   3931.75 2.97098e-16 4.04361e-17 1
SPEC:   3931.75   3937.45 2.30048e-16 4.02106e-17 1
SPEC:   3937.45   3943.15 3.45750e-16 4.00198e-17 1
SPEC:   3943.25   3948.95 3.02436e-16 3.98583e-17 1
SPEC:   3948.95   3954.65 2.47171e-16 3.97205e-17 1
SPEC:   3954.75   3960.45 3.01781e-16 3.96013e-17 1
SPEC:   3960.45   3966.15 2.65943e-16 3.94958e-17 1
SPEC:   3966.15   3971.85 3.71098e-16 3.93996e-17 1
SPEC:   3971.95   3977.65 3.35934e-16 3.93087e-17 1
SPEC:   3977.65   3983.35 3.15414e-16 3.92197e-17 1
SPEC:   3983.35   3989.05 3.58028e-16 3.91296e-17 1
SPEC:   3989.05   3994.75 4.25123e-16 3.90359e-17 1
SPEC:   3994.85   4000.55 4.12708e-16 3.89365e-17 1
SPEC:   4000.55   4006.25 4.16479e-16 3.89670e-17 1
SPEC:   4006.35   4012.05 4.35041e-16 3.88100e-17 1
SPEC:   4012.05   4017.75 4.78584e-16 3.85952e-17 1
SPEC:   4017.75   4023.45 4.69096e-16 3.84493e-17 1
SPEC:   4023.45   4029.15 6.33974e-16 3.83710e-17 1
SPEC:   4029.25   4034.95 5.74858e-16 3.82471e-17 1
SPEC:   4034.95   4040.65 6.74336e-16 3.80464e-17 1
SPEC:   4040.75   4046.45 7.37921e-16 3.78216e-17 1
SPEC:   4046.45   4052.15 7.64216e-16 3.76606e-17 1
SPEC:   4052.15   4057.85 8.23854e-16 3.72615e-17 1
SPEC:   4057.95   4063.65 8.89709e-16 3.71035e-17 1
SPEC:   4063.65   4069.35 8.61689e-16 3.68838e-17 1
SPEC:   4069.35   4075.05 9.26399e-16 3.65580e-17 1
SPEC:   4075.05   4080.75 8.93726e-16 3.62314e-17 1
SPEC:   4080.85   4086.55 9.94349e-16 3.59459e-17 1
SPEC:   4086.55   4092.25 9.68492e-16 3.55658e-17 1
SPEC:   4092.35   4098.05 9.49273e-16 3.51593e-17 1
SPEC:   4098.05   4103.75 9.51820e-16 3.47002e-17 1
SPEC:   4103.75   4109.45 9.45347e-16 3.43039e-17 1
SPEC:   4109.55   4115.25 9.70207e-16 3.38553e-17 1
SPEC:   4115.25   4120.95 1.00798e-15 3.33739e-17 1
SPEC:   4120.95   4126.65 1.06727e-15 3.29682e-17 1
SPEC:   4126.75   4132.45 9.91741e-16 3.25159e-17 1
SPEC:   4132.45   4138.15 9.38894e-16 3.20057e-17 1
SPEC:   4138.15   4143.85 9.37450e-16 3.14838e-17 1
SPEC:   4143.95   4149.65 9.35331e-16 3.07730e-17 1
SPEC:   4149.65   4155.35 8.59451e-16 3.03299e-17 1
SPEC:   4155.35   4161.05 8.70908e-16 2.99886e-17 1
SPEC:   4161.05   4166.75 7.98021e-16 2.96417e-17 1
SPEC:   4166.85   4172.55 7.64981e-16 2.91290e-17 1
SPEC:   4172.55   4178.25 7.68810e-16 2.85940e-17 1
SPEC:   4178.25   4183.95 7.55685e-16 2.81447e-17 1
SPEC:   4184.05   4189.75 7.42374e-16 2.77913e-17 1
SPEC:   4189.75   4195.45 7.29557e-16 2.73872e-17 1
SPEC:   4195.55   4201.25 6.95033e-16 2.70326e-17 1
SPEC:   4201.25   4206.95 7.24733e-16 2.66863e-17 1
SPEC:   4206.95   4212.65 7.35509e-16 2.64037e-17 1
SPEC:   4212.75   4218.45 7.35219e-16 2.61997e-17 1
SPEC:   4218.45   4224.15 7.40552e-16 2.59786e-17 1
SPEC:   4224.15   4229.85 7.85083e-16 2.57527e-17 1
