SURVEY: DES
SNID: 1337703
IAUC:       NULL                
FILTERS: griz
FAKE:         0
TYPE:         1
MASK_FLUXCOR_SNANA:    3
RA:            54.883587               # deg
DEC:         -26.724333               # deg
MWEBV: 0.012 # MW E(B-V)
MWEBV_ERR:    0.001                    # MW E(B-V)
PIXSIZE:     0.2700                    # arcSec
PEAKMJD:     57356.461
REDSHIFT_HELIO: 0.53400 +- 0.00500
REDSHIFT_CMB: 0.53364 +- 0.00500
VPEC: 57.238
VPEC_ERR: 250.000
  
HOSTGAL_OBJID:        42108
HOSTGAL_PHOTOZ:    0.5168 +-  0.0284   # (HELIO)
HOSTGAL_SPECZ:     0.5328 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP:     0.2800              # arcSec
HOSTGAL_LOGMASS: 10.583 +- 0.124
HOSTGAL_MAG:            23.47    21.68    20.92    20.55    # griz
HOSTGAL_SB_FLUXCAL:      8.45    46.40    93.51   131.60    # griz
  
# Private variables
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
#==============================
NOBS:  58
NVAR:  11
VARLIST: MJD BAND FIELD  FLUXCAL FLUXCALERR  ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB 
OBS: 57325.120 DES-g C1 9.5620 21.744 30.628 2.320 26.39 4.420 0 0.980
OBS: 57325.122 DES-r C1 11.203 17.055 30.709 2.000 26.94 4.070 0 1.060
OBS: 57325.124 DES-i C1 -19.661 18.347 30.960 1.840 32.83 4.090 0 1.080
OBS: 57325.127 DES-z C1 15.575 16.506 30.651 1.819 25.34 4.065 0 0.960
OBS: 57329.211 DES-g C1 -3.8730 4.4725 30.681 2.840 7.04 4.170 0 1.030
OBS: 57329.213 DES-r C1 -12.314 7.6462 30.722 2.560 10.74 3.920 0 1.070
OBS: 57329.216 DES-i C1 15.501 16.235 30.966 2.560 19.58 4.030 0 0.950
OBS: 57329.218 DES-z C1 7.2533 18.524 30.647 2.761 19.26 4.100 0 0.990
OBS: 57332.074 DES-g C1 -5.1490 5.2285 30.603 3.300 6.93 4.070 0 0.940
OBS: 57332.077 DES-r C1 -8.8210 8.2985 30.702 2.590 11.21 3.910 0 1.010
OBS: 57332.079 DES-i C1 -2.0660 15.341 30.965 2.310 21.36 4.050 0 0.950
OBS: 57332.082 DES-z C1 10.466 17.380 30.689 2.349 21.74 4.065 0 1.080
OBS: 57339.295 DES-g C1 7.1303 4.2170 30.640 2.620 6.93 4.190 0 1.010
OBS: 57339.297 DES-r C1 2.3588 6.9216 30.685 2.260 11.05 3.930 0 0.860
OBS: 57339.300 DES-i C1 -0.30000E-01 15.568 30.949 2.460 21.65 4.070 0 1.040
OBS: 57339.302 DES-z C1 28.276 18.806 30.669 2.605 22.47 4.060 0 1.030
OBS: 57345.312 DES-g C1 32.263 5.9401 30.643 3.200 7.12 4.160 0 0.920
OBS: 57345.314 DES-r C1 58.150 9.3752 30.709 3.160 10.71 3.880 0 1.060
OBS: 57345.316 DES-i C1 40.605 17.436 30.961 2.820 19.49 4.040 0 0.930
OBS: 57345.319 DES-z C1 59.471 20.540 30.699 2.837 21.28 4.060 0 0.890
OBS: 57355.238 DES-g C1 61.543 10.025 30.663 2.190 20.85 4.410 0 1.080
OBS: 57355.240 DES-r C1 103.04 12.688 30.700 2.050 20.06 4.060 0 0.950
OBS: 57355.242 DES-i C1 98.061 16.628 30.962 1.970 26.24 4.050 0 0.970
OBS: 57355.245 DES-z C1 86.501 15.075 30.664 1.939 21.92 4.065 0 0.950
OBS: 57365.182 DES-g C1 28.591 2.6479 30.671 1.550 6.28 4.090 0 0.970
OBS: 57365.185 DES-r C1 98.673 5.2385 30.721 1.450 9.31 3.860 0 1.070
OBS: 57365.187 DES-i C1 84.270 9.5311 30.956 1.400 16.92 4.060 0 1.020
OBS: 57365.190 DES-z C1 104.05 9.5194 30.598 1.370 16.75 4.070 0 1.000
OBS: 57372.237 DES-g C1 18.029 5.7702 29.969 1.840 7.36 4.160 0 0.940
OBS: 57372.239 DES-r C1 71.830 13.963 29.865 1.800 12.05 3.990 0 1.010
OBS: 57372.241 DES-i C1 90.476 18.367 30.521 1.700 25.69 4.060 0 0.870
OBS: 57375.046 DES-g C1 7.9079 8.2562 30.656 2.480 15.77 4.390 0 0.910
OBS: 57375.048 DES-r C1 45.097 12.858 30.717 2.520 17.03 4.010 0 1.040
OBS: 57375.050 DES-i C1 85.805 14.898 30.957 2.110 24.56 4.060 0 1.040
OBS: 57375.052 DES-z C1 69.097 16.428 30.612 2.153 21.35 4.090 0 0.970
OBS: 57385.148 DES-g C1 6.9394 7.0964 30.682 1.780 17.11 4.360 0 1.060
OBS: 57385.151 DES-r C1 14.325 7.7158 30.733 1.640 16.60 4.010 0 1.110
OBS: 57385.153 DES-i C1 44.848 11.159 30.976 1.560 22.49 4.100 0 1.040
OBS: 57385.155 DES-z C1 35.114 11.688 30.647 1.601 20.23 4.085 0 0.990
OBS: 57389.149 DES-g C1 -2.2050 5.1647 30.692 3.120 7.01 4.190 0 0.920
OBS: 57389.152 DES-r C1 20.178 7.7794 30.743 2.570 10.29 3.880 0 0.990
OBS: 57389.154 DES-i C1 33.079 15.236 30.976 2.330 21.74 4.070 0 1.060
OBS: 57389.156 DES-z C1 57.494 18.948 30.650 2.365 22.81 4.074 0 0.970
OBS: 57394.160 DES-r C1 10.681 8.1195 30.718 2.590 10.89 3.920 0 0.960
OBS: 57394.162 DES-i C1 22.862 16.024 30.967 2.480 23.86 4.060 0 1.050
OBS: 57394.165 DES-z C1 36.556 21.273 30.603 2.355 25.20 4.050 0 0.960
OBS: 57401.136 DES-g C1 1.4637 2.5726 30.660 1.710 6.24 4.090 0 1.070
OBS: 57401.138 DES-r C1 10.888 4.2727 30.718 1.570 9.18 3.850 0 1.070
OBS: 57401.140 DES-i C1 24.331 10.114 30.955 1.590 18.29 4.020 0 0.970
OBS: 57401.143 DES-z C1 43.641 11.420 30.596 1.601 18.51 4.120 0 1.110
OBS: 57408.065 DES-g C1 6.7401 16.655 30.633 1.960 27.73 4.410 0 1.020
OBS: 57408.067 DES-r C1 4.7054 13.145 30.710 1.700 27.83 4.070 0 0.990
OBS: 57408.069 DES-i C1 17.360 18.222 30.936 1.620 34.27 4.090 0 0.960
OBS: 57408.072 DES-z C1 31.264 15.869 30.545 1.538 25.93 4.091 0 0.940
OBS: 57425.146 DES-g C1 -2.8800 6.0770 30.547 3.190 7.66 4.210 0 1.080
OBS: 57425.149 DES-r C1 0.40305 10.005 30.661 2.820 11.49 3.940 0 0.990
OBS: 57425.151 DES-i C1 -8.2000 19.164 30.928 2.790 23.00 4.080 0 1.090
OBS: 57425.154 DES-z C1 9.5399 27.383 30.608 2.884 24.47 4.040 0 0.890
END: 
