SURVEY: DES
SNID: 1306073
IAUC:       NULL                
FILTERS: griz
FAKE:         0
TYPE:         1
MASK_FLUXCOR_SNANA:    3
RA:            36.850643               # deg
DEC:          -3.749355               # deg
MWEBV: 0.024 # MW E(B-V)
MWEBV_ERR:    0.001                    # MW E(B-V)
PIXSIZE:     0.2700                    # arcSec
PEAKMJD:     56968.801
REDSHIFT_HELIO: 0.32960 +- 0.00100
REDSHIFT_CMB: 0.32880 +- 0.00100
VPEC: 77.547
VPEC_ERR: 250.000
  
HOSTGAL_OBJID:        37919
HOSTGAL_PHOTOZ:    0.3627 +-  0.0886   # (HELIO)
HOSTGAL_SPECZ:     0.3296 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP:     0.5000              # arcSec
HOSTGAL_LOGMASS: 10.400 +- 0.151
HOSTGAL_MAG:            22.45    21.09    20.62    20.42    # griz
HOSTGAL_SB_FLUXCAL:     19.07    69.51   107.13   136.27    # griz
  
# Private variables
 
# ====================================== 
# TERSE LIGHT CURVE OUTPUT 
# 
#==============================
NOBS:  56
NVAR:  11
VARLIST: MJD BAND FIELD  FLUXCAL FLUXCALERR  ZPFLUX PSF SKYSIG GAIN PHOTFLAG PHOTPROB 
OBS: 56949.124 DES-g X3 2.1170 12.210 29.673 2.222 6.66 3.540 32768 0.960
OBS: 56949.136 DES-r X3 3.0730 16.421 31.028 2.547 15.92 3.572 65536 0.950
OBS: 56949.150 DES-i X3 1.6260 7.6035 31.546 1.918 13.16 3.637 0 0.980
OBS: 56949.166 DES-z X3 -6.7770 17.414 30.704 2.159 13.10 3.871 98304 0.990
OBS: 56956.217 DES-g X3 11.096 3.5848 30.911 2.059 5.73 3.513 0 1.010
OBS: 56956.226 DES-r X3 27.967 5.7537 31.736 1.946 12.71 3.566 0 1.050
OBS: 56956.242 DES-i X3 29.867 9.0765 31.489 2.172 14.32 3.615 0 1.020
OBS: 56956.265 DES-z X3 27.617 9.0763 31.040 1.780 12.58 3.836 0 1.000
OBS: 56960.247 DES-g X3 52.048 5.6351 30.837 3.672 5.45 3.496 0 1.000
OBS: 56960.284 DES-r X3 73.129 9.5626 31.616 2.851 14.23 3.546 0 1.080
OBS: 56961.206 DES-z X3 77.105 13.415 31.088 2.083 14.92 3.846 229376 1.060
OBS: 56966.146 DES-z X3 127.65 21.020 31.245 2.067 26.71 3.611 98304 1.010
OBS: 56973.049 DES-i X3 170.67 7.6994 31.656 1.910 14.50 3.604 0 0.970
OBS: 56973.087 DES-g X3 114.19 3.7748 30.927 2.202 5.10 3.477 0 1.050
OBS: 56973.096 DES-r X3 170.01 5.3703 31.834 1.985 11.03 3.477 0 1.060
OBS: 56973.196 DES-z X3 121.42 7.4594 31.240 1.796 11.50 3.842 0 0.970
OBS: 56980.079 DES-g X3 75.452 3.4919 30.927 2.047 5.32 3.461 0 1.040
OBS: 56980.088 DES-r X3 146.70 5.3173 31.827 1.773 12.40 3.557 0 1.000
OBS: 56980.104 DES-i X3 151.46 7.0253 31.656 1.617 15.62 3.612 0 1.040
OBS: 56980.128 DES-z X3 112.20 7.4683 31.210 1.512 13.32 3.835 0 1.020
OBS: 56987.085 DES-g X3 38.575 3.4476 30.964 2.147 5.42 3.476 0 1.050
OBS: 56987.093 DES-r X3 99.968 5.2290 31.857 1.946 11.80 3.473 0 1.080
OBS: 56987.109 DES-i X3 106.69 6.9033 31.685 1.704 14.48 3.598 0 1.020
OBS: 56987.133 DES-z X3 67.147 7.2986 31.279 1.640 13.10 3.821 0 1.020
OBS: 56990.085 DES-g X3 27.101 8.3369 30.686 2.267 10.89 3.606 0 0.980
OBS: 56990.094 DES-r X3 81.135 8.2383 31.641 1.973 18.66 3.558 0 0.970
OBS: 56990.110 DES-i X3 97.651 16.285 30.970 1.776 21.28 3.698 0 1.010
OBS: 56990.130 DES-z X3 63.461 8.3825 31.172 1.697 12.87 3.833 0 0.970
OBS: 57001.050 DES-g X3 10.345 3.4205 30.956 2.395 4.99 3.473 0 1.050
OBS: 57001.060 DES-r X3 36.975 4.6589 31.851 1.882 10.88 3.500 0 1.050
OBS: 57001.075 DES-i X3 74.033 7.3536 31.670 1.863 13.97 3.614 0 1.000
OBS: 57001.098 DES-z X3 66.558 8.7577 31.240 1.964 12.75 3.840 32768 1.020
OBS: 57005.085 DES-g X3 9.5928 4.4349 30.971 3.373 5.19 3.451 0 1.080
OBS: 57005.095 DES-r X3 28.030 6.0538 31.868 2.641 11.38 3.453 0 0.990
OBS: 57005.110 DES-i X3 65.345 9.7448 31.681 2.391 16.33 3.606 32768 1.000
OBS: 57005.142 DES-z X3 63.344 11.274 31.256 2.463 13.77 3.804 0 1.000
OBS: 57012.096 DES-g X3 1.5310 4.0177 30.966 3.071 5.05 3.453 0 0.950
OBS: 57012.105 DES-r X3 19.187 5.5393 31.869 2.559 10.37 3.483 0 1.050
OBS: 57012.121 DES-i X3 37.649 8.3269 31.685 2.595 12.37 3.576 0 0.930
OBS: 57012.148 DES-z X3 26.490 16.217 30.961 2.720 13.20 3.857 98304 1.010
OBS: 57018.099 DES-g X3 5.2279 4.4663 30.909 2.530 7.20 3.566 0 0.990
OBS: 57018.131 DES-r X3 15.107 6.9544 31.819 2.848 12.75 3.557 0 1.050
OBS: 57018.152 DES-i X3 29.823 11.285 31.649 2.849 16.06 3.608 0 0.960
OBS: 57019.099 DES-z X3 24.885 10.193 31.225 2.606 11.26 3.835 0 1.040
OBS: 57025.100 DES-r X3 7.4284 15.760 31.812 2.514 31.22 3.616 0 0.950
OBS: 57025.116 DES-i X3 20.829 12.912 31.633 2.279 25.22 3.695 0 0.990
OBS: 57032.064 DES-r X3 8.1203 6.4272 31.830 2.672 11.53 3.456 0 1.040
