SURVEY: PS1_LOWZ_COMBINED(CFA2)   
SNID:   5999416   
IAUC:    NULL 
PHOTOMETRY_VERSION: SALT3TEST_SIMPLE 
SNTYPE:  1 
FILTERS: bcdeghijlmnopqrsuvwxyzACDEFHIJK 
RA:      21.189381  deg 
DEC:     9.511770  deg 
PIXSIZE:  0.5000  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.193274 +- 0.000010  (Helio, z_best) 
REDSHIFT_FINAL:   0.192036 +- 0.000010  (CMB) 
REDSHIFT_STATUS:  OK 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   51752.422 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
HOSTGAL_OBJID:    -9  
HOSTGAL_PHOTOZ:   -9.0000  +- -9.0000 
HOSTGAL_SPECZ:    0.0000  +- 0.0000 
HOSTGAL_RA:       -999.000000    # deg 
HOSTGAL_DEC:      -999.000000    # deg 
HOSTGAL_SNSEP:    -9.000    # arcsec 
HOSTGAL_DDLR:     -9.000    # SNSEP/DLR  
HOSTGAL_CONFUSION:   0.000  
 

SIM_MODEL_NAME:  SALT2.JLA-B14 
SIM_MODEL_INDEX:  6 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = SALT2.JLA-B14  
SIM_LIBID:  428  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.19326  
SIM_REDSHIFT_CMB:    0.19203  
SIM_REDSHIFT_HOST:   0.19326  
SIM_VPEC:  -0.0 (km/sec) 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      39.8600  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        21.189381 deg  
SIM_DEC:       9.511770 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  0   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_MAGSMEAR_COH:    0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000 -9.000
     -9.000  (bcdeghijlmnopqrsuvwxyzACDEFHIJK F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00
      -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  -9.00  20.90  20.39  20.30
      20.35  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_EXPOSURE:  100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0 100000.0
     100000.0  (bcdeghijlmnopqrsuvwxyzACDEFHIJK obs)
SIM_PEAKMJD:   51752.421875  days 
SIM_SALT2alpha:    0.165   
SIM_SALT2beta:     3.032   
SIM_SALT2x0:   1.2567e-04   
SIM_SALT2x1:    0.6550   
SIM_SALT2c:     0.0000   
SIM_SALT2mB:   20.3869   
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_TRESTMIN:    -7.08   days 
SIM_TRESTMAX:    37.24   days 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 358 
NVAR: 9 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS
OBS:  51750.879  K NULL   7.1428e+02   1.377e+01    0  32.417   0.85 20.3653 
OBS:  51750.949  H NULL   4.5190e+02   1.792e+00    0  34.625   0.85 20.8624 
OBS:  51750.949  I NULL   6.9779e+02   2.256e+00    0  34.516   0.85 20.3907 
OBS:  51750.949  J NULL   7.4547e+02   4.377e+00    0  33.688   0.85 20.3189 
OBS:  51750.949  K NULL   7.1462e+02   3.151e+00    0  34.824   0.85 20.3648 
OBS:  51751.852  H NULL   4.4377e+02   1.398e+00    0  34.970   0.85 20.8821 
OBS:  51751.852  I NULL   6.9939e+02   4.372e+00    0  33.590   0.85 20.3882 
OBS:  51751.852  J NULL   7.5410e+02   7.337e+00    0  33.000   0.85 20.3064 
OBS:  51751.852  K NULL   7.1934e+02   1.342e+01    0  32.446   0.85 20.3577 
OBS:  51751.969  H NULL   4.4238e+02   1.964e+00    0  34.491   0.85 20.8855 
OBS:  51751.969  I NULL   6.9918e+02   1.311e+00    0  35.396   0.85 20.3885 
OBS:  51751.969  J NULL   7.5501e+02   2.066e+00    0  34.869   0.85 20.3051 
OBS:  51751.969  K NULL   7.2007e+02   4.886e+00    0  34.027   0.85 20.3566 
OBS:  51752.879  H NULL   4.3082e+02   1.273e+00    0  35.103   0.85 20.9143 
OBS:  51752.879  I NULL   6.9591e+02   4.420e+00    0  33.577   0.85 20.3936 
OBS:  51752.879  J NULL   7.5959e+02   6.830e+00    0  33.082   0.85 20.2986 
OBS:  51752.879  K NULL   7.2371e+02   1.246e+01    0  32.528   0.85 20.3511 
OBS:  51752.891  H NULL   4.3066e+02   1.980e+00    0  34.478   0.85 20.9147 
OBS:  51752.891  I NULL   6.9585e+02   4.823e+00    0  33.454   0.85 20.3937 
OBS:  51752.891  J NULL   7.5963e+02   1.074e+01    0  32.506   0.85 20.2985 
OBS:  51752.891  K NULL   7.2375e+02   2.550e+01    0  31.588   0.85 20.3510 
OBS:  51752.961  H NULL   4.2958e+02   1.798e+00    0  34.615   0.85 20.9174 
OBS:  51752.961  I NULL   6.9535e+02   2.390e+00    0  34.446   0.85 20.3945 
OBS:  51752.961  J NULL   7.5980e+02   2.519e+00    0  34.538   0.85 20.2982 
OBS:  51752.961  K NULL   7.2402e+02   3.002e+00    0  34.915   0.85 20.3506 
OBS:  51753.531  H NULL   4.2087e+02   1.792e+00    0  34.595   0.85 20.9396 
OBS:  51753.531  I NULL   6.9104e+02   2.428e+00    0  34.426   0.85 20.4012 
OBS:  51753.531  J NULL   7.6053e+02   4.576e+00    0  33.638   0.85 20.2972 
OBS:  51753.531  K NULL   7.2541e+02   2.940e+00    0  34.956   0.85 20.3485 
OBS:  51753.898  H NULL   4.1506e+02   1.792e+00    0  34.615   0.85 20.9547 
OBS:  51753.898  I NULL   6.8777e+02   4.575e+00    0  33.536   0.85 20.4064 
OBS:  51753.898  J NULL   7.6022e+02   4.537e+00    0  33.648   0.85 20.2977 
OBS:  51753.898  K NULL   7.2563e+02   2.914e+00    0  34.966   0.85 20.3482 
OBS:  51753.961  H NULL   4.1403e+02   1.777e+00    0  34.625   0.85 20.9574 
OBS:  51753.961  I NULL   6.8715e+02   2.387e+00    0  34.446   0.85 20.4074 
OBS:  51753.961  J NULL   7.6009e+02   2.519e+00    0  34.538   0.85 20.2978 
OBS:  51753.961  K NULL   7.2561e+02   2.914e+00    0  34.966   0.85 20.3482 
OBS:  51754.559  H NULL   4.0394e+02   3.482e+00    0  33.734   0.85 20.9842 
OBS:  51754.559  I NULL   6.8062e+02   2.417e+00    0  34.406   0.85 20.4177 
OBS:  51754.559  J NULL   7.5804e+02   2.552e+00    0  34.498   0.85 20.3008 
OBS:  51754.559  K NULL   7.2486e+02   2.929e+00    0  34.977   0.85 20.3494 
OBS:  51754.961  H NULL   3.9685e+02   1.712e+00    0  34.665   0.85 21.0034 
OBS:  51754.961  I NULL   6.7557e+02   2.423e+00    0  34.426   0.85 20.4258 
OBS:  51754.961  J NULL   7.5578e+02   2.496e+00    0  34.548   0.85 20.3040 
OBS:  51754.961  K NULL   7.2372e+02   2.853e+00    0  35.007   0.85 20.3511 
OBS:  51754.969  H NULL   3.9671e+02   1.218e+00    0  35.146   0.85 21.0038 
OBS:  51754.969  I NULL   6.7546e+02   4.473e+00    0  33.561   0.85 20.4260 
OBS:  51754.969  J NULL   7.5573e+02   6.979e+00    0  33.057   0.85 20.3041 
