OBS:  52442.176  b NULL   7.8327e+03   2.677e+00    0  35.249    0.85  17.7650 
OBS:  52442.180  c NULL   7.4692e+03   1.366e+00    0  36.685    0.85  17.8168 
OBS:  52442.180  d NULL   8.5962e+03   2.155e+00    0  35.929    0.85  17.6641 
OBS:  52443.176  b NULL   9.2866e+03   2.842e+00    0  35.284    0.85  17.5804 
OBS:  52443.180  c NULL   8.7820e+03   1.718e+00    0  36.346    0.85  17.6409 
OBS:  52443.180  d NULL   1.0082e+04   2.325e+00    0  35.907    0.85  17.4912 
OBS:  52444.148  b NULL   1.0616e+04   3.348e+00    0  35.069    0.85  17.4351 
OBS:  52444.152  d NULL   1.1427e+04   4.268e+00    0  34.761    0.85  17.3548 
OBS:  52447.168  b NULL   1.3610e+04   5.147e+00    0  34.426    0.85  17.1656 
OBS:  52447.168  c NULL   1.2774e+04   2.638e+00    0  35.785    0.85  17.2343 
OBS:  52447.172  d NULL   1.4371e+04   3.740e+00    0  35.220    0.85  17.1061 
OBS:  52449.168  b NULL   1.4554e+04   5.496e+00    0  34.356    0.85  17.0927 
OBS:  52449.168  c NULL   1.3809e+04   3.240e+00    0  35.426    0.85  17.1494 
OBS:  52449.172  d NULL   1.5370e+04   4.993e+00    0  34.676    0.85  17.0338 
OBS:  52450.152  c NULL   1.4141e+04   4.068e+00    0  34.976    0.85  17.1235 
OBS:  52450.152  d NULL   1.5704e+04   3.477e+00    0  35.447    0.85  17.0101 
OBS:  52451.156  b NULL   1.4683e+04   5.183e+00    0  34.477    0.85  17.0828 
OBS:  52451.156  c NULL   1.4349e+04   2.985e+00    0  35.635    0.85  17.1079 
OBS:  52451.160  d NULL   1.5934e+04   3.370e+00    0  35.530    0.85  16.9939 
OBS:  52452.145  b NULL   1.4456e+04   4.713e+00    0  34.654    0.85  17.0993 
OBS:  52452.148  c NULL   1.4421e+04   3.216e+00    0  35.483    0.85  17.1027 
OBS:  52452.152  d NULL   1.6049e+04   3.767e+00    0  35.301    0.85  16.9865 
OBS:  52452.152  b NULL   1.4462e+04   5.253e+00    0  34.438    0.85  17.0994 
OBS:  52453.148  b NULL   1.4107e+04   4.605e+00    0  34.683    0.85  17.1264 
OBS:  52453.148  c NULL   1.4370e+04   2.826e+00    0  35.753    0.85  17.1067 
OBS:  52453.152  d NULL   1.6026e+04   3.737e+00    0  35.315    0.85  16.9877 
OBS:  52453.156  b NULL   1.4106e+04   4.273e+00    0  34.830    0.85  17.1267 
OBS:  52461.156  b NULL   8.7285e+03   2.531e+00    0  35.462    0.85  17.6483 
OBS:  52461.160  c NULL   1.1027e+04   2.217e+00    0  36.016    0.85  17.3942 
OBS:  52461.160  d NULL   1.1557e+04   2.736e+00    0  35.685    0.85  17.3432 
END_PHOTOMETRY: 
