OBS:  52739.215  c NULL   1.8646e+03   6.230e-01    0  37.266    0.85  19.3233 
OBS:  52739.219  d NULL   2.1987e+03   1.583e+00    0  35.670    0.85  19.1443 
OBS:  52745.305  b NULL   7.0895e+02   3.469e-01    0  37.570    0.85  20.3733 
OBS:  52745.309  c NULL   1.2907e+03   8.973e-01    0  36.313    0.85  19.7226 
OBS:  52745.309  d NULL   1.6376e+03   2.016e+00    0  35.099    0.85  19.4651 
OBS:  52750.234  c NULL   9.2482e+02   4.613e-01    0  37.520    0.85  20.0851 
OBS:  52750.234  d NULL   1.4011e+03   1.041e+00    0  36.328    0.85  19.6330 
OBS:  52758.152  c NULL   5.4398e+02   3.342e-01    0  37.996    0.85  20.6624 
OBS:  52758.156  d NULL   1.1052e+03   8.147e-01    0  36.736    0.85  19.8918 
OBS:  52762.238  b NULL   1.6423e+02   1.576e-01    0  38.589    0.85  21.9598 
OBS:  52762.238  c NULL   4.2895e+02   3.653e-01    0  37.740    0.85  20.9187 
OBS:  52762.242  d NULL   9.2625e+02   7.272e-01    0  36.917    0.85  20.0834 
OBS:  52766.246  c NULL   3.4681e+02   5.782e-01    0  36.760    0.85  21.1470 
OBS:  52766.250  d NULL   7.4897e+02   6.136e-01    0  37.194    0.85  20.3148 
OBS:  52782.141  c NULL   2.1794e+02   2.713e-01    0  38.212    0.85  21.6552 
END_PHOTOMETRY: 
