OBS:  54073.000  z NULL   6.1522e+02   1.614e-01    0  39.823   0.85 20.5274 
OBS:  54073.000  y NULL   5.5465e+02   1.444e-01    0  39.618   0.85 20.6400 
OBS:  54073.000  A NULL   5.5389e+02   3.521e-01    0  38.990   0.85 20.6414 
OBS:  54073.000  x NULL   6.3555e+02   3.250e-01    0  38.093   0.85 20.4921 
OBS:  54075.100  x NULL   5.9873e+02   1.504e-01    0  39.720   0.85 20.5569 
OBS:  54075.100  z NULL   5.9802e+02   1.265e-01    0  40.342   0.85 20.5582 
OBS:  54075.100  A NULL   5.3946e+02   2.191e-01    0  40.016   0.85 20.6701 
OBS:  54075.100  y NULL   5.0949e+02   9.155e-02    0  40.572   0.85 20.7322 
OBS:  54075.100  u NULL   3.5674e+02   1.527e-01    0  38.957   0.85 21.1191 
OBS:  54080.000  x NULL   4.7285e+02   1.910e-01    0  39.121   0.85 20.8132 
OBS:  54080.000  z NULL   5.0848e+02   9.241e-02    0  40.979   0.85 20.7343 
OBS:  54080.000  A NULL   4.4354e+02   1.499e-01    0  40.817   0.85 20.8827 
OBS:  54080.000  y NULL   3.7769e+02   6.149e-02    0  41.325   0.85 21.0572 
OBS:  54080.000  u NULL   2.5114e+02   8.615e-02    0  40.041   0.85 21.5002 
OBS:  54084.000  z NULL   4.1686e+02   1.655e-01    0  39.667   0.85 20.9500 
OBS:  54084.000  y NULL   2.7125e+02   5.091e-01    0  36.799   0.85 21.4166 
OBS:  54084.000  u NULL   1.7509e+02   8.943e-02    0  39.849   0.85 21.8918 
OBS:  54084.000  A NULL   3.5523e+02   3.144e-01    0  39.192   0.85 21.1237 
OBS:  54084.000  x NULL   3.6082e+02   1.274e-01    0  39.920   0.85 21.1068 
OBS:  54087.000  z NULL   3.5446e+02   1.067e-01    0  40.582   0.85 21.1261 
OBS:  54087.000  y NULL   2.0168e+02   1.398e-01    0  39.395   0.85 21.7384 
OBS:  54087.000  u NULL   1.2680e+02   8.371e-02    0  39.912   0.85 22.2422 
OBS:  54087.000  A NULL   3.1862e+02   1.843e-01    0  40.341   0.85 21.2418 
OBS:  54087.000  x NULL   2.8274e+02   8.358e-02    0  40.774   0.85 21.3715 
OBS:  54091.000  z NULL   2.9126e+02   1.276e-01    0  40.160   0.85 21.3393 
OBS:  54091.000  u NULL   8.1154e+01   4.905e-01    0  36.364   0.85 22.7267 
OBS:  54091.000  A NULL   2.9075e+02   2.204e-01    0  39.946   0.85 21.3412 
END_PHOTOMETRY: 
