# SB-anamoly noise-model used in  arXiv:1507.05137,
#    http://adsabs.harvard.edu/abs/2015arXiv150705137K'
#
# This file can be used by the simulation to increase scatter
# (but not errors) with sim-input key
#    HOSTNOISE_FILE:  DES_Y1reproc2_SBNOISEMODEL.DAT
#
# and also to inflate the errors in any snana program via
#  &SNLCINP
#    FUDGE_HOSTNOISE_FILE = 'DES_Y1reproc2_SBNOISEMODEL.DAT'
#


NOISEMODEL_NAME: SB_ERRSCALE 

# SBMAG    = mag/arcsec^2 in template at SN location 
#          = 27.5 - 2.5*log10(FLUXCAL_SB) 
# ERRSCALE: fluxerr -> fluxerr x ERRSCALE 

LIBID: 1
BAND: g   FIELD: 1+2+3+4+5+6+7+8+9+10
#          SBMAG  ERRSCALE  
HOSTNOISE:  19.50  1.92
HOSTNOISE:  20.50  1.81
HOSTNOISE:  21.50  1.51
HOSTNOISE:  22.50  1.19
HOSTNOISE:  23.50  1.10
HOSTNOISE:  24.50  1.05
HOSTNOISE:  25.50  1.00
HOSTNOISE:  26.50  1.01
HOSTNOISE:  27.50  1.00
HOSTNOISE:  28.50  1.01

LIBID: 2
BAND: r   FIELD: 1+2+3+4+5+6+7+8+9+10
#          SBMAG  ERRSCALE  
HOSTNOISE:  19.50  2.11
HOSTNOISE:  20.50  1.78
HOSTNOISE:  21.50  1.43
HOSTNOISE:  22.50  1.19
HOSTNOISE:  23.50  1.06
HOSTNOISE:  24.50  1.04
HOSTNOISE:  25.50  1.02
HOSTNOISE:  26.50  1.05
HOSTNOISE:  27.50  1.00
HOSTNOISE:  28.50  1.06

LIBID: 3
BAND: i   FIELD: 1+2+3+4+5+6+7+8+9+10
#          SBMAG  ERRSCALE  
HOSTNOISE:  19.50  2.17
HOSTNOISE:  20.50  1.80
HOSTNOISE:  21.50  1.45
HOSTNOISE:  22.50  1.17
HOSTNOISE:  23.50  1.10
HOSTNOISE:  24.50  1.06
HOSTNOISE:  25.50  1.06
HOSTNOISE:  26.50  1.05
HOSTNOISE:  27.50  1.06
HOSTNOISE:  28.50  1.09

LIBID: 4
BAND: z   FIELD: 1+2+3+4+5+6+7+8+9+10
#          SBMAG  ERRSCALE  
HOSTNOISE:  19.50  2.04
HOSTNOISE:  20.50  1.53
HOSTNOISE:  21.50  1.24
HOSTNOISE:  22.50  1.10
HOSTNOISE:  23.50  1.06
HOSTNOISE:  24.50  1.04
HOSTNOISE:  25.50  1.02
HOSTNOISE:  26.50  1.03
HOSTNOISE:  27.50  1.01
HOSTNOISE:  28.50  1.00
