SPEC:   3685.51   3687.54 6.12149e-01 4.04217e-02 1
SPEC:   3687.54   3689.57 5.63208e-01 3.96028e-02 1
SPEC:   3689.57   3691.60 5.91076e-01 4.03741e-02 1
SPEC:   3691.60   3693.62 5.51920e-01 4.02735e-02 1
SPEC:   3693.62   3695.65 5.18963e-01 3.95500e-02 1
SPEC:   3695.65   3697.68 4.92518e-01 3.98207e-02 1
SPEC:   3697.68   3699.71 4.95683e-01 3.95529e-02 1
SPEC:   3699.71   3701.73 5.31830e-01 3.94345e-02 1
SPEC:   3701.73   3703.76 5.62048e-01 3.97081e-02 1
SPEC:   3703.76   3705.79 5.79838e-01 3.90927e-02 1
SPEC:   3705.79   3707.82 5.93498e-01 3.85406e-02 1
SPEC:   3707.82   3709.85 5.36231e-01 3.82189e-02 1
SPEC:   3709.85   3711.87 5.07751e-01 3.85987e-02 1
SPEC:   3711.87   3713.90 5.21704e-01 3.88543e-02 1
SPEC:   3713.90   3715.93 5.12094e-01 3.82021e-02 1
SPEC:   3715.93   3717.96 5.55976e-01 3.81271e-02 1
SPEC:   3717.96   3719.98 5.41677e-01 3.63832e-02 1
SPEC:   3719.98   3722.01 4.71166e-01 3.53487e-02 1
SPEC:   3722.01   3724.04 5.18357e-01 3.60412e-02 1
SPEC:   3724.04   3726.07 5.94828e-01 3.72110e-02 1
SPEC:   3726.07   3728.10 6.37073e-01 3.76802e-02 1
SPEC:   3728.10   3730.12 5.67328e-01 3.69998e-02 1
SPEC:   3730.12   3732.15 5.43529e-01 3.64923e-02 1
SPEC:   3732.15   3734.18 4.53384e-01 3.45832e-02 1
SPEC:   3734.18   3736.21 4.04702e-01 3.38738e-02 1
SPEC:   3736.21   3738.23 3.81972e-01 3.38410e-02 1
SPEC:   3738.23   3740.26 4.28044e-01 3.50926e-02 1
SPEC:   3740.26   3742.29 3.80443e-01 3.45087e-02 1
SPEC:   3742.29   3744.32 4.10683e-01 3.40960e-02 1
SPEC:   3744.32   3746.35 4.77565e-01 3.41148e-02 1
SPEC:   3746.35   3748.37 4.01732e-01 3.26946e-02 1
SPEC:   3748.37   3750.40 3.64787e-01 3.27996e-02 1
SPEC:   3750.40   3752.43 3.57737e-01 3.31687e-02 1
SPEC:   3752.43   3754.46 4.57773e-01 3.47082e-02 1
SPEC:   3754.46   3756.48 4.13099e-01 3.35128e-02 1
SPEC:   3756.48   3758.51 3.63078e-01 3.28364e-02 1
SPEC:   3758.51   3760.54 4.39193e-01 3.28938e-02 1
SPEC:   3760.54   3762.57 3.95543e-01 3.24045e-02 1
SPEC:   3762.57   3764.60 2.74233e-01 3.11638e-02 1
SPEC:   3764.60   3766.62 2.51172e-01 3.05318e-02 1
SPEC:   3766.62   3768.65 3.62513e-01 3.21263e-02 1
SPEC:   3768.65   3770.68 3.58297e-01 3.18728e-02 1
SPEC:   3770.68   3772.71 3.42178e-01 3.17519e-02 1
SPEC:   3772.71   3774.73 3.25817e-01 3.16097e-02 1
SPEC:   3774.73   3776.76 3.09657e-01 3.14651e-02 1
SPEC:   3776.76   3778.79 2.93478e-01 3.13207e-02 1
SPEC:   3778.79   3780.82 2.77287e-01 3.11758e-02 1
SPEC:   3780.82   3782.85 2.61517e-01 3.10291e-02 1
SPEC:   3782.85   3784.87 2.47190e-01 3.08735e-02 1
SPEC:   3784.87   3786.90 2.81090e-01 3.09760e-02 1
SPEC:   3786.90   3788.93 2.45905e-01 2.98774e-02 1
SPEC:   3788.93   3790.96 2.37865e-01 2.98416e-02 1
SPEC:   3790.96   3792.98 2.87902e-01 2.98637e-02 1
SPEC:   3792.98   3795.01 2.71648e-01 2.96614e-02 1
SPEC:   3795.01   3797.04 2.30713e-01 2.90229e-02 1
SPEC:   3797.04   3799.07 2.65283e-01 2.87848e-02 1
SPEC:   3799.07   3801.10 2.76161e-01 2.90795e-02 1
SPEC:   3801.10   3803.12 3.00626e-01 2.99952e-02 1
SPEC:   3803.12   3805.15 3.35009e-01 3.06828e-02 1
SPEC:   3805.15   3807.18 3.97771e-01 3.10083e-02 1
SPEC:   3807.18   3809.21 3.29351e-01 2.96307e-02 1
SPEC:   3809.21   3811.24 2.82900e-01 2.89589e-02 1
SPEC:   3811.24   3813.26 2.56004e-01 2.86353e-02 1
SPEC:   3813.26   3815.29 1.86484e-01 2.78150e-02 1
SPEC:   3815.29   3817.32 2.21316e-01 2.73620e-02 1
SPEC:   3817.32   3819.35 3.12074e-01 2.80389e-02 1
SPEC:   3819.35   3821.37 2.59150e-01 2.73369e-02 1
SPEC:   3821.37   3823.40 2.37834e-01 2.67195e-02 1
SPEC:   3823.40   3825.43 1.80193e-01 2.54614e-02 1
SPEC:   3825.43   3827.46 2.09271e-01 2.59872e-02 1
SPEC:   3827.46   3829.49 3.12449e-01 2.67668e-02 1
SPEC:   3829.49   3831.51 3.62875e-01 2.74023e-02 1
SPEC:   3831.51   3833.54 3.34733e-01 2.74746e-02 1
SPEC:   3833.54   3835.57 2.76228e-01 2.64104e-02 1
SPEC:   3835.57   3837.60 2.79545e-01 2.58370e-02 1
SPEC:   3837.60   3839.62 2.73348e-01 2.58838e-02 1
SPEC:   3839.62   3841.65 2.62455e-01 2.59630e-02 1
SPEC:   3841.65   3843.68 2.93404e-01 2.67685e-02 1
SPEC:   3843.68   3845.71 2.52462e-01 2.64070e-02 1
SPEC:   3845.71   3847.74 2.96461e-01 2.69315e-02 1
SPEC:   3847.74   3849.76 3.24261e-01 2.67464e-02 1
SPEC:   3849.76   3851.79 3.73529e-01 2.70509e-02 1
SPEC:   3851.79   3853.82 3.34980e-01 2.66612e-02 1
SPEC:   3853.82   3855.85 2.18735e-01 2.45454e-02 1
SPEC:   3855.85   3857.87 2.55788e-01 2.50120e-02 1
SPEC:   3857.87   3859.90 2.52816e-01 2.45500e-02 1
SPEC:   3859.90   3861.93 2.41486e-01 2.52072e-02 1
SPEC:   3861.93   3863.96 2.97202e-01 2.58523e-02 1
SPEC:   3863.96   3865.99 3.28732e-01 2.60445e-02 1
SPEC:   3865.99   3868.01 3.18098e-01 2.60244e-02 1
SPEC:   3868.01   3870.04 2.34143e-01 2.46340e-02 1
SPEC:   3870.04   3872.07 3.14286e-01 2.52350e-02 1
SPEC:   3872.07   3874.10 3.50908e-01 2.51613e-02 1
SPEC:   3874.10   3876.12 3.44204e-01 2.55803e-02 1
SPEC:   3876.12   3878.15 3.34846e-01 2.55030e-02 1
SPEC:   3878.15   3880.18 3.27410e-01 2.48417e-02 1
SPEC:   3880.18   3882.21 3.03713e-01 2.47381e-02 1
SPEC:   3882.21   3884.24 3.49094e-01 2.48084e-02 1
SPEC:   3884.24   3886.26 4.00282e-01 2.54843e-02 1
SPEC:   3886.26   3888.29 3.66612e-01 2.52464e-02 1
SPEC:   3888.29   3890.32 3.93307e-01 2.55170e-02 1
SPEC:   3890.32   3892.35 3.74298e-01 2.49510e-02 1
SPEC:   3892.35   3894.37 3.77666e-01 2.56847e-02 1
SPEC:   3894.37   3896.40 3.52179e-01 2.54488e-02 1
SPEC:   3896.40   3898.43 3.54895e-01 2.56754e-02 1
SPEC:   3898.43   3900.46 4.64928e-01 2.64053e-02 1
SPEC:   3900.46   3902.49 5.43923e-01 2.66027e-02 1
SPEC:   3902.49   3904.51 5.61003e-01 2.69156e-02 1
SPEC:   3904.51   3906.54 4.90134e-01 2.66794e-02 1
SPEC:   3906.54   3908.57 4.71107e-01 2.65411e-02 1
SPEC:   3908.57   3910.60 4.81960e-01 2.71801e-02 1
SPEC:   3910.60   3912.62 4.57142e-01 2.68490e-02 1
SPEC:   3912.62   3914.65 5.35164e-01 2.73837e-02 1
SPEC:   3914.65   3916.68 4.56623e-01 2.64793e-02 1
SPEC:   3916.68   3918.71 4.62262e-01 2.64704e-02 1
SPEC:   3918.71   3920.74 5.73676e-01 2.69227e-02 1
SPEC:   3920.74   3922.76 6.08883e-01 2.68759e-02 1
SPEC:   3922.76   3924.79 5.79248e-01 2.61043e-02 1
SPEC:   3924.79   3926.82 6.67392e-01 2.65970e-02 1
SPEC:   3926.82   3928.85 6.68769e-01 2.56632e-02 1
SPEC:   3928.85   3930.87 6.31127e-01 2.47828e-02 1
SPEC:   3930.87   3932.90 5.66199e-01 2.39302e-02 1
SPEC:   3932.90   3934.93 5.72694e-01 2.37558e-02 1
SPEC:   3934.93   3936.96 6.27954e-01 2.47468e-02 1
SPEC:   3936.96   3938.99 6.13220e-01 2.51288e-02 1
SPEC:   3938.99   3941.01 6.22224e-01 2.57883e-02 1
SPEC:   3941.01   3943.04 6.68461e-01 2.64537e-02 1
SPEC:   3943.04   3945.07 6.69718e-01 2.64459e-02 1
SPEC:   3945.07   3947.10 6.36745e-01 2.62836e-02 1
SPEC:   3947.10   3949.12 7.00456e-01 2.72597e-02 1
SPEC:   3949.12   3951.15 7.11592e-01 2.72997e-02 1
SPEC:   3951.15   3953.18 6.11101e-01 2.64907e-02 1
SPEC:   3953.18   3955.21 5.89865e-01 2.60559e-02 1
SPEC:   3955.21   3957.24 6.65662e-01 2.66775e-02 1
SPEC:   3957.24   3959.26 7.29630e-01 2.69103e-02 1
SPEC:   3959.26   3961.29 7.17136e-01 2.64173e-02 1
SPEC:   3961.29   3963.32 6.54313e-01 2.51959e-02 1
SPEC:   3963.32   3965.35 6.87198e-01 2.46648e-02 1
SPEC:   3965.35   3967.38 6.86959e-01 2.44464e-02 1
SPEC:   3967.38   3969.40 6.42366e-01 2.36671e-02 1
SPEC:   3969.40   3971.43 6.80472e-01 2.42012e-02 1
SPEC:   3971.43   3973.46 7.56395e-01 2.55456e-02 1
SPEC:   3973.46   3975.49 7.12362e-01 2.56382e-02 1
SPEC:   3975.49   3977.51 7.20182e-01 2.63113e-02 1
SPEC:   3977.51   3979.54 7.55692e-01 2.68147e-02 1
SPEC:   3979.54   3981.57 7.51130e-01 2.67038e-02 1
SPEC:   3981.57   3983.60 7.40818e-01 2.66406e-02 1
SPEC:   3983.60   3985.63 7.47365e-01 2.65834e-02 1
SPEC:   3985.63   3987.65 7.08406e-01 2.63489e-02 1
SPEC:   3987.65   3989.68 7.11417e-01 2.65018e-02 1
SPEC:   3989.68   3991.71 6.95267e-01 2.62619e-02 1
SPEC:   3991.71   3993.74 7.93116e-01 2.71888e-02 1
SPEC:   3993.74   3995.76 8.11939e-01 2.68766e-02 1
SPEC:   3995.76   3997.79 8.32780e-01 2.74159e-02 1
SPEC:   3997.79   3999.82 7.94185e-01 2.68117e-02 1
SPEC:   3999.82   4001.85 7.88498e-01 2.66364e-02 1
SPEC:   4001.85   4003.88 7.20420e-01 2.60546e-02 1
SPEC:   4003.88   4005.90 7.11072e-01 2.58572e-02 1
SPEC:   4005.90   4007.93 7.55750e-01 2.60540e-02 1
SPEC:   4007.93   4009.96 7.47897e-01 2.64699e-02 1
SPEC:   4009.96   4011.99 7.13049e-01 2.61764e-02 1
SPEC:   4011.99   4014.01 6.97184e-01 2.60968e-02 1
SPEC:   4014.01   4016.04 6.15818e-01 2.52346e-02 1
SPEC:   4016.04   4018.07 6.72104e-01 2.55477e-02 1
SPEC:   4018.07   4020.10 6.93472e-01 2.57337e-02 1
SPEC:   4020.10   4022.13 6.60849e-01 2.54745e-02 1
SPEC:   4022.13   4024.15 6.10453e-01 2.49270e-02 1
SPEC:   4024.15   4026.18 5.96651e-01 2.46391e-02 1
SPEC:   4026.18   4028.21 6.37141e-01 2.47110e-02 1
SPEC:   4028.21   4030.24 6.34498e-01 2.45366e-02 1
SPEC:   4030.24   4032.26 5.70625e-01 2.39744e-02 1
SPEC:   4032.26   4034.29 5.28515e-01 2.36146e-02 1
SPEC:   4034.29   4036.32 5.62362e-01 2.37502e-02 1
