NVAR: 6 
VARNAMES:  Z PEAKMJD S2c S2x1 SNRMAX MAGT0_g
#
# Simulation SUMMARY: one row per event. 
#  MODEL:     SALT2.JLA-B14 
#  PRESCALE:  1 
#  SELECTION: Pass Trigger + Cuts



SN:  2.57015e-02 57116.258 2.04632e-02 -1.92613e+00 1.92265e+02 1.64969e+01
SN:  9.79498e-02 57417.031 2.11942e-02 9.18782e-01 2.95538e+01 1.89509e+01
SN:  8.85976e-02 57262.816 -2.30637e-01 2.10730e+00 6.35238e+01 1.77156e+01
SN:  6.25802e-02 57099.008 -7.02032e-02 1.04039e+00 1.72062e+02 1.77483e+01
SN:  1.04090e-01 57409.273 -2.34530e-01 2.16126e+00 2.54875e+01 1.81753e+01
SN:  8.58944e-02 57448.941 -5.35039e-02 2.46470e+00 1.21012e+01 1.87420e+01
SN:  6.01523e-02 57417.031 -6.75272e-02 -1.36601e+00 4.94753e+01 1.80710e+01
SN:  1.75889e-02 57159.176 -2.64586e-02 3.21719e-01 3.11935e+02 1.50666e+01
SN:  3.40454e-02 57194.496 -1.50872e-01 -1.80702e+00 1.30293e+02 1.66720e+01
SN:  6.61466e-02 57258.844 6.12990e-03 1.62393e+00 4.58704e+01 1.79919e+01
SN:  5.48464e-02 57460.781 -1.25223e-01 2.28708e+00 1.32802e+02 1.71128e+01
SN:  8.93566e-02 57112.969 -1.44352e-01 1.62349e+00 7.77676e+01 1.83776e+01
SN:  3.90709e-02 57250.105 -1.82701e-01 1.24899e+00 1.36676e+02 1.65019e+01
SN:  1.32340e-02 57256.789 4.12208e-02 5.69401e-01 3.20724e+02 1.48342e+01
SN:  3.07608e-02 57188.023 -1.67345e-01 2.82076e-01 1.58364e+02 1.61448e+01
SN:  2.88797e-02 57163.945 -1.24287e-02 9.00461e-01 1.80148e+02 1.60128e+01
SN:  4.91597e-02 57172.469 -3.19355e-02 1.58036e+00 9.92327e+01 1.71606e+01
SN:  1.05342e-01 57350.691 -1.77213e-01 3.17985e+00 3.25152e+01 1.84291e+01
SN:  6.48867e-02 57289.492 -1.47946e-01 -4.63940e-01 5.45876e+01 1.81204e+01
SN:  2.15044e-02 57443.035 -1.34831e-01 -1.12081e+00 2.23382e+02 1.56294e+01
SN:  3.23451e-02 57196.574 8.77111e-02 1.02273e+00 1.23142e+02 1.69602e+01
SN:  6.11574e-02 57454.855 -2.84031e-02 3.72573e-02 3.77712e+01 1.79265e+01
SN:  1.04309e-01 57350.691 -5.48757e-02 -2.63676e-01 1.99627e+01 1.90145e+01
SN:  4.13400e-02 57159.176 1.08398e-01 4.14678e-01 9.74552e+01 1.74732e+01
SN:  2.78423e-02 57434.375 -1.71978e-02 1.18990e+00 2.13416e+02 1.61164e+01
SN:  8.05301e-02 57461.492 -6.22030e-02 1.08787e-01 6.31800e+01 1.83075e+01
SN:  1.04011e-01 57392.363 -1.10026e-01 2.85323e+00 7.81252e+01 1.84980e+01
SN:  1.08293e-01 57099.008 -1.75418e-01 3.95420e+00 1.33039e+02 1.81699e+01
SN:  3.62278e-02 57450.383 -9.14953e-02 1.44580e+00 2.01510e+02 1.63911e+01
SN:  4.77437e-02 57189.750 -5.47062e-02 7.35960e-01 7.79398e+01 1.71099e+01
SN:  2.50498e-02 57338.633 -1.10828e-01 -2.53198e-01 1.39579e+02 1.63851e+01
SN:  2.49818e-02 57406.547 -9.71225e-02 -1.31337e+00 1.85639e+02 1.61096e+01
SN:  2.99034e-02 57351.832 -7.67481e-02 1.72393e+00 1.62393e+02 1.62666e+01
SN:  4.53066e-02 57054.688 -1.03212e-01 1.19176e+00 2.68900e+02 1.70707e+01
SN:  2.79980e-02 57392.633 -1.41574e-01 1.84105e+00 3.62395e+02 1.55876e+01
SN:  4.90966e-02 57188.023 -9.35675e-02 -8.34533e-01 8.40362e+01 1.72745e+01
SN:  1.55323e-02 57289.492 8.45818e-02 -1.40508e+00 1.93029e+02 1.62748e+01
SN:  6.06946e-02 57189.750 4.30619e-04 2.23663e+00 6.12893e+01 1.75322e+01
SN:  8.52589e-02 57199.008 -1.96347e-02 2.78779e+00 3.11974e+01 1.82078e+01
SN:  6.11280e-02 57218.270 -1.69552e-01 1.30104e+00 7.22827e+01 1.73391e+01
