OBS:  52029.137  c NULL   4.2842e+04   2.113e+00    0  37.486    0.85  15.9203 
OBS:  52029.141  d NULL   4.6464e+04   1.373e+00    0  38.526    0.85  15.8322 
OBS:  52030.254  b NULL   3.7560e+04   9.901e-01    0  38.973    0.85  16.0632 
OBS:  52030.258  c NULL   4.1462e+04   1.270e+00    0  38.555    0.85  15.9558 
OBS:  52030.258  d NULL   4.4712e+04   1.999e+00    0  37.671    0.85  15.8739 
OBS:  52034.316  d NULL   3.4816e+04   1.672e+00    0  37.800    0.85  16.1455 
OBS:  52036.332  d NULL   3.0660e+04   9.595e-01    0  38.875    0.85  16.2835 
OBS:  52037.305  d NULL   2.9062e+04   1.051e+00    0  38.623    0.85  16.3417 
OBS:  52038.395  c NULL   2.7455e+04   1.922e+00    0  37.227    0.85  16.4034 
OBS:  52038.395  d NULL   2.7564e+04   3.145e+00    0  36.198    0.85  16.3991 
OBS:  52040.383  b NULL   1.5295e+04   7.022e-01    0  38.765    0.85  17.0386 
OBS:  52040.387  c NULL   2.4372e+04   1.299e+00    0  37.952    0.85  16.5329 
OBS:  52040.387  d NULL   2.5566e+04   1.053e+00    0  38.490    0.85  16.4808 
OBS:  52045.348  b NULL   9.2354e+03   4.454e-01    0  39.227    0.85  17.5863 
OBS:  52045.348  c NULL   1.8833e+04   7.479e-01    0  38.884    0.85  16.8128 
OBS:  52045.348  c NULL   1.8832e+04   6.539e-01    0  39.175    0.85  16.8128 
OBS:  52045.352  d NULL   2.3731e+04   1.133e+00    0  38.257    0.85  16.5617 
OBS:  52049.141  d NULL   2.2205e+04   8.043e-01    0  38.933    0.85  16.6339 
OBS:  52051.281  b NULL   5.5966e+03   3.293e-01    0  39.374    0.85  18.1302 
OBS:  52051.281  c NULL   1.3815e+04   5.461e-01    0  39.253    0.85  17.1491 
OBS:  52051.285  d NULL   2.1067e+04   1.250e+00    0  37.926    0.85  16.6909 
OBS:  52052.434  b NULL   5.1511e+03   3.028e-01    0  39.473    0.85  18.2202 
OBS:  52052.438  c NULL   1.3004e+04   6.268e-01    0  38.893    0.85  17.2149 
OBS:  52052.438  d NULL   2.0284e+04   1.113e+00    0  38.140    0.85  16.7322 
OBS:  52052.438  d NULL   2.0282e+04   1.158e+00    0  38.053    0.85  16.7322 
OBS:  52056.195  b NULL   4.0326e+03   2.849e-01    0  39.367    0.85  18.4861 
OBS:  52056.195  c NULL   1.0563e+04   5.475e-01    0  38.982    0.85  17.4404 
OBS:  52056.199  d NULL   1.6939e+04   7.281e-01    0  38.883    0.85  16.9278 
OBS:  52059.289  b NULL   3.4206e+03   2.581e-01    0  39.424    0.85  18.6647 
OBS:  52059.293  c NULL   8.8987e+03   6.855e-01    0  38.329    0.85  17.6268 
OBS:  52059.293  d NULL   1.4167e+04   9.233e-01    0  38.197    0.85  17.1217 
OBS:  52073.262  b NULL   2.3876e+03   1.864e-01    0  39.797    0.85  19.0553 
OBS:  52073.262  c NULL   5.4258e+03   3.890e-01    0  39.099    0.85  18.1638 
END_PHOTOMETRY: 
