OBS:  52642.078  b NULL   2.0744e+03   5.034e-01    0  37.545    0.85  19.2078 
OBS:  52642.078  c NULL   2.4331e+03   6.609e-01    0  37.321    0.85  19.0347 
OBS:  52642.082  d NULL   2.7768e+03   6.937e-01    0  37.509    0.85  18.8909 
OBS:  52645.078  b NULL   1.7869e+03   4.319e-01    0  37.749    0.85  19.3695 
OBS:  52645.078  c NULL   2.2644e+03   4.435e-01    0  38.112    0.85  19.1124 
OBS:  52645.082  d NULL   2.6690e+03   1.457e+00    0  35.930    0.85  18.9351 
OBS:  52650.078  b NULL   1.2423e+03   2.948e-01    0  38.273    0.85  19.7646 
OBS:  52650.082  c NULL   1.8277e+03   4.809e-01    0  37.801    0.85  19.3449 
OBS:  52650.082  d NULL   2.1538e+03   6.303e-01    0  37.570    0.85  19.1666 
OBS:  52662.348  b NULL   3.4719e+02   1.549e-01    0  38.879    0.85  21.1484 
OBS:  52662.348  c NULL   8.1837e+02   3.052e-01    0  38.338    0.85  20.2178 
OBS:  52662.352  d NULL   1.3555e+03   3.844e-01    0  38.401    0.85  19.6700 
OBS:  52666.203  b NULL   2.5192e+02   1.584e-01    0  38.714    0.85  21.4963 
OBS:  52666.207  c NULL   6.2955e+02   2.621e-01    0  38.556    0.85  20.5031 
OBS:  52666.207  d NULL   1.2085e+03   3.882e-01    0  38.329    0.85  19.7944 
OBS:  52667.262  b NULL   2.3248e+02   1.222e-01    0  39.226    0.85  21.5844 
OBS:  52667.262  c NULL   5.8846e+02   2.084e-01    0  39.023    0.85  20.5760 
OBS:  52667.266  d NULL   1.1663e+03   2.912e-01    0  38.933    0.85  19.8328 
OBS:  52673.289  b NULL   1.5949e+02   1.096e-01    0  39.347    0.85  21.9930 
OBS:  52673.293  c NULL   4.1484e+02   1.821e-01    0  39.194    0.85  20.9550 
OBS:  52673.293  d NULL   8.9852e+02   2.692e-01    0  39.006    0.85  20.1160 
OBS:  52674.270  b NULL   1.5195e+02   1.366e-01    0  38.864    0.85  22.0445 
OBS:  52674.273  c NULL   3.9320e+02   2.894e-01    0  38.195    0.85  21.0123 
OBS:  52674.273  d NULL   8.5194e+02   4.097e-01    0  38.084    0.85  20.1741 
OBS:  52687.254  b NULL   1.0268e+02   1.798e-01    0  38.234    0.85  22.4731 
OBS:  52687.254  c NULL   2.4208e+02   2.961e-01    0  38.049    0.85  21.5401 
OBS:  52687.258  d NULL   4.8995e+02   4.566e-01    0  37.723    0.85  20.7768 
END_PHOTOMETRY: 
