OBS:  52580.121  b NULL   8.8229e+03   2.266e+00    0  35.699    0.85  17.6358 
OBS:  52580.121  c NULL   8.6458e+03   2.197e+00    0  35.816    0.85  17.6583 
OBS:  52580.133  b NULL   8.8251e+03   2.063e+00    0  35.895    0.85  17.6358 
OBS:  52580.133  c NULL   8.6445e+03   2.218e+00    0  35.798    0.85  17.6581 
OBS:  52580.137  d NULL   9.6442e+03   1.860e+00    0  36.341    0.85  17.5390 
OBS:  52589.086  b NULL   6.1027e+03   6.325e-01    0  38.049    0.85  18.0363 
OBS:  52589.086  c NULL   7.3959e+03   1.057e+00    0  37.225    0.85  17.8277 
OBS:  52589.090  d NULL   8.2554e+03   8.789e-01    0  37.813    0.85  17.7082 
OBS:  52593.070  b NULL   4.3467e+03   5.680e-01    0  37.952    0.85  18.4046 
OBS:  52593.074  c NULL   6.0652e+03   7.205e-01    0  37.866    0.85  18.0430 
OBS:  52593.074  d NULL   6.4606e+03   6.857e-01    0  38.143    0.85  17.9741 
OBS:  52601.070  b NULL   1.8500e+03   2.557e-01    0  38.890    0.85  19.3322 
OBS:  52601.074  c NULL   3.7664e+03   5.126e-01    0  38.191    0.85  18.5602 
OBS:  52601.078  d NULL   5.0428e+03   7.062e-01    0  37.884    0.85  18.2431 
OBS:  52602.148  b NULL   1.6604e+03   7.126e-01    0  36.655    0.85  19.4495 
OBS:  52602.152  c NULL   3.5337e+03   1.004e+00    0  36.707    0.85  18.6295 
OBS:  52602.152  d NULL   4.9623e+03   1.353e+00    0  36.479    0.85  18.2606 
OBS:  52603.094  b NULL   1.5196e+03   2.125e-01    0  39.125    0.85  19.5455 
OBS:  52603.098  c NULL   3.3384e+03   3.814e-01    0  38.732    0.85  18.6911 
OBS:  52603.102  d NULL   4.8869e+03   6.773e-01    0  37.948    0.85  18.2773 
OBS:  52614.102  b NULL   6.7933e+02   1.748e-01    0  38.973    0.85  20.4195 
OBS:  52614.105  c NULL   1.7858e+03   3.179e-01    0  38.669    0.85  19.3701 
OBS:  52614.105  d NULL   3.3332e+03   5.131e-01    0  38.270    0.85  18.6930 
END_PHOTOMETRY: 
