OBS:  51957.137  c NULL   9.8998e+00   3.728e-01    0  37.396   0.85 24.9272 
OBS:  51957.137  d NULL   3.2569e+01   7.484e-01    0  36.503   0.85 23.7097 
OBS:  51963.207  c NULL   5.4492e+00   4.908e-01    0  36.852   0.85 25.4667 
OBS:  51963.207  d NULL   2.1752e+01   4.817e-01    0  37.393   0.85 24.1451 
OBS:  51963.207  e NULL   5.1314e+01   1.014e+00    0  37.036   0.85 23.2508 
OBS:  51963.215  b NULL   1.5659e+00   1.176e-01    0  38.908   0.85 27.0307 
OBS:  51963.215  c NULL   6.4854e+00   1.990e-01    0  38.689   0.85 25.4674 
OBS:  51963.219  d NULL   2.1766e+01   4.377e-01    0  37.597   0.85 24.1460 
OBS:  51963.219  e NULL   5.0651e+01   1.017e+00    0  37.033   0.85 23.2512 
OBS:  51987.121  b NULL   8.1090e-01   1.161e-01    0  38.933   0.85 27.7660 
OBS:  51987.125  c NULL   2.5246e+00   1.787e-01    0  38.918   0.85 26.5679 
OBS:  51987.125  d NULL   7.6116e+00   2.788e-01    0  38.540   0.85 25.3213 
OBS:  51987.129  e NULL   2.1437e+01   5.238e-01    0  38.447   0.85 24.1529 
OBS:  51992.102  b NULL   8.9992e-01   1.279e-01    0  38.731   0.85 27.8020 
OBS:  51992.105  c NULL   2.2197e+00   1.794e-01    0  38.906   0.85 26.6462 
OBS:  51992.105  d NULL   6.2037e+00   3.761e-01    0  37.907   0.85 25.4233 
OBS:  51992.109  e NULL   1.8385e+01   5.670e-01    0  38.275   0.85 24.3168 
OBS:  51994.160  b NULL   6.9520e-01   2.000e-01    0  37.843   0.85 27.8314 
OBS:  51994.164  c NULL   1.9879e+00   2.039e-01    0  38.643   0.85 26.6781 
OBS:  51994.164  d NULL   6.4312e+00   3.511e-01    0  38.054   0.85 25.4566 
OBS:  51994.168  e NULL   1.7327e+01   7.765e-01    0  37.597   0.85 24.3764 
OBS:  52002.164  b NULL   8.9240e-01   2.304e-01    0  37.579   0.85 28.3242 
OBS:  52002.164  b NULL   9.2288e-01   2.304e-01    0  37.579   0.85 28.3242 
OBS:  52002.168  c NULL   2.0550e+00   3.531e-01    0  37.495   0.85 26.8521 
END_PHOTOMETRY: 
