OBS:  52447.473  b NULL   5.6942e+00   1.821e-01    0  38.035   0.85 25.6000 
OBS:  52447.477  c NULL   3.0625e+01   2.941e-01    0  37.901   0.85 23.7730 
OBS:  52447.480  d NULL   7.4248e+01   3.724e-01    0  37.963   0.85 22.8124 
OBS:  52447.480  e NULL   9.4889e+01   1.308e+00    0  36.502   0.85 22.5527 
OBS:  52448.477  b NULL   5.1421e+00   1.937e-01    0  37.917   0.85 25.7181 
OBS:  52448.477  c NULL   2.9356e+01   2.876e-01    0  37.937   0.85 23.8361 
OBS:  52448.480  d NULL   7.3251e+01   3.665e-01    0  37.998   0.85 22.8459 
OBS:  52448.480  e NULL   9.3502e+01   7.939e-01    0  37.567   0.85 22.5700 
OBS:  52448.480  e NULL   9.4495e+01   8.018e-01    0  37.544   0.85 22.5700 
OBS:  52460.402  b NULL   1.8410e+00   2.594e-01    0  37.351   0.85 26.7226 
OBS:  52460.406  c NULL   1.2790e+01   2.995e-01    0  37.837   0.85 24.7118 
OBS:  52460.406  d NULL   4.0991e+01   3.318e-01    0  38.192   0.85 23.4666 
OBS:  52460.410  e NULL   6.6835e+01   1.093e+00    0  36.876   0.85 22.9698 
OBS:  52463.305  b NULL   1.0782e+00   4.951e-01    0  36.248   0.85 26.9964 
OBS:  52466.406  b NULL   1.6512e+00   4.190e-01    0  36.507   0.85 27.2082 
OBS:  52466.406  c NULL   8.3185e+00   4.083e-01    0  37.205   0.85 25.2519 
OBS:  52466.410  d NULL   2.6670e+01   3.932e-01    0  37.826   0.85 23.9279 
OBS:  52466.410  e NULL   5.1319e+01   1.283e+00    0  36.539   0.85 23.2395 
OBS:  52467.418  c NULL   7.2121e+00   3.277e-01    0  37.647   0.85 25.3414 
OBS:  52467.418  d NULL   2.4461e+01   4.239e-01    0  37.664   0.85 24.0061 
OBS:  52467.418  e NULL   4.9060e+01   8.385e-01    0  37.441   0.85 23.2802 
END_PHOTOMETRY: 
