OBS:  52401.273  d NULL   7.7922e+01   5.844e-01    0  37.035   0.85 22.7605 
OBS:  52401.273  e NULL   8.9020e+01   1.296e+00    0  36.522   0.85 22.6436 
OBS:  52402.301  b NULL   1.2505e+01   6.484e-01    0  35.855   0.85 24.7667 
OBS:  52402.305  c NULL   4.5135e+01   4.172e-01    0  37.197   0.85 23.3773 
OBS:  52402.305  d NULL   8.1529e+01   6.291e-01    0  36.887   0.85 22.7184 
OBS:  52402.309  e NULL   9.2426e+01   1.284e+00    0  36.542   0.85 22.5975 
OBS:  52403.293  b NULL   1.2134e+01   5.834e-01    0  35.997   0.85 24.7767 
OBS:  52403.297  c NULL   4.4903e+01   4.405e-01    0  37.089   0.85 23.3563 
OBS:  52403.297  d NULL   8.4216e+01   7.305e-01    0  36.590   0.85 22.6872 
OBS:  52403.297  e NULL   9.6384e+01   1.234e+00    0  36.623   0.85 22.5614 
OBS:  52410.180  b NULL   9.0529e+00   6.844e-01    0  35.767   0.85 25.1094 
OBS:  52410.184  c NULL   4.2065e+01   6.305e-01    0  36.401   0.85 23.4681 
OBS:  52410.184  d NULL   8.7588e+01   8.044e-01    0  36.387   0.85 22.6531 
OBS:  52410.184  e NULL   1.0713e+02   2.209e+00    0  35.423   0.85 22.4565 
OBS:  52429.246  b NULL   1.8101e+00   2.970e-01    0  37.096   0.85 26.8382 
OBS:  52429.250  c NULL   1.2376e+01   6.768e-01    0  36.249   0.85 24.8033 
OBS:  52429.250  d NULL   3.6464e+01   7.621e-01    0  36.484   0.85 23.5783 
OBS:  52429.250  e NULL   6.1589e+01   1.240e+00    0  36.606   0.85 23.0286 
OBS:  52433.246  b NULL   1.4712e+00   1.563e-01    0  38.322   0.85 27.1020 
OBS:  52433.250  c NULL   8.5734e+00   2.825e-01    0  37.959   0.85 25.1792 
OBS:  52433.250  d NULL   2.7449e+01   4.828e-01    0  37.392   0.85 23.8902 
OBS:  52433.250  e NULL   5.1349e+01   1.181e+00    0  36.713   0.85 23.2028 
OBS:  52435.234  b NULL   1.7502e+00   1.438e-01    0  38.499   0.85 27.1065 
OBS:  52435.234  c NULL   7.3933e+00   2.941e-01    0  37.867   0.85 25.3533 
OBS:  52435.238  d NULL   2.4788e+01   4.627e-01    0  37.472   0.85 24.0381 
OBS:  52435.238  e NULL   4.9628e+01   1.260e+00    0  36.578   0.85 23.2768 
OBS:  52437.180  b NULL   7.1929e-01   4.188e-01    0  36.507   0.85 27.1208 
OBS:  52437.180  c NULL   5.7474e+00   2.776e-01    0  38.000   0.85 25.5223 
OBS:  52437.184  d NULL   2.0860e+01   5.202e-01    0  37.225   0.85 24.1797 
OBS:  52437.184  e NULL   4.5558e+01   1.147e+00    0  36.779   0.85 23.3466 
END_PHOTOMETRY: 
