OBS:  52450.477  c NULL   3.7700e+01   9.124e-01    0  35.748   0.85 23.5754 
OBS:  52450.477  d NULL   7.7176e+01   2.795e+00    0  34.245   0.85 22.7578 
OBS:  52450.480  e NULL   9.2865e+01   3.147e+00    0  34.746   0.85 22.5666 
OBS:  52452.469  c NULL   3.4817e+01   1.173e+00    0  35.321   0.85 23.6577 
OBS:  52452.469  d NULL   7.4666e+01   2.418e+00    0  34.457   0.85 22.7783 
OBS:  52452.469  e NULL   9.6379e+01   2.976e+00    0  34.826   0.85 22.5622 
OBS:  52452.477  c NULL   3.3216e+01   1.306e+00    0  35.150   0.85 23.6581 
OBS:  52452.480  d NULL   7.6153e+01   2.591e+00    0  34.355   0.85 22.7785 
OBS:  52452.480  e NULL   9.9014e+01   2.739e+00    0  35.008   0.85 22.5622 
OBS:  52459.426  c NULL   2.4767e+01   8.128e-01    0  35.918   0.85 24.0719 
OBS:  52459.426  d NULL   6.1705e+01   1.824e+00    0  34.920   0.85 22.9832 
OBS:  52459.426  e NULL   8.3460e+01   2.742e+00    0  34.988   0.85 22.6581 
OBS:  52462.371  c NULL   1.9508e+01   9.539e-01    0  35.669   0.85 24.2786 
OBS:  52462.375  d NULL   5.5129e+01   1.649e+00    0  35.079   0.85 23.1175 
OBS:  52462.375  e NULL   7.6992e+01   2.215e+00    0  35.418   0.85 22.7397 
OBS:  52466.430  c NULL   1.4760e+01   2.383e+00    0  34.275   0.85 24.5874 
OBS:  52467.434  e NULL   6.8011e+01   2.364e+00    0  35.284   0.85 22.9222 
END_PHOTOMETRY: 
