OBS:  52233.453  b NULL   5.2813e+00   6.318e-01    0  35.879   0.85 25.5277 
OBS:  52233.457  c NULL   3.1456e+01   7.336e-01    0  36.124   0.85 23.7383 
OBS:  52233.461  d NULL   7.5253e+01   1.076e+00    0  35.821   0.85 22.8002 
OBS:  52235.457  b NULL   4.4347e+00   4.653e-01    0  36.344   0.85 25.7531 
OBS:  52235.461  c NULL   2.9294e+01   4.689e-01    0  36.947   0.85 23.8612 
OBS:  52235.465  d NULL   6.9370e+01   9.446e-01    0  36.081   0.85 22.8640 
OBS:  52255.527  b NULL   7.8060e-01   2.062e-01    0  37.792   0.85 27.2413 
OBS:  52255.531  c NULL   5.4973e+00   6.120e-01    0  36.440   0.85 25.4622 
OBS:  52255.535  d NULL   2.4171e+01   8.455e-01    0  36.265   0.85 24.1154 
OBS:  52255.535  e NULL   4.5173e+01   1.994e+00    0  35.632   0.85 23.3390 
OBS:  52257.449  b NULL   1.6093e+00   1.386e-01    0  38.566   0.85 27.2381 
OBS:  52257.453  c NULL   5.8926e+00   3.089e-01    0  37.763   0.85 25.6204 
OBS:  52257.457  d NULL   2.0174e+01   6.131e-01    0  36.900   0.85 24.2562 
OBS:  52257.457  e NULL   4.3749e+01   1.196e+00    0  36.689   0.85 23.4089 
OBS:  52263.398  b NULL   9.0872e-01   1.414e-01    0  38.530   0.85 27.6992 
OBS:  52263.402  c NULL   3.2379e+00   3.617e-01    0  37.455   0.85 26.1681 
OBS:  52263.402  d NULL   1.4623e+01   6.621e-01    0  36.742   0.85 24.6557 
OBS:  52263.406  e NULL   3.2580e+01   1.533e+00    0  36.156   0.85 23.6411 
OBS:  52266.465  b NULL   6.1311e-01   1.840e-01    0  38.002   0.85 27.7772 
OBS:  52266.469  c NULL   2.2428e+00   2.716e-01    0  38.045   0.85 26.4316 
OBS:  52266.473  d NULL   1.0963e+01   3.982e-01    0  37.779   0.85 24.8381 
OBS:  52266.473  e NULL   3.0329e+01   8.916e-01    0  37.306   0.85 23.7615 
OBS:  52267.492  b NULL   7.0079e-01   1.042e-01    0  39.161   0.85 27.7282 
OBS:  52267.496  c NULL   2.2480e+00   1.806e-01    0  38.899   0.85 26.5078 
OBS:  52267.496  d NULL   1.1534e+01   3.063e-01    0  38.335   0.85 24.8955 
OBS:  52283.328  b NULL   8.7829e-01   1.873e-01    0  37.983   0.85 27.6608 
OBS:  52283.328  c NULL   1.1406e+00   2.160e-01    0  38.517   0.85 27.2314 
OBS:  52283.332  d NULL   5.7818e+00   3.534e-01    0  38.029   0.85 25.5887 
OBS:  52292.344  b NULL   5.0543e-01   2.871e-01    0  37.154   0.85 27.9397 
OBS:  52292.348  c NULL   1.2821e+00   1.909e-01    0  38.774   0.85 27.1520 
OBS:  52292.348  d NULL   4.5654e+00   3.922e-01    0  37.823   0.85 25.7601 
OBS:  52292.352  e NULL   1.3778e+01   5.211e-01    0  38.456   0.85 24.7014 
END_PHOTOMETRY: 
