SURVEY: DES
SNID: 1295921
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 42.614906               # deg
DECL: -0.871765               # deg
MWEBV: 0.053                    # MW E(B-V)
MWEBV_ERR: 0.003                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 56909.668
REDSHIFT_FINAL: 0.5239 +-  0.0070    # (CMB)
REDSHIFT_HELIO: 0.5250 +-  0.0070    # (HELIO)
HOSTGAL_OBJID: 31619
HOSTGAL_PHOTOZ: 0.6227 +-  0.0527   # (HELIO)
HOSTGAL_SPECZ: -9.9900 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: 0.6000              # arcSec
HOSTGAL_LOGMASS: 9.0970 +-  0.2980 # log10(M/Msolar)
HOSTGAL_MAG: 26.37    24.69    24.09    23.87    # griz
HOSTGAL_SB_FLUXCAL: 0.80     2.63     3.80     5.61    # griz
PRIVATE(DES_mjd_latest_ml): 56943.22
PRIVATE(DES_mjd_trigger): 56915.28
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'r' 'i' 'z' 'g' 'r' 'i'
 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g'
 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'g' 'r' 'i' 'z']
ZPFLUX: [30.772 30.759 31.025 30.703 30.498 30.496 30.564 30.235 30.734 30.762
 31.02  30.682 30.767 31.015 30.674 30.758 30.804 31.031 30.699 30.736
 30.796 31.03  30.699 30.737 30.773 31.022 30.717 30.666 30.748 30.948
 30.583 30.72  30.733 30.805 30.439 30.6   30.594 30.789 30.36  30.733
 30.769 31.009 30.693 30.714 30.76  30.991 30.63  30.757 30.789 31.024
 30.495 30.762 31.005 30.642]
PSF: [4.17  3.77  3.86  3.403 2.56  2.58  2.33  2.055 2.95  2.58  2.37  2.471
 3.28  3.07  2.945 2.57  2.38  2.1   1.919 2.36  2.18  1.98  2.06  2.22
 2.19  1.92  1.809 1.57  1.51  1.43  1.35  3.81  3.9   4.08  3.027 2.7
 2.65  2.46  2.312 2.19  2.1   1.91  1.795 1.7   1.61  1.54  1.461 2.13
 1.87  1.78  2.45  2.24  2.14  2.25 ]
SKYSIG: [ 9.31 14.65 27.62 26.47  8.56 13.9  28.   26.16 20.7  25.08 32.51 24.74
 12.31 21.09 19.88  9.1  13.55 23.68 21.87  8.4  13.01 20.49 18.5  21.26
 21.3  26.07 18.85  9.85 13.93 23.6  21.08  9.06 13.22 23.53 21.53 20.92
 25.24 36.66 29.47  8.62 11.95 20.68 19.47  8.58 13.32 27.58 25.45  9.05
 13.12 24.92 10.55 13.63 25.62 24.89]
GAIN: [3.41  3.45  3.57  3.834 3.4   3.46  3.59  3.85  3.5   3.47  3.57  3.81
 3.39  3.55  3.845 3.41  3.43  3.59  3.835 3.38  3.38  3.56  3.854 3.53
 3.45  3.59  3.88  3.45  3.43  3.61  3.865 3.43  3.42  3.61  3.868 3.53
 3.49  3.63  3.831 3.38  3.39  3.59  3.876 3.39  3.44  3.56  3.861 3.39
 3.41  3.58  3.43  3.43  3.57  3.825]
PHOTFLAG: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
PHOTPROB: [0.99 0.96 0.98 0.98 1.09 1.07 1.05 0.97 0.92 1.01 0.92 0.97 0.96 1.07
 0.91 0.97 0.95 1.04 1.01 1.02 0.89 0.86 0.92 1.01 1.09 0.92 0.9  0.99
 0.85 0.98 1.04 0.99 1.05 1.02 1.09 0.9  1.02 0.96 1.03 1.03 0.97 0.88
 1.01 1.02 1.   0.92 1.01 0.93 1.   0.91 0.87 0.92 0.91 1.03]
SPECTRA: {}

NOBS: 54
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 56890.386  g  NULL -0.3390000 9.0608000
OBS: 56890.388  r  NULL -0.8550000 10.9320000
OBS: 56890.390  i  NULL 16.4390000 15.9790000
OBS: 56890.393  z  NULL 17.8630000 18.3500000
OBS: 56903.397  g  NULL 19.4000000 6.6563000
OBS: 56903.399  r  NULL 49.4890000 9.0880000
OBS: 56903.401  i  NULL 76.1870000 12.1480000
OBS: 56903.404  z  NULL 52.6430000 16.0240000
OBS: 56915.278  g  NULL 19.1100000 23.2700000
OBS: 56915.280  r  NULL 158.7500000 31.6350000
OBS: 56915.283  i  NULL 51.0250000 16.4020000
OBS: 56915.285  z  NULL 77.6420000 15.0170000
OBS: 56923.331  r  NULL 56.9750000 8.9040000
OBS: 56923.333  i  NULL 59.4800000 9.2425000
OBS: 56923.336  z  NULL 80.9030000 13.0300000
OBS: 56927.294  g  NULL 12.5180000 5.5375000
OBS: 56927.296  r  NULL 51.7640000 6.9163000
OBS: 56927.298  i  NULL 57.0910000 7.2865000
OBS: 56927.301  z  NULL 63.6690000 9.0812000
OBS: 56932.270  g  NULL 1.0956000 5.0175000
OBS: 56932.273  r  NULL 30.3900000 6.0919000
OBS: 56932.275  i  NULL 41.3000000 5.8903000
OBS: 56932.277  z  NULL 52.0860000 8.1692000
OBS: 56943.215  g  NULL -17.3870000 13.4310000
OBS: 56943.218  r  NULL 54.3250000 36.3970000
OBS: 56943.220  i  NULL 38.7570000 7.5827000
OBS: 56943.222  z  NULL 27.3150000 7.3803000
OBS: 56956.141  g  NULL -1.6540000 4.3113000
OBS: 56956.143  r  NULL 14.2950000 4.9370000
OBS: 56956.145  i  NULL 14.3920000 5.1623000
OBS: 56956.148  z  NULL 30.8170000 6.8753000
OBS: 56960.257  g  NULL 2.5830000 8.2122000
OBS: 56960.259  r  NULL 2.7340000 10.6910000
OBS: 56960.261  i  NULL 37.0750000 17.8680000
OBS: 56960.265  z  NULL 57.2670000 17.6740000
OBS: 56963.228  g  NULL -19.3380000 15.0190000
OBS: 56963.230  r  NULL 6.7344000 15.5240000
OBS: 56963.232  i  NULL 21.3020000 13.6150000
OBS: 56963.234  z  NULL 18.4120000 21.7140000
OBS: 56973.129  g  NULL 6.4143000 4.9920000
OBS: 56973.131  r  NULL 5.9587000 5.7260000
OBS: 56973.133  i  NULL 14.3210000 5.5027000
OBS: 56973.136  z  NULL 13.8340000 7.3968000
OBS: 56980.192  g  NULL 2.3104000 3.9625000
OBS: 56980.195  r  NULL 1.8890000 4.9442000
OBS: 56980.197  i  NULL 13.6390000 6.3504000
OBS: 56980.200  z  NULL 19.8200000 8.3859000
OBS: 56987.193  g  NULL -3.0710000 4.8037000
OBS: 56987.196  r  NULL -2.2180000 5.5326000
OBS: 56987.198  i  NULL 12.7950000 6.0311000
OBS: 56990.194  g  NULL -10.6350000 7.2306000
OBS: 56990.196  r  NULL -3.8030000 6.8851000
OBS: 56990.199  i  NULL 10.0970000 8.6343000
OBS: 56990.201  z  NULL 28.9850000 11.6080000
END_PHOTOMETRY:

# =============================================
