SURVEY: SDSS
SNID: 14979
IAUC: 2006jr
PHOTOMETRY_VERSION: SMPv8+BOSS_2006
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 54.946434  deg
DECL: 0.992816  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 26
FAKE: 0   (=> data)
MWEBV: 0.0897    MW E(B-V)
MWEBV_ERR: 0.0150    error on MWEBV
NEPOCH_PRESN: 6   11   11   12   11   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.177100 +- 0.000500  (Helio, z_best)
REDSHIFT_FINAL: 0.176531 +- 0.000500  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 54025.578  (SNANA-FIT)
HOSTGAL_OBJID: 1237660241926423120
HOSTGAL_PHOTOZ: 0.0804  +- 0.0401
HOSTGAL_SNSEP: 2.571   # arcSec
HOSTGAL_LOGMASS: 10.089 +-  0.066   # log10(Mgal/Msolar)
HOSTGAL_MAG: 21.20  19.88  19.23  18.94  18.79 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 26
TELESCOPE: sdss    SEARCH_RUN: 6618  QMASK: 0
IDCCD: 6   FIELD: 82S
CLOUDCAM_AVG: 2722.00     CLOUDCAM_SIG:  8.45
MOONDIST: 999.00 deg     MOONPHASE:   0.62
AIRMASS: 1.566
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 389      389      389      389      389
PHOTOMETRYFLAG: 34       34       32      128      138
GAIN: 4.035    4.895    4.760    4.690    2.170  e/ADU
RDNOISE: 5.447    4.650   10.710    5.159    5.750  e-
SKY_AVG: 63.25   145.50   236.75   171.00    15.50  ADU/pix
SKY_SIG: 4.12     5.58     7.35     6.29     3.60  ADU/pix
PSF_SIG1: 2.095    1.981    1.860    1.690    1.932  pixels
PSF_SIG2: 3.838    3.792    3.822    3.763    3.316  pixels
PSF_RATIO: 0.221    0.152    0.102    0.087    0.239  (at origin)
FLUX: 2.22     3.66     6.81     3.84    -2.24  uJy
FLUX_ERRTOT: 0.779    1.198    1.820    6.343    2.155  uJy
FLUXCAL_ERRTOT: 23.054   34.549   52.064  195.296   85.177
MAG_ERRPLUS: 0.3790   0.3540   0.2880   1.0110   1.1430
MAG_ERRMINUS: 0.3790   0.3540   0.2880   1.0110   1.1430
ZEROPT: 28.4570  28.1540  27.8860  26.1990  26.8920
ZEROPT_ERR: 0.0030   0.0020   0.0020   0.0060   0.0130
SKYSUB_ERR: 13.730   20.848   47.152  200.624   88.486  (fluxcal)
GALSUB_ERR: 37.284   47.276   65.744  192.341   99.250  (fluxcal)
END_OF_EPOCH: 26
XPIXEL: 1458.030 1456.700 1457.690   -9.000   -9.000  (pixels)
YPIXEL: 1223.580 1211.100 1214.360   -9.000   -9.000  (pixels)
EDGEDIST: 265.420  277.900  274.640   -9.000   -9.000  (pixels)
SEARCH_MAG: 22.9650  21.8000  21.5340  -9.0000  -9.0000
SEARCH_MAGERR: 0.2460   0.1440   0.1830  -9.0000  -9.0000
END_OF_SN: 14979
PHOTFLAG: [  32   32   32    0    0    0    0    0    0    0    0   32   32    0
    0   32   32   32    0    0   32   32   36    0  132    0    0    0
    0    0    0    0    0    0    8    1    0    0    0  129    1    1
    0    0    1    0    0    0    0    0    0    0    0    0    0    0
    0    0    0  128    0    0    0    0  130    0    0  128  128    0
    0    0    0    0    8    0    0    0    0    8   33    1    1    0
 1153    1    1    0    0   33    1    0  128    0    3   42    0 1178
 1176   42    0    0    0  128   32   32    0    0    0   32  160    0
    0    0    0    0    0    0    0  136   32    0    0    0  128   34
   34   32  128  138]
SPECTRA: {}

NOBS: 130
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 53975.453  g  NULL 2.1700000 15.2500000
OBS: 53975.453  r  NULL 7.7800000 25.2600000
OBS: 53975.453  i  NULL 22.2700000 41.1300000
OBS: 53975.453  z  NULL 161.0000000 128.0000000
OBS: 53975.453  u  NULL -26.8600000 62.2100000
OBS: 53994.477  g  NULL -2.8200000 17.4200000
OBS: 53994.477  r  NULL -23.7200000 26.1800000
OBS: 53994.477  i  NULL -17.3600000 36.7600000
OBS: 53994.477  z  NULL 37.3100000 109.0000000
OBS: 53994.477  u  NULL 74.0000000 54.5300000
OBS: 53996.461  g  NULL -22.5100000 17.1800000
OBS: 53996.461  r  NULL 22.5300000 28.0400000
OBS: 53996.461  i  NULL 37.2700000 42.2200000
OBS: 53996.461  z  NULL -179.1000000 116.3000000
OBS: 53996.461  u  NULL -17.3100000 52.6600000
OBS: 54005.475  g  NULL 17.8000000 15.0100000
OBS: 54005.475  r  NULL 25.5600000 25.9100000
OBS: 54005.475  i  NULL 28.2600000 38.8300000
OBS: 54005.475  z  NULL -75.0100000 111.2000000
OBS: 54005.475  u  NULL 58.9000000 49.2400000
OBS: 54008.421  g  NULL 31.6300000 19.3100000
OBS: 54008.421  r  NULL 109.1000000 35.1100000
OBS: 54008.421  i  NULL 66.0800000 73.1100000
OBS: 54008.421  z  NULL -117.5000000 185.5000000
OBS: 54008.421  u  NULL -4.5100000 58.2300000
OBS: 54009.489  g  NULL 95.3600000 13.2700000
OBS: 54009.489  r  NULL 99.1200000 21.2900000
OBS: 54009.489  i  NULL 125.3000000 34.1300000
OBS: 54009.489  z  NULL -39.7300000 93.1700000
OBS: 54009.489  u  NULL 43.5300000 44.5300000
OBS: 54010.416  g  NULL 145.1000000 13.6200000
OBS: 54010.416  r  NULL 146.5000000 20.1600000
OBS: 54010.416  i  NULL 155.6000000 32.5800000
OBS: 54010.416  z  NULL 153.2000000 109.9000000
OBS: 54010.416  u  NULL 51.2800000 52.2800000
OBS: 54012.409  g  NULL 309.3000000 22.8500000
OBS: 54012.409  r  NULL 234.0000000 32.8200000
OBS: 54012.409  i  NULL 243.5000000 44.4400000
OBS: 54012.409  z  NULL 199.6000000 148.7000000
OBS: 54012.409  u  NULL 155.5000000 51.3600000
OBS: 54020.448  g  NULL 744.6000000 31.5700000
OBS: 54020.448  r  NULL 658.0000000 31.5500000
OBS: 54020.448  i  NULL 600.4000000 47.1300000
OBS: 54020.448  z  NULL 480.9000000 123.1000000
OBS: 54020.448  u  NULL 312.1000000 70.4300000
OBS: 54024.497  g  NULL 815.7000000 24.0500000
OBS: 54024.497  r  NULL 797.1000000 33.0600000
OBS: 54024.497  i  NULL 692.6000000 44.1100000
OBS: 54024.497  z  NULL 386.2000000 135.3000000
OBS: 54024.497  u  NULL 250.4000000 64.5000000
OBS: 54028.486  g  NULL 726.3000000 18.0700000
OBS: 54028.486  r  NULL 739.1000000 29.9800000
OBS: 54028.486  i  NULL 632.8000000 49.6700000
OBS: 54028.486  z  NULL 285.0000000 130.9000000
OBS: 54028.486  u  NULL 134.2000000 55.7200000
OBS: 54030.441  g  NULL 630.8000000 17.4400000
OBS: 54030.441  r  NULL 686.5000000 25.3100000
OBS: 54030.441  i  NULL 636.9000000 38.2100000
OBS: 54030.441  z  NULL 278.0000000 119.3000000
OBS: 54030.441  u  NULL 179.4000000 41.1500000
OBS: 54035.485  g  NULL 480.2000000 19.9200000
OBS: 54035.485  r  NULL 563.1000000 34.8000000
OBS: 54035.485  i  NULL 553.0000000 48.5500000
OBS: 54035.485  z  NULL 97.5500000 178.4000000
OBS: 54035.485  u  NULL 200.2000000 68.0700000
OBS: 54037.391  g  NULL 427.2000000 16.1500000
OBS: 54037.391  r  NULL 517.3000000 22.9000000
OBS: 54037.391  i  NULL 463.6000000 39.4500000
OBS: 54037.391  z  NULL 341.4000000 101.3000000
OBS: 54037.391  u  NULL 58.2400000 44.9700000
OBS: 54040.406  g  NULL 333.0000000 15.0600000
OBS: 54040.406  r  NULL 442.3000000 25.3100000
OBS: 54040.406  i  NULL 403.2000000 39.5800000
OBS: 54040.406  z  NULL 92.0500000 120.5000000
OBS: 54040.406  u  NULL 94.2600000 41.5400000
OBS: 54041.441  g  NULL 303.1000000 15.3900000
OBS: 54041.441  r  NULL 467.4000000 26.3100000
OBS: 54041.441  i  NULL 359.9000000 38.7100000
OBS: 54041.441  z  NULL 180.1000000 112.2000000
OBS: 54041.441  u  NULL 46.9600000 46.9100000
OBS: 54047.436  g  NULL 108.6000000 64.1000000
OBS: 54047.436  r  NULL 391.2000000 50.3100000
OBS: 54047.436  i  NULL 410.0000000 58.5700000
OBS: 54047.436  z  NULL 53.2900000 154.3000000
OBS: 54047.436  u  NULL -61.3800000 279.4000000
OBS: 54049.432  g  NULL 127.4000000 41.6900000
OBS: 54049.432  r  NULL 287.4000000 42.1100000
OBS: 54049.432  i  NULL 267.2000000 54.5000000
OBS: 54049.432  z  NULL 181.9000000 182.5000000
OBS: 54049.432  u  NULL 27.8400000 134.6000000
OBS: 54050.392  g  NULL 124.1000000 30.1900000
OBS: 54050.392  r  NULL 319.6000000 38.7600000
OBS: 54050.392  i  NULL 438.2000000 58.8900000
OBS: 54050.392  z  NULL -48.6900000 204.0000000
OBS: 54050.392  u  NULL -118.1000000 156.2000000
OBS: 54053.411  g  NULL 42.6000000 32.3400000
OBS: 54053.411  r  NULL 229.7000000 35.2400000
OBS: 54053.411  i  NULL -50.2700000 81.7000000
OBS: 54053.411  z  NULL 458.7000000 244.7000000
OBS: 54053.411  u  NULL 21.9800000 89.4800000
OBS: 54056.398  g  NULL 81.3500000 16.2200000
OBS: 54056.398  r  NULL 262.0000000 27.1900000
OBS: 54056.398  i  NULL 245.1000000 42.1800000
OBS: 54056.398  z  NULL 166.3000000 148.0000000
OBS: 54056.398  u  NULL 46.6100000 59.3000000
OBS: 54059.392  g  NULL 54.0500000 16.9800000
OBS: 54059.392  r  NULL 176.9000000 26.7300000
OBS: 54059.392  i  NULL 281.7000000 47.3000000
OBS: 54059.392  z  NULL 182.3000000 172.7000000
OBS: 54059.392  u  NULL 5.4700000 53.6000000
OBS: 54061.403  g  NULL 75.9300000 17.6800000
OBS: 54061.403  r  NULL 178.8000000 28.3700000
OBS: 54061.403  i  NULL 211.1000000 45.1000000
OBS: 54061.403  z  NULL 32.8300000 153.2000000
OBS: 54061.403  u  NULL -29.4600000 73.5200000
OBS: 54062.397  g  NULL 46.0800000 13.8900000
OBS: 54062.397  r  NULL 197.9000000 23.7400000
OBS: 54062.397  i  NULL 269.5000000 40.7100000
OBS: 54062.397  z  NULL 189.5000000 132.1000000
OBS: 54062.397  u  NULL 48.3300000 53.8400000
OBS: 54064.394  g  NULL 25.6000000 16.9300000
OBS: 54064.394  r  NULL 193.9000000 27.9900000
OBS: 54064.394  i  NULL 207.6000000 45.1600000
OBS: 54064.394  z  NULL 163.6000000 158.0000000
OBS: 54064.394  u  NULL -4.9100000 49.4000000
OBS: 54068.378  g  NULL 62.1700000 23.0500000
OBS: 54068.378  r  NULL 101.3000000 34.5500000
OBS: 54068.378  i  NULL 190.6000000 52.0600000
OBS: 54068.378  z  NULL 106.3000000 195.3000000
OBS: 54068.378  u  NULL -61.6300000 85.1800000
END_PHOTOMETRY:

# =============================================
