SURVEY: DES
SNID: 1310395
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 36.534325               # deg
DECL: -6.759992               # deg
MWEBV: 0.030                    # MW E(B-V)
MWEBV_ERR: 0.001                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 56979.285
REDSHIFT_FINAL: 0.2890 +-  0.0100    # (CMB)
REDSHIFT_HELIO: 0.2900 +-  0.0100    # (HELIO)
HOSTGAL_OBJID: -888
HOSTGAL_PHOTOZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SPECZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: -9.0000              # arcSec
HOSTGAL_LOGMASS: 2.0000 +-  2.0000 # log10(M/Msolar)
HOSTGAL_MAG: 888.00   888.00   888.00   888.00    # griz
HOSTGAL_SB_FLUXCAL: 0.16     0.52     0.88     0.23    # griz
PRIVATE(DES_mjd_latest_ml): 57033.044
PRIVATE(DES_mjd_trigger): 56980.066
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'r' 'z' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z'
 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.608 30.644 30.841 30.571 30.751 30.774 31.022 30.686 30.722 30.763
 31.015 30.699 30.718 30.755 31.006 30.655 30.76  30.789 31.038 30.722
 29.818 29.746 30.211 30.798 31.04  30.693 30.753 30.786 31.051 30.775
 30.636 30.73  30.994 30.646 30.773 30.793 31.044 30.721 30.578 30.685
 31.025 30.701 30.752 30.774 31.024 30.706 30.74  30.775 31.017 30.669
 30.691 30.751 30.99  30.642 30.745 30.776 31.019 30.705 30.74  30.767
 31.019 30.699 30.736 30.779 31.025 30.714 30.668 30.729 30.983 30.638]
PSF: [2.18  1.91  1.79  1.761 3.11  3.13  2.65  2.867 2.1   2.04  1.88  2.
 1.91  1.81  1.95  1.732 2.29  2.15  1.9   1.915 2.55  2.3   1.9   4.55
 4.33  4.191 2.57  2.31  2.17  2.114 2.63  2.37  2.19  2.445 3.42  2.86
