SURVEY: SDSS
SNID: 19353
IAUC: 2007nj
PHOTOMETRY_VERSION: SMPv8+BOSS_2007
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 43.114372  deg
DECL: 0.251817  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 20
FAKE: 0   (=> data)
MWEBV: 0.0725    MW E(B-V)
MWEBV_ERR: 0.0121    error on MWEBV
NEPOCH_PRESN: 9   20   22   23   20   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.154056 +- 0.000014  (Helio, z_best)
OBS: 54396.317  r  NULL 628.4000000 73.7300000
OBS: 54396.317  i  NULL 680.0000000 96.9100000
OBS: 54396.317  z  NULL 571.9000000 249.5000000
OBS: 54403.363  g  NULL 656.3000000 31.4600000
OBS: 54403.363  r  NULL 759.1000000 54.6100000
OBS: 54403.363  i  NULL 769.4000000 65.3500000
OBS: 54403.363  z  NULL 435.7000000 133.6000000
OBS: 54403.363  u  NULL 295.5000000 108.4000000
OBS: 54406.357  g  NULL 599.1000000 17.6700000
OBS: 54406.357  r  NULL 739.1000000 22.4800000
OBS: 54406.357  i  NULL 699.1000000 32.2500000
OBS: 54406.357  z  NULL 220.7000000 89.4700000
OBS: 54406.357  u  NULL 132.9000000 44.2900000
OBS: 54409.362  g  NULL 490.5000000 15.3700000
OBS: 54409.362  r  NULL 667.2000000 22.7600000
OBS: 54409.362  i  NULL 579.1000000 34.7600000
OBS: 54409.362  z  NULL 431.5000000 111.6000000
OBS: 54409.362  u  NULL 113.8000000 41.3900000
OBS: 54412.383  g  NULL 379.3000000 18.5400000
OBS: 54412.383  r  NULL 591.9000000 26.7400000
OBS: 54412.383  i  NULL 448.4000000 36.9200000
OBS: 54412.383  z  NULL 230.6000000 142.8000000
OBS: 54412.383  u  NULL 59.9300000 60.1700000
OBS: 54416.356  g  NULL 259.3000000 14.3700000
OBS: 54416.356  r  NULL 480.1000000 20.8200000
OBS: 54416.356  i  NULL 450.5000000 32.5000000
OBS: 54416.356  z  NULL 322.7000000 100.0000000
OBS: 54416.356  u  NULL 61.4100000 45.5300000
OBS: 54421.361  g  NULL 187.9000000 17.2300000
OBS: 54421.361  r  NULL 378.8000000 29.3900000
OBS: 54421.361  i  NULL 451.8000000 43.9000000
OBS: 54421.361  z  NULL 153.2000000 173.1000000
OBS: 54421.361  u  NULL 99.9300000 64.3300000
OBS: 54423.338  g  NULL 121.7000000 16.9300000
OBS: 54423.338  r  NULL 466.1000000 26.6700000
OBS: 54423.338  i  NULL 371.4000000 36.4800000
OBS: 54423.338  z  NULL 261.6000000 119.2000000
OBS: 54423.338  u  NULL 82.2500000 51.7000000
OBS: 54432.353  g  NULL 62570.0000000 7220.0000000
OBS: 54432.353  r  NULL 53750.0000000 5505.0000000
OBS: 54432.353  i  NULL 5063.0000000 6636.0000000
OBS: 54433.360  g  NULL 96.3500000 69.4300000
OBS: 54433.360  r  NULL 283.1000000 47.5900000
OBS: 54433.360  i  NULL 387.5000000 61.9100000
OBS: 54433.360  z  NULL 613.5000000 288.2000000
OBS: 54433.360  u  NULL 132.3000000 264.0000000
END_PHOTOMETRY:

# =============================================
