SURVEY: DES
SNID: 1335868
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 101
MASK_FLUXCOR_SNANA: 3
RA: 55.089100               # deg
DECL: -26.512669               # deg
MWEBV: 0.010                    # MW E(B-V)
MWEBV_ERR: 0.001                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 57349.023
REDSHIFT_FINAL: 0.6194 +-  0.0050    # (CMB)
REDSHIFT_HELIO: 0.6200 +-  0.0050    # (HELIO)
HOSTGAL_OBJID: -888
HOSTGAL_PHOTOZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SPECZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: -9.0000              # arcSec
HOSTGAL_LOGMASS: 2.0000 +-  2.0000 # log10(M/Msolar)
HOSTGAL_MAG: 888.00   888.00   888.00   888.00    # griz
HOSTGAL_SB_FLUXCAL: -0.18    -0.12     0.42    -0.10    # griz
PRIVATE(DES_mjd_latest_ml): 57385.156
PRIVATE(DES_mjd_trigger): 57332.077
BAND: ['g' 'r' 'i' 'z' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i'
 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g'
 'r' 'i' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z'
 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.639 30.707 30.992 30.654 30.729 30.993 30.658 30.633 30.704 30.975
 30.66  30.703 30.729 30.981 30.657 30.637 30.709 30.978 30.698 30.652
 30.706 30.975 30.687 30.672 30.728 30.991 30.71  30.659 30.71  30.971
 30.67  30.671 30.721 30.963 30.606 29.952 29.888 30.526 30.677 30.721
 30.975 30.623 30.681 30.732 30.986 30.653 30.711 30.754 30.994 30.657
 30.674 30.726 30.985 30.611 30.666 30.718 30.961 30.606 30.666 30.713
 30.949 30.554 30.565 30.669 30.953 30.601]
PSF: [3.02  2.91  2.77  2.85  4.04  3.46  3.111 2.4   2.06  1.9   1.856 2.91
 2.6   2.6   2.769 3.38  2.64  2.36  2.371 2.66  2.3   2.48  2.74  3.21
 3.18  2.81  2.797 2.24  2.12  1.99  1.944 1.66  1.51  1.45  1.375 1.89
 1.82  1.71  2.58  2.57  2.17  2.183 1.85  1.69  1.59  1.628 3.16  2.6
 2.34  2.382 3.05  2.62  2.51  2.364 1.79  1.62  1.62  1.583 2.01  1.74
 1.66  1.556 3.24  2.88  2.84  2.906]
SKYSIG: [ 7.07 10.66 19.11 18.53 23.85 29.83 23.64 28.2  27.87 34.13 25.55  7.43
 11.02 20.25 19.32  7.31 11.43 22.15 21.83  7.35 11.38 22.5  31.73  7.5
 10.88 20.25 21.34 22.18 20.72 27.2  22.    6.67  9.58 17.61 16.85  7.81
 12.45 26.68 16.89 17.59 25.54 21.56 18.13 17.13 23.37 20.32  7.56 10.61
 22.68 22.94  6.99 11.23 24.82 25.17  6.64  9.48 19.09 18.56 29.51 28.75
 35.4  26.21  8.19 11.89 23.9  24.57]
GAIN: [3.66  3.64  3.75  4.    3.76  3.82  3.96  3.85  3.81  3.84  3.991 3.62
 3.63  3.78  4.023 3.54  3.67  3.81  3.985 3.58  3.62  3.8   3.98  3.64
 3.65  3.76  3.98  3.85  3.8   3.81  4.005 3.6   3.62  3.8   3.995 3.67
 3.72  3.83  3.79  3.76  3.8   3.99  3.83  3.75  3.84  4.024 3.56  3.64
 3.8   3.985 3.65  3.67  3.8   4.02  3.57  3.6   3.76  4.06  3.86  3.81
 3.88  4.009 3.64  3.66  3.83  3.971]
PHOTFLAG: [    0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0 32768     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0]
PHOTPROB: [1.   0.94 1.05 0.98 0.97 1.04 0.98 0.91 0.86 1.01 0.95 1.07 0.96 1.03
 1.02 1.02 0.97 0.82 1.01 0.93 0.91 1.02 0.97 1.05 1.06 0.9  1.06 0.94
 1.07 0.92 1.03 0.91 1.09 0.89 0.98 0.9  1.03 0.99 0.94 0.98 0.94 1.04
 1.08 1.07 1.01 1.01 1.08 0.87 0.94 1.06 0.94 0.98 1.02 0.99 1.08 1.11
 1.06 0.96 0.96 0.96 0.97 1.02 1.07 0.95 0.87 0.97]
SPECTRA: {}

NOBS: 66
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 57315.229  g  NULL -2.5100000 4.9571000
OBS: 57315.232  r  NULL -9.3020000 6.6535000
OBS: 57315.234  i  NULL 5.6970000 8.2779000
OBS: 57315.236  z  NULL -16.1300000 10.7430000
