SURVEY: DES
SNID: 1334645
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 36.379593               # deg
DECL: -5.878989               # deg
MWEBV: 0.024                    # MW E(B-V)
MWEBV_ERR: 0.001                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 57333.402
REDSHIFT_FINAL: 0.2312 +-  0.0010    # (CMB)
REDSHIFT_HELIO: 0.2322 +-  0.0010    # (HELIO)
HOSTGAL_OBJID: 41218
HOSTGAL_PHOTOZ: 0.3259 +-  0.0778   # (HELIO)
HOSTGAL_SPECZ: 0.2322 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: 2.3000              # arcSec
HOSTGAL_LOGMASS: 10.4530 +-  0.1320 # log10(M/Msolar)
HOSTGAL_MAG: 22.02    20.89    20.43    20.16    # griz
HOSTGAL_SB_FLUXCAL: 10.64    25.78    39.09    51.85    # griz
PRIVATE(DES_mjd_latest_ml): 57403.066
PRIVATE(DES_mjd_trigger): 57331.054
BAND: ['g' 'r' 'i' 'z' 'g' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i'
 'z' 'g' 'r' 'i' 'z' 'r' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'i' 'z' 'g'
 'r' 'i' 'z' 'g' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.653 30.721 30.978 30.657 30.444 30.967 30.61  30.66  30.655 30.954
 30.638 30.58  30.682 30.944 30.631 30.602 30.685 30.971 30.684 30.664
 30.704 30.972 30.697 29.842 30.605 30.676 30.967 30.646 30.656 30.726
 30.982 30.692 30.665 30.963 30.629 30.666 30.743 30.987 30.653 30.635
 30.969 30.639 30.665 30.724 30.981 30.618 30.664 30.71  30.96  30.6
 30.639 30.715 30.97  30.638]
PSF: [2.55  2.49  1.92  2.03  3.44  2.85  2.573 3.52  3.26  2.8   2.993 2.52
 2.54  2.39  2.723 3.06  2.33  2.03  2.207 3.4   2.8   2.62  2.352 2.42
 2.26  1.93  1.94  1.749 1.86  1.68  1.56  1.54  2.14  1.7   1.665 2.82
 2.21  1.96  1.75  1.88  1.62  1.665 2.96  2.43  2.32  2.791 2.63  2.36
 2.21  1.899 1.91  1.65  1.56  1.42 ]
SKYSIG: [ 8.14 12.22 17.63 23.31  9.25 21.61 19.82 26.04 25.82 32.47 25.45  8.09
 12.43 23.17 21.95  7.99 13.51 27.45 27.08  7.84 11.7  21.88 21.78 28.42
 20.45 20.22 26.85 22.47  7.41 10.62 21.   29.92  7.61 22.66 22.11 11.53
 13.46 24.19 23.21 15.07 24.33 20.82  7.82 11.35 22.5  22.93  8.31 11.8
 23.01 21.98 17.48 20.7  31.64 38.43]
GAIN: [3.61  3.65  3.77  3.96  3.64  3.82  3.98  3.78  3.71  3.81  3.964 3.59
 3.65  3.8   3.97  3.59  3.67  3.76  3.961 3.55  3.6   3.78  3.965 3.8
 3.81  3.7   3.76  3.965 3.57  3.61  3.8   3.98  3.55  3.79  3.985 3.7
 3.69  3.78  3.97  3.78  3.78  3.98  3.61  3.62  3.81  3.965 3.63  3.64
 3.8   3.985 3.81  3.78  3.79  3.97 ]
PHOTFLAG: [    0     0     0 32768     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0 32768     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0 65536     0     0 65536]
PHOTPROB: [1.03 1.08 0.96 0.99 0.99 0.98 1.04 1.06 0.9  1.11 1.05 1.13 1.01 1.05
 1.1  0.99 1.07 1.03 1.06 1.08 1.04 1.09 0.99 0.99 1.11 1.09 1.03 0.97
 0.92 1.13 1.09 0.97 1.19 1.02 1.01 1.01 1.02 1.02 1.09 1.04 1.   0.98
 1.07 1.18 1.08 1.08 1.02 1.13 1.11 1.11 1.17 1.09 0.99 0.91]
SPECTRA: {}

NOBS: 54
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 57311.280  g  NULL 1.7430000 5.2482000
OBS: 57311.282  r  NULL 9.1324000 9.1304000
OBS: 57311.284  i  NULL 5.5178000 7.4635000
OBS: 57311.289  z  NULL -0.0800000 15.0620000
OBS: 57315.192  g  NULL 2.7460000 8.0014000
OBS: 57315.196  i  NULL 1.2905000 13.8380000
OBS: 57315.199  z  NULL 6.6550000 15.2950000
OBS: 57319.263  g  NULL 36.6920000 15.0650000
OBS: 57319.265  r  NULL 29.3480000 21.1720000
OBS: 57319.267  i  NULL 55.3010000 20.7620000
OBS: 57319.269  z  NULL 35.1820000 20.7160000
OBS: 57327.063  g  NULL 264.5500000 6.9890000
OBS: 57327.065  r  NULL 266.1100000 10.8020000
OBS: 57327.067  i  NULL 250.7700000 13.0060000
OBS: 57327.070  z  NULL 225.3000000 18.4620000
OBS: 57331.054  g  NULL 342.0600000 7.9758000
OBS: 57331.056  r  NULL 356.0400000 11.0810000
OBS: 57331.058  i  NULL 336.4000000 12.3900000
OBS: 57331.061  z  NULL 253.0700000 17.5600000
OBS: 57339.148  g  NULL 316.2500000 8.1085000
OBS: 57339.151  r  NULL 401.9100000 11.5530000
OBS: 57339.153  i  NULL 363.2300000 13.0270000
OBS: 57339.156  z  NULL 208.7500000 14.8750000
OBS: 57345.068  r  NULL 372.0600000 45.4340000
OBS: 57346.024  g  NULL 180.4200000 12.1260000
OBS: 57346.027  r  NULL 318.0200000 12.2850000
OBS: 57346.029  i  NULL 276.7000000 12.5280000
OBS: 57346.031  z  NULL 159.8600000 12.0640000
OBS: 57356.096  g  NULL 62.1140000 4.3568000
OBS: 57356.098  r  NULL 184.5500000 7.1017000
OBS: 57356.100  i  NULL 195.0100000 8.0379000
OBS: 57356.105  z  NULL 159.0400000 13.4880000
OBS: 57366.054  g  NULL 30.4130000 4.7420000
OBS: 57366.058  i  NULL 150.9800000 9.0713000
OBS: 57366.061  z  NULL 153.6700000 11.2410000
OBS: 57373.051  g  NULL 25.6550000 7.8618000
OBS: 57373.053  r  NULL 94.6440000 9.1603000
OBS: 57373.055  i  NULL 108.9500000 10.2090000
OBS: 57373.057  z  NULL 123.4900000 11.9150000
OBS: 57385.107  g  NULL 8.2096000 6.8727000
OBS: 57385.111  i  NULL 59.6550000 8.6346000
OBS: 57385.114  z  NULL 65.0850000 10.5810000
OBS: 57389.072  g  NULL 15.3750000 5.9150000
OBS: 57389.074  r  NULL 55.2150000 8.5572000
OBS: 57389.076  i  NULL 66.7780000 11.5070000
OBS: 57389.078  z  NULL 48.9280000 18.2800000
OBS: 57396.059  g  NULL 15.3290000 5.4204000
OBS: 57396.061  r  NULL 49.6000000 8.7927000
OBS: 57396.063  i  NULL 49.6670000 10.7570000
OBS: 57396.066  z  NULL 39.2310000 13.4180000
OBS: 57403.057  g  NULL 24.0690000 9.3315000
OBS: 57403.062  r  NULL 45.7770000 15.1090000
OBS: 57403.064  i  NULL 26.6290000 11.9270000
OBS: 57403.061  z  NULL 39.2300000 16.9190000
END_PHOTOMETRY:

# =============================================
