SURVEY: DES
SNID: 1330426
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 53.970436               # deg
DECL: -28.692368               # deg
MWEBV: 0.009                    # MW E(B-V)
MWEBV_ERR: 0.000                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 57312.875
REDSHIFT_FINAL: 0.2595 +-  0.0050    # (CMB)
REDSHIFT_HELIO: 0.2600 +-  0.0050    # (HELIO)
HOSTGAL_OBJID: -888
HOSTGAL_PHOTOZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SPECZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: -9.0000              # arcSec
HOSTGAL_LOGMASS: 2.0000 +-  2.0000 # log10(M/Msolar)
HOSTGAL_MAG: 888.00   888.00   888.00   888.00    # griz
HOSTGAL_SB_FLUXCAL: 0.73     1.92     1.81     1.48    # griz
PRIVATE(DES_mjd_latest_ml): 57408.083
PRIVATE(DES_mjd_trigger): 57311.256
BAND: ['g' 'r' 'i' 'z' 'g' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i'
 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g'
 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i'
 'z' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.684 30.657 30.996 30.693 30.534 30.798 30.634 30.813 30.757 31.02
 30.695 30.759 30.71  31.004 30.705 30.706 30.708 30.989 30.676 30.743
 30.708 30.974 30.691 30.71  30.721 31.    30.691 30.735 30.706 30.997
 30.725 30.726 30.673 30.967 30.693 30.703 30.704 30.997 30.748 30.641
 30.652 30.989 30.701 30.755 30.724 30.983 30.732 30.764 30.708 30.965
