SURVEY: DES
SNID: 1327978
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 8.279955               # deg
DECL: -44.140156               # deg
MWEBV: 0.006                    # MW E(B-V)
MWEBV_ERR: 0.000                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 57305.25
REDSHIFT_FINAL: 0.2073 +-  0.0010    # (CMB)
REDSHIFT_HELIO: 0.2081 +-  0.0010    # (HELIO)
HOSTGAL_OBJID: 21976
HOSTGAL_PHOTOZ: 0.2023 +-  0.0355   # (HELIO)
HOSTGAL_SPECZ: 0.2081 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: 0.7700              # arcSec
HOSTGAL_LOGMASS: 11.3130 +-  0.4135 # log10(M/Msolar)
HOSTGAL_MAG: 20.40    19.14    18.68    18.32    # griz
HOSTGAL_SB_FLUXCAL: 156.97   507.39   810.16  1099.71    # griz
PRIVATE(DES_mjd_latest_ml): 57356.125
PRIVATE(DES_mjd_trigger): 57301.046
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'i' 'z' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g'
 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'z' 'g' 'i' 'z' 'i' 'z'
 'i' 'z' 'z' 'g' 'r' 'z' 'g' 'z' 'g' 'r' 'i' 'z' 'z' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [29.923 30.073 30.423 30.067 30.6   30.709 30.955 30.606 30.955 30.625
 30.704 30.966 30.69  30.629 30.71  30.984 30.661 30.603 30.972 30.493
 30.023 29.776 29.789 29.7   30.378 30.413 30.597 29.994 30.604 30.692
 30.622 30.647 30.66  30.514 30.982 30.669 30.964 30.637 30.653 30.681
 30.733 30.694 30.641 30.439 30.677 30.728 30.977 30.659 30.695 30.63
 30.678 30.744 30.993 30.663]
PSF: [2.64  2.84  2.9   2.544 4.49  4.21  3.82  3.364 4.47  4.236 4.52  4.42
 3.593 2.68  2.41  2.04  1.947 4.09  3.58  3.247 2.5   2.36  2.37  2.21
 3.73  3.65  3.51  3.156 2.91  2.78  2.663 3.41  3.07  3.107 2.28  2.284
 2.47  2.614 1.994 2.5   2.2   2.014 1.81  1.64  1.96  2.41  1.85  1.873
 1.526 1.845 3.57  2.96  2.89  2.629]
SKYSIG: [ 7.19 10.95 19.49 18.45 15.85 16.4  23.36 21.   26.23 20.52 29.87 35.54
 25.77 38.28 36.55 41.26 27.83  7.41 26.67 25.54  7.72 13.41 23.56 30.34
  7.15 11.64 21.87 20.54  7.62 12.38 21.57 10.49 25.8  20.8  24.27 23.71
 22.92 22.4  20.97  7.45 10.99 22.29  9.35 24.   21.37 21.94 30.34 24.02
 20.26 20.88 16.1  16.31 27.15 23.18]
GAIN: [3.83  3.76  3.79  4.153 4.01  3.79  3.82  4.06  3.81  4.07  3.88  3.88
 4.066 4.07  3.9   3.91  4.06  3.81  3.82  4.076 3.83  3.81  3.87  4.09
 3.84  3.74  3.86  4.09  3.83  3.72  4.065 3.95  3.83  4.064 3.82  4.055
 3.84  4.066 4.065 3.8   3.73  4.06  3.94  4.06  4.07  3.87  3.87  4.05
 4.08  4.075 4.02  3.81  3.8   4.055]
PHOTFLAG: [    0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0 65536
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0]
PHOTPROB: [1.12 1.16 1.19 1.05 0.91 0.96 1.08 1.05 1.11 1.08 0.82 1.01 1.05 1.01
 1.01 0.9  0.95 1.05 1.03 0.93 0.92 1.14 1.12 1.13 1.07 1.2  1.   0.99
 1.14 1.12 0.99 1.01 0.98 0.98 1.1  0.94 1.04 1.01 0.98 1.17 1.13 1.
 1.1  0.95 0.95 0.98 1.1  1.04 1.09 0.97 0.88 1.03 0.97 1.  ]
SPECTRA: {}

NOBS: 54
NVAR: 6
