SURVEY: SNLS
SNID: 05D1ke
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 36.692882 deg
DECL: -4.862496 deg
MWEBV: 0.0231 MW E(B-V)
REDSHIFT_HELIO: 0.69 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.69 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53731.3
FILTERS: griz
OBS: 53711.280  i  NULL 17.9290000 2.0210000
OBS: 53726.280  i  NULL 57.9440000 0.9240000
OBS: 53730.320  i  NULL 56.2690000 2.2330000
OBS: 53734.250  i  NULL 60.2520000 0.9390000
OBS: 53739.260  i  NULL 52.1870000 1.4140000
OBS: 53766.250  i  NULL 12.6310000 1.7760000
OBS: 53769.230  i  NULL 14.9880000 1.2080000
OBS: 53944.600  i  NULL 3.4740000 2.1090000
OBS: 53946.610  i  NULL 0.1800000 4.0110000
OBS: 53963.540  i  NULL 0.5530000 1.3030000
OBS: 53967.560  i  NULL 0.2070000 1.6340000
OBS: 53970.540  i  NULL 1.9480000 1.0460000
OBS: 53975.580  i  NULL 2.8570000 1.3610000
OBS: 53979.510  i  NULL 0.9690000 0.9240000
OBS: 53992.610  i  NULL -0.6970000 1.5590000
OBS: 53996.550  i  NULL 1.0730000 1.8460000
OBS: 53999.520  i  NULL 1.5120000 1.3660000
OBS: 54006.570  i  NULL -2.7720000 1.8720000
OBS: 54019.460  i  NULL -0.7170000 1.4120000
OBS: 54023.430  i  NULL -1.9110000 1.7790000
OBS: 54031.470  i  NULL 1.6790000 1.7180000
OBS: 54035.380  i  NULL -0.9470000 1.7140000
OBS: 54039.320  i  NULL -0.1380000 1.9410000
OBS: 54053.390  i  NULL 0.6560000 1.0610000
OBS: 54056.360  i  NULL -0.9180000 1.9270000
OBS: 54060.360  i  NULL 1.1690000 0.9750000
OBS: 54063.370  i  NULL -1.6950000 1.2370000
OBS: 54066.280  i  NULL -0.5510000 1.5490000
OBS: 53698.460  r  NULL 0.4170000 1.2210000
OBS: 53702.340  r  NULL 1.8440000 1.0940000
OBS: 53705.330  r  NULL 4.1000000 0.7400000
OBS: 53711.360  r  NULL 15.7300000 2.0000000
OBS: 53726.320  r  NULL 54.5400000 1.0450000
OBS: 53730.350  r  NULL 54.9310000 1.6120000
OBS: 53734.310  r  NULL 50.0130000 1.0760000
OBS: 53739.310  r  NULL 36.9660000 1.5720000
OBS: 53766.290  r  NULL 6.1440000 2.0160000
OBS: 53769.270  r  NULL 5.7610000 1.1520000
OBS: 53948.590  r  NULL 0.4400000 1.2480000
OBS: 53963.590  r  NULL -0.7150000 1.3140000
OBS: 53967.580  r  NULL -0.1550000 1.0730000
OBS: 53970.600  r  NULL 0.8300000 0.9090000
OBS: 53975.600  r  NULL 0.0720000 1.1590000
OBS: 53979.550  r  NULL -0.4520000 0.9870000
