SURVEY: SNLS
SNID: 05D1ck
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 36.10354 deg
DECL: -4.7128 deg
MWEBV: 0.0264 MW E(B-V)
REDSHIFT_HELIO: 0.617 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.617 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53628.251
FILTERS: griz
OBS: 53734.280  g  NULL -0.3830000 0.7430000
OBS: 53739.290  g  NULL -0.5840000 1.3340000
OBS: 53767.220  g  NULL -0.0570000 1.2900000
OBS: 53948.610  g  NULL 0.6960000 0.8000000
OBS: 53586.560  i  NULL -1.6860000 1.0460000
OBS: 53592.580  i  NULL 3.3030000 2.3100000
OBS: 53609.520  i  NULL 10.7930000 1.5940000
OBS: 53613.520  i  NULL 25.4460000 2.5190000
OBS: 53617.570  i  NULL 29.2890000 1.2360000
OBS: 53622.470  i  NULL 37.7320000 2.3690000
OBS: 53624.490  i  NULL 38.1720000 1.2090000
OBS: 53639.530  i  NULL 31.2170000 1.4440000
OBS: 53642.430  i  NULL 29.2550000 2.1200000
OBS: 53647.550  i  NULL 22.2980000 1.8820000
OBS: 53648.420  i  NULL 21.8260000 1.8370000
OBS: 53651.410  i  NULL 15.6320000 2.3460000
OBS: 53655.420  i  NULL 16.3110000 1.4910000
OBS: 53666.410  i  NULL 8.6290000 2.3790000
OBS: 53667.430  i  NULL 7.4240000 1.4370000
OBS: 53670.320  i  NULL 3.2400000 2.2560000
OBS: 53674.390  i  NULL 4.6010000 1.4040000
OBS: 53678.350  i  NULL 4.0400000 2.6940000
OBS: 53682.300  i  NULL 3.8740000 5.7300000
OBS: 53699.290  i  NULL 3.5920000 1.4020000
OBS: 53702.290  i  NULL -0.3490000 2.2170000
OBS: 53705.300  i  NULL 3.9070000 0.8460000
OBS: 53711.290  i  NULL -0.9220000 2.0570000
OBS: 53726.280  i  NULL 2.0240000 0.9590000
OBS: 53730.320  i  NULL 2.1250000 2.6780000
OBS: 53734.250  i  NULL 2.0350000 0.9510000
OBS: 53739.260  i  NULL 2.8340000 1.5500000
OBS: 53766.250  i  NULL -0.7150000 2.0640000
OBS: 53769.230  i  NULL 3.9120000 1.3710000
OBS: 53944.600  i  NULL -0.3880000 1.9760000
OBS: 53946.610  i  NULL -1.8200000 4.4650000
OBS: 53586.600  r  NULL 0.4610000 1.0520000
OBS: 53592.560  r  NULL -2.8060000 1.3750000
OBS: 53609.560  r  NULL 9.5710000 1.9340000
OBS: 53613.550  r  NULL 16.0110000 1.1860000
OBS: 53617.520  r  NULL 26.1070000 0.8870000
OBS: 53622.500  r  NULL 34.4090000 1.8020000
OBS: 53624.530  r  NULL 31.9630000 1.2300000
OBS: 53639.570  r  NULL 22.6430000 1.8760000
OBS: 53642.450  r  NULL 14.5620000 1.7310000
OBS: 53648.450  r  NULL 12.0510000 1.3460000
OBS: 53651.430  r  NULL 13.4880000 1.4540000
OBS: 53655.520  r  NULL 7.8810000 2.2460000
OBS: 53666.460  r  NULL 4.4300000 5.4860000
OBS: 53667.470  r  NULL 4.8230000 1.6320000
OBS: 53670.340  r  NULL 3.4890000 1.4790000
OBS: 53674.470  r  NULL 4.9530000 1.8050000
OBS: 53675.380  r  NULL 4.3980000 1.4520000
OBS: 53678.370  r  NULL 0.6130000 1.4320000
OBS: 53698.460  r  NULL 0.2660000 1.2510000
OBS: 53702.330  r  NULL -0.1180000 1.2370000
OBS: 53705.330  r  NULL -1.3700000 0.9280000
OBS: 53711.360  r  NULL 1.2310000 2.4960000
OBS: 53726.320  r  NULL -1.2280000 1.2390000
OBS: 53730.350  r  NULL -3.1020000 1.7500000
OBS: 53734.310  r  NULL 0.0170000 1.1720000
OBS: 53739.310  r  NULL 2.1240000 1.6450000
OBS: 53766.290  r  NULL -1.7100000 2.3180000
OBS: 53769.260  r  NULL -1.5510000 1.3890000
OBS: 53948.590  r  NULL -0.6600000 1.2650000
OBS: 53609.600  z  NULL 7.7950000 3.6240000
OBS: 53613.610  z  NULL 20.1170000 3.3290000
OBS: 53617.480  z  NULL 26.3780000 3.0240000
OBS: 53624.580  z  NULL 37.0350000 3.6540000
OBS: 53639.600  z  NULL 37.4170000 4.6900000
OBS: 53642.510  z  NULL 48.7310000 4.4930000
OBS: 53648.510  z  NULL 30.2450000 4.2160000
OBS: 53655.490  z  NULL 26.1340000 4.7900000
OBS: 53668.360  z  NULL 12.6150000 4.1430000
OBS: 53675.490  z  NULL 7.2760000 3.5150000
OBS: 53699.360  z  NULL 3.1230000 2.5800000
OBS: 53705.390  z  NULL 9.6650000 2.3480000
OBS: 53726.380  z  NULL 2.8120000 3.9880000
OBS: 53734.350  z  NULL 2.2470000 4.3430000
OBS: 53739.350  z  NULL 8.1030000 3.5280000
END_PHOTOMETRY:

# =============================================
