SURVEY: SNLS
SNID: 05D3jk
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 214.197729 deg
DECL: 52.592488 deg
MWEBV: 0.0096 MW E(B-V)
REDSHIFT_HELIO: 0.736 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.736 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53508.083
FILTERS: griz
OBS: 53505.320  i  NULL 62.7320000 1.5800000
OBS: 53508.300  i  NULL 62.5730000 2.0680000
OBS: 53518.390  i  NULL 54.8690000 2.1440000
OBS: 53522.310  i  NULL 43.0280000 2.1460000
OBS: 53523.310  i  NULL 41.4370000 2.1750000
OBS: 53531.290  i  NULL 33.4660000 2.0900000
OBS: 53534.310  i  NULL 24.7070000 1.7860000
OBS: 53550.360  i  NULL 11.8810000 1.3900000
OBS: 53553.320  i  NULL 10.3170000 1.9590000
OBS: 53558.260  i  NULL 7.0840000 1.5090000
OBS: 53563.310  i  NULL 7.3510000 2.8930000
OBS: 53565.280  i  NULL 2.0270000 2.2250000
OBS: 53578.320  i  NULL 12.8250000 3.1740000
OBS: 53583.260  i  NULL 3.3260000 1.9020000
OBS: 53737.610  i  NULL 5.7210000 2.0630000
OBS: 53742.630  i  NULL 2.5570000 1.4090000
OBS: 53766.590  i  NULL 0.1230000 1.8410000
OBS: 53769.580  i  NULL -2.9850000 2.4250000
OBS: 53772.590  i  NULL 2.0720000 2.0430000
OBS: 53791.570  i  NULL 1.2690000 1.4760000
OBS: 53798.580  i  NULL -1.0160000 1.3980000
OBS: 53801.580  i  NULL 0.9730000 1.9150000
OBS: 53847.450  i  NULL 2.3560000 1.8890000
OBS: 53851.320  i  NULL 0.0810000 2.0690000
OBS: 53461.540  r  NULL -3.5540000 2.0930000
OBS: 53466.580  r  NULL 4.2650000 1.4100000
OBS: 53469.490  r  NULL -0.3710000 1.0780000
OBS: 53473.560  r  NULL 0.4500000 1.3300000
OBS: 53494.510  r  NULL 41.6620000 1.7830000
OBS: 53495.420  r  NULL 39.1000000 1.2490000
OBS: 53498.380  r  NULL 47.5450000 1.1850000
OBS: 53502.360  r  NULL 50.6070000 0.9660000
OBS: 53505.360  r  NULL 50.1290000 1.1760000
OBS: 53508.350  r  NULL 46.2850000 1.7380000
OBS: 53518.420  r  NULL 29.8700000 1.6610000
OBS: 53523.390  r  NULL 25.2060000 1.0910000
OBS: 53527.330  r  NULL 20.3800000 0.7760000
OBS: 53531.380  r  NULL 14.5450000 1.1480000
OBS: 53534.350  r  NULL 14.2280000 1.1940000
OBS: 53550.400  r  NULL 5.8160000 0.8690000
OBS: 53553.390  r  NULL 3.7190000 0.9770000
OBS: 53558.310  r  NULL 3.5040000 0.8660000
OBS: 53565.310  r  NULL 0.4120000 1.1490000
OBS: 53578.270  r  NULL 1.1250000 2.4640000
OBS: 53583.280  r  NULL 3.8950000 1.2500000
OBS: 53586.260  r  NULL 1.0570000 1.4820000
OBS: 53737.630  r  NULL 1.4810000 0.9380000
OBS: 53743.650  r  NULL -0.6810000 0.7480000
OBS: 53766.640  r  NULL -0.7090000 0.7400000
OBS: 53769.560  r  NULL -0.9110000 1.3380000
OBS: 53772.640  r  NULL -0.5620000 1.6940000
OBS: 53791.620  r  NULL -1.6260000 1.2610000
OBS: 53799.460  r  NULL -0.6700000 0.8940000
OBS: 53848.440  r  NULL 1.2770000 1.4730000
OBS: 53851.400  r  NULL 1.5110000 0.9170000
OBS: 53461.590  z  NULL 15.5710000 8.2460000
OBS: 53462.570  z  NULL -10.8240000 8.7610000
OBS: 53469.550  z  NULL -1.4900000 3.7790000
OBS: 53475.430  z  NULL -5.5060000 3.8280000
OBS: 53495.470  z  NULL 45.6560000 4.3430000
OBS: 53502.280  z  NULL 50.7380000 3.5010000
OBS: 53505.350  z  NULL 56.1660000 2.8990000
OBS: 53508.420  z  NULL 46.9570000 6.8330000
OBS: 53519.340  z  NULL 46.2110000 3.7980000
OBS: 53527.380  z  NULL 37.9240000 2.8850000
OBS: 53534.380  z  NULL 15.4890000 4.3620000
OBS: 53551.350  z  NULL 14.0460000 3.4780000
OBS: 53552.360  z  NULL 16.1190000 4.1770000
OBS: 53558.340  z  NULL 13.1020000 2.8650000
OBS: 53564.260  z  NULL 4.8840000 16.3420000
OBS: 53565.350  z  NULL 16.6840000 4.0780000
OBS: 53799.570  z  NULL 1.8060000 3.7840000
OBS: 53848.470  z  NULL 12.3590000 5.3950000
END_PHOTOMETRY:

# =============================================
