SURVEY: DES
SNID: 1335564
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 35.128132               # deg
DECL: -6.446471               # deg
MWEBV: 0.023                    # MW E(B-V)
MWEBV_ERR: 0.001                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 57338.633
REDSHIFT_FINAL: 0.6077 +-  0.0050    # (CMB)
REDSHIFT_HELIO: 0.6090 +-  0.0050    # (HELIO)
HOSTGAL_OBJID: 41224
HOSTGAL_PHOTOZ: 0.5160 +-  0.0420   # (HELIO)
HOSTGAL_SPECZ: 0.6079 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: 0.3200              # arcSec
HOSTGAL_LOGMASS: 9.3030 +-  0.2385 # log10(M/Msolar)
HOSTGAL_MAG: 24.55    23.53    23.11    22.86    # griz
HOSTGAL_SB_FLUXCAL: 2.21     6.39    11.80    13.17    # griz
PRIVATE(DES_mjd_latest_ml): 57373.058
PRIVATE(DES_mjd_trigger): 57331.056
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'r' 'i' 'z' 'r' 'g' 'r' 'i' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z'
 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.741 30.719 30.982 30.687 30.551 30.754 31.017 30.644 30.733 30.745
 30.985 30.661 30.673 30.746 30.989 30.66  30.656 30.723 30.975 30.722
 30.744 30.729 30.99  30.723 29.899 30.631 30.725 30.967 30.718 30.741
 30.963 30.703 30.711 30.764 30.97  30.635 30.752 30.779 30.998 30.671
 30.671 30.769 30.988 30.656 30.745 30.784 30.988 30.669 30.733 30.772
 30.997 30.613 30.696 30.77  30.98  30.662 30.546 30.66  30.918 30.547]
PSF: [2.51  2.51  1.91  1.962 3.36  3.16  2.87  2.614 3.52  3.27  2.9   3.09
 2.43  2.51  2.44  2.691 2.94  2.36  2.01  2.199 3.31  2.8   2.6   2.379
 2.39  2.19  1.9   1.91  1.8   1.64  1.55  1.519 2.06  1.87  1.74  1.684
 2.78  2.19  1.96  1.765 1.83  1.64  1.62  1.708 3.01  2.47  2.31  2.753
 2.51  2.33  2.21  1.906 1.87  1.64  1.56  1.44  3.33  3.16  2.91  2.5  ]
SKYSIG: [ 8.06 12.21 17.25 16.19  9.1  12.46 21.13 19.82 25.83 26.01 31.95 25.64
  7.94 12.37 22.45 21.84  7.82 13.4  26.58 26.74  7.69 11.7  21.36 21.78
 29.11 20.05 20.17 26.05  7.36 10.69 20.3  21.01  7.53 11.17 21.94 22.14
 11.43 13.59 23.66 23.28 14.92 16.79 23.96 20.83  7.77 11.41 22.23 23.02
  8.31 11.88 22.57 22.19 16.82 19.84 29.47 37.4   9.29 14.01 26.99 38.55]
GAIN: [3.71  3.68  3.91  4.005 3.78  3.67  3.93  4.025 3.92  3.76  3.97  4.016
 3.73  3.68  3.94  4.005 3.75  3.7   3.94  4.015 3.74  3.66  3.93  4.015
 3.81  3.96  3.74  3.93  3.7   3.63  3.99  4.015 3.7   3.63  3.96  4.025
 3.84  3.7   3.93  4.01  3.91  3.72  3.92  4.03  3.74  3.68  3.94  4.015
 3.7   3.68  3.94  4.015 3.93  3.72  3.95  4.02  3.79  3.72  3.98  4.04 ]
PHOTFLAG: [    0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0 65536     0     0 65536 65536     0     0 65536]
PHOTPROB: [1.01 1.03 0.92 0.93 1.05 1.   0.95 1.04 0.94 1.1  1.03 0.96 0.9  0.97
 1.   0.97 1.01 0.93 1.03 0.99 1.01 0.94 0.94 0.95 1.02 0.93 0.97 0.82
 0.97 0.97 1.07 0.89 0.88 0.99 0.89 0.94 1.04 0.99 1.   0.99 0.86 1.08
 0.95 0.96 1.04 0.99 0.95 0.91 1.08 1.02 0.89 0.88 1.06 1.   1.06 1.11
 1.   0.93 0.92 1.16]
SPECTRA: {}

NOBS: 60
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 57311.280  g  NULL 2.3290000 4.1640000
OBS: 57311.282  r  NULL 2.2800000 5.9197000
OBS: 57311.284  i  NULL 6.4380000 6.6400000
OBS: 57311.287  z  NULL -7.6170000 7.6461000
OBS: 57315.192  g  NULL 8.9140000 7.9744000
OBS: 57315.194  r  NULL -6.9380000 7.7029000
OBS: 57315.196  i  NULL -3.3250000 11.6880000
OBS: 57315.199  z  NULL -5.8220000 11.9970000
OBS: 57319.263  g  NULL -40.9230000 24.5230000
