SURVEY: SDSS
SNID: 19230
IAUC: 2007mo
PHOTOMETRY_VERSION: SMPv8+BOSS_2007
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 332.891016  deg
DECL: 0.764785  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 20
FAKE: 0   (=> data)
MWEBV: 0.0493    MW E(B-V)
MWEBV_ERR: 0.0082    error on MWEBV
NEPOCH_PRESN: 5   12   15   16   16   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.221000 +- 0.005000  (Helio, z_best)
REDSHIFT_FINAL: 0.219552 +- 0.005000  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 54390.270  (SNANA-FIT)
HOSTGAL_OBJID: 1237663544220976069
HOSTGAL_PHOTOZ: 0.1754  +- 0.0178
HOSTGAL_SNSEP: 0.159   # arcSec
HOSTGAL_LOGMASS: 10.516 +-  0.102   # log10(Mgal/Msolar)
HOSTGAL_MAG: 22.82  20.82  19.69  19.20  18.96 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 20
TELESCOPE: sdss    SEARCH_RUN: 7202  QMASK: 0
IDCCD: 5   FIELD: 82N
AIRMASS: 0.0
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 121      121      121      121      121
PHOTOMETRYFLAG: 0       32       32       32       32
GAIN: 4.050    4.725    4.640    3.480    1.470  e/ADU
RDNOISE: 4.253    4.252   12.992    4.698    4.483  e-
SKY_AVG: 70.75   210.75   282.25   254.50    18.25  ADU/pix
SKY_SIG: 4.38     6.81     8.18     8.71     4.51  ADU/pix
PSF_SIG1: 1.429    1.384    1.305    1.069    1.417  pixels
PSF_SIG2: 2.915    3.164    3.258    2.626    3.029  pixels
PSF_RATIO: 0.086    0.062    0.053    0.070    0.065  (at origin)
FLUX: -0.37     3.32     5.36     0.29     1.52  uJy
FLUX_ERRTOT: 0.666    1.220    1.795    5.406    1.898  uJy
FLUXCAL_ERRTOT: 20.029   35.998   53.116  151.104   67.129
MAG_ERRPLUS: 0.9280   0.4020   0.3670   0.9720   1.2340
MAG_ERRMINUS: 0.9280   0.4020   0.3670   0.9720   1.2340
ZEROPT: 28.2030  27.9820  27.6690  26.3260  27.2170
ZEROPT_ERR: 0.0040   0.0030   0.0030   0.0130   0.0170
SKYSUB_ERR: 12.321   21.079   19.828   51.278    5.858  (fluxcal)
GALSUB_ERR: 16.670   21.364   24.150   61.783   48.946  (fluxcal)
END_OF_EPOCH: 20
XPIXEL: 1287.240 1284.940 1286.540   -9.000   -9.000  (pixels)
YPIXEL: 833.000  821.720  824.240   -9.000   -9.000  (pixels)
EDGEDIST: 656.000  667.280  664.760   -9.000   -9.000  (pixels)
SEARCH_MAG: 22.9710  21.8370  21.6500  -9.0000  -9.0000
SEARCH_MAGERR: 0.2270   0.1460   0.2050  -9.0000  -9.0000
END_OF_SN: 19230
PHOTFLAG: [  32    0   32    0    0   32   32    0   32   32    0    0    0    0
  170   40   40  140    0   36   33    1   32   32  129    1   33   32
    0 1153   32   32   32    0    0    0   32   32   40    0    8   32
   32   32   40    1    0    0    0  129   33   56   40   32    0   32
   32   32    0  160   32   56   40   32    0   32   32   32   32    0
   32   32   32   32  132   33   33   32   32    1    1   33   33   32
   33    1 1049 1081   32  137    1   33   33   32    1    0   32   32
   32   32]
SPECTRA: {}

NOBS: 100
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 54346.220  g  NULL 22.7100000 26.0400000
OBS: 54346.220  r  NULL -2.4600000 27.6800000
OBS: 54346.220  i  NULL 20.4600000 45.3300000
OBS: 54346.220  z  NULL -115.0000000 136.6000000
OBS: 54346.220  u  NULL -28.6000000 63.2100000
OBS: 54356.261  g  NULL 4.5000000 16.5600000
OBS: 54356.261  r  NULL 26.0800000 28.2100000
OBS: 54356.261  i  NULL -46.3800000 44.4000000
OBS: 54356.261  z  NULL 73.9200000 117.2000000
OBS: 54356.261  u  NULL 45.8100000 58.8500000
OBS: 54358.206  g  NULL -19.1100000 23.3000000
