SURVEY: SDSS
SNID: 17880
IAUC: 2007jd
PHOTOMETRY_VERSION: SMPv8+BOSS_2007
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 44.972374  deg
DECL: 1.160707  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 18
FAKE: 0   (=> data)
MWEBV: 0.0772    MW E(B-V)
MWEBV_ERR: 0.0129    error on MWEBV
NEPOCH_PRESN: 15   22   22   22   24   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.072673 +- 0.000009  (Helio, z_best)
OBS: 54403.368  i  NULL 519.8000000 42.7600000
OBS: 54403.368  z  NULL 325.0000000 133.1000000
OBS: 54403.368  u  NULL 5.5200000 69.9800000
OBS: 54406.363  g  NULL 149.7000000 16.9800000
OBS: 54406.363  r  NULL 531.3000000 25.9700000
OBS: 54406.363  i  NULL 480.2000000 36.8500000
OBS: 54406.363  z  NULL 337.0000000 108.3000000
OBS: 54406.363  u  NULL 62.9100000 57.1000000
OBS: 54409.367  g  NULL 145.5000000 14.2000000
OBS: 54409.367  r  NULL 488.6000000 27.5000000
OBS: 54409.367  i  NULL 404.0000000 39.6600000
OBS: 54409.367  z  NULL 259.9000000 116.5000000
OBS: 54409.367  u  NULL 36.3100000 43.6700000
OBS: 54412.388  g  NULL 199.3000000 21.0500000
OBS: 54412.388  r  NULL 407.0000000 34.2100000
OBS: 54412.388  i  NULL 344.8000000 51.2800000
OBS: 54412.388  z  NULL 532.9000000 179.3000000
OBS: 54412.388  u  NULL 125.3000000 70.2600000
OBS: 54416.361  g  NULL 148.5000000 14.2100000
OBS: 54416.361  r  NULL 406.6000000 26.6600000
OBS: 54416.361  i  NULL 358.9000000 37.2700000
OBS: 54416.361  z  NULL 176.1000000 104.8000000
OBS: 54416.361  u  NULL 41.2400000 42.5900000
OBS: 54421.367  g  NULL 144.5000000 17.0700000
OBS: 54421.367  r  NULL 415.0000000 30.6600000
OBS: 54421.367  i  NULL 316.4000000 47.6900000
OBS: 54421.367  z  NULL 491.7000000 148.1000000
OBS: 54421.367  u  NULL 6.5500000 50.7700000
OBS: 54423.343  g  NULL 150.5000000 16.0900000
OBS: 54423.343  r  NULL 308.3000000 27.0900000
OBS: 54423.343  i  NULL 296.8000000 41.1500000
OBS: 54423.343  z  NULL 251.5000000 114.0000000
OBS: 54423.343  u  NULL -14.1100000 46.3500000
OBS: 54433.366  g  NULL 99.1000000 41.9400000
OBS: 54433.366  r  NULL 242.0000000 48.9200000
OBS: 54433.366  i  NULL 155.6000000 75.3400000
OBS: 54433.366  z  NULL 180.4000000 193.2000000
OBS: 54433.366  u  NULL -9.1900000 119.8000000
END_PHOTOMETRY:

# =============================================
