SURVEY: SNLS
SNID: 04D4ii
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 333.9818 deg
DECL: -17.657478 deg
MWEBV: 0.0251 MW E(B-V)
REDSHIFT_HELIO: 0.866 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.866 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53274.817
FILTERS: griz
OBS: 53530.550  i  NULL -3.1510000 1.4890000
OBS: 53535.530  i  NULL -2.2270000 1.9660000
OBS: 53550.540  i  NULL -0.2860000 2.2000000
OBS: 53554.550  i  NULL 0.8170000 1.6790000
OBS: 53558.520  i  NULL -1.0780000 1.3530000
OBS: 53564.510  i  NULL -5.1610000 4.0200000
OBS: 53565.480  i  NULL -0.3240000 1.5210000
OBS: 53577.570  i  NULL 0.0350000 1.4820000
OBS: 53582.460  i  NULL -0.2720000 2.4820000
OBS: 53586.440  i  NULL -0.7130000 1.1680000
OBS: 53591.440  i  NULL 0.3800000 3.0790000
OBS: 53594.400  i  NULL 2.7230000 2.2480000
OBS: 53609.360  i  NULL 0.4920000 1.4220000
OBS: 53613.350  i  NULL 1.4810000 1.8940000
OBS: 53615.380  i  NULL -3.7200000 3.2090000
OBS: 53617.370  i  NULL 0.2620000 1.6360000
OBS: 53622.340  i  NULL -0.8530000 2.0170000
OBS: 53624.320  i  NULL -1.3030000 2.0330000
OBS: 53639.290  i  NULL 0.8700000 2.1580000
OBS: 53642.250  i  NULL -2.1930000 2.1450000
OBS: 53647.340  i  NULL -3.0540000 1.4130000
OBS: 53224.590  r  NULL -1.2170000 2.1560000
OBS: 53227.510  r  NULL -0.0540000 1.4740000
OBS: 53231.510  r  NULL 0.4350000 1.4880000
OBS: 53234.520  r  NULL -2.8810000 1.3550000
OBS: 53239.460  r  NULL 2.1510000 1.5910000
OBS: 53253.430  r  NULL 8.2580000 1.4450000
OBS: 53258.450  r  NULL 11.5380000 1.0160000
OBS: 53262.340  r  NULL 15.4920000 1.4980000
OBS: 53266.330  r  NULL 18.7130000 1.1360000
OBS: 53270.340  r  NULL 18.8580000 1.5290000
OBS: 53283.300  r  NULL 11.3300000 1.8450000
OBS: 53287.320  r  NULL 8.6730000 1.7470000
OBS: 53293.280  r  NULL 5.4370000 1.2440000
OBS: 53296.250  r  NULL 3.6340000 1.5750000
OBS: 53297.220  r  NULL 6.1070000 1.6020000
OBS: 53312.270  r  NULL 0.1710000 1.4500000
OBS: 53317.240  r  NULL 1.2580000 1.3580000
OBS: 53321.270  r  NULL 0.0070000 1.6020000
OBS: 53350.220  r  NULL -1.6750000 1.7460000
OBS: 53529.590  r  NULL 1.5750000 1.9240000
OBS: 53530.590  r  NULL 1.8490000 1.3210000
OBS: 53535.570  r  NULL 1.0710000 1.7740000
OBS: 53551.580  r  NULL -1.0940000 1.6910000
OBS: 53554.570  r  NULL 0.9430000 1.5290000
OBS: 53558.560  r  NULL 0.3560000 1.6200000
OBS: 53564.570  r  NULL 0.3780000 3.0020000
OBS: 53565.570  r  NULL -1.9680000 1.4120000
OBS: 53577.600  r  NULL -3.0530000 2.5290000
OBS: 53578.490  r  NULL 1.3740000 2.8450000
OBS: 53579.510  r  NULL -5.1710000 4.6670000
OBS: 53582.490  r  NULL 1.1180000 1.7560000
OBS: 53586.500  r  NULL -1.5560000 1.2280000
OBS: 53591.470  r  NULL 3.7030000 2.8310000
OBS: 53592.410  r  NULL 1.9090000 1.2710000
OBS: 53594.440  r  NULL -3.2700000 1.5660000
OBS: 53609.400  r  NULL -1.7370000 1.3600000
OBS: 53613.400  r  NULL 0.0270000 1.4550000
OBS: 53617.400  r  NULL 0.5860000 1.1380000
OBS: 53622.390  r  NULL 1.5320000 1.7880000
OBS: 53624.360  r  NULL 1.8280000 1.5860000
OBS: 53639.350  r  NULL -2.3010000 1.8840000
OBS: 53642.270  r  NULL 2.1310000 1.3980000
OBS: 53648.260  r  NULL 0.0380000 1.3370000
OBS: 53228.480  z  NULL 2.7260000 3.5190000
OBS: 53239.410  z  NULL 1.3650000 3.8210000
OBS: 53254.380  z  NULL 16.7350000 3.0720000
OBS: 53268.310  z  NULL 27.7140000 4.4090000
OBS: 53270.380  z  NULL 34.6970000 3.3440000
OBS: 53283.380  z  NULL 32.4490000 7.0990000
OBS: 53286.230  z  NULL 35.3040000 10.2630000
OBS: 53290.240  z  NULL 55.0100000 12.4550000
OBS: 53321.290  z  NULL 19.8450000 6.5950000
OBS: 53322.210  z  NULL 3.1760000 4.2410000
OBS: 53331.270  z  NULL 11.6680000 4.2560000
OBS: 53550.580  z  NULL 5.6130000 3.3090000
OBS: 53558.590  z  NULL 3.0630000 4.3750000
OBS: 53565.530  z  NULL -1.6560000 3.5560000
OBS: 53579.550  z  NULL 2.1330000 4.7430000
OBS: 53587.430  z  NULL 3.3960000 3.5780000
OBS: 53593.390  z  NULL -1.2560000 3.2710000
OBS: 53609.450  z  NULL 3.0500000 3.7890000
OBS: 53613.460  z  NULL 2.3810000 4.5730000
OBS: 53617.320  z  NULL 0.8270000 2.5840000
OBS: 53624.420  z  NULL 5.4340000 3.9660000
OBS: 53639.380  z  NULL 2.2940000 4.6020000
OBS: 53642.330  z  NULL -3.7480000 3.1760000
OBS: 53648.350  z  NULL -0.5500000 4.3440000
END_PHOTOMETRY:

# =============================================
