SURVEY: SNLS
SNID: 05D2by
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 150.116802 deg
DECL: 2.521539 deg
MWEBV: 0.0177 MW E(B-V)
REDSHIFT_HELIO: 0.891 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.891 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53413.7
FILTERS: griz
OBS: 53463.380  z  NULL 5.7500000 4.5050000
OBS: 53470.330  z  NULL 5.4540000 3.9410000
OBS: 53699.620  z  NULL 0.1500000 2.0860000
OBS: 53700.590  z  NULL 0.6060000 7.2490000
OBS: 53705.640  z  NULL 3.7760000 2.6440000
OBS: 53728.630  z  NULL 0.3240000 2.2780000
OBS: 53735.550  z  NULL -0.5440000 2.8400000
OBS: 53742.530  z  NULL -2.2030000 2.7470000
OBS: 53784.410  z  NULL 8.6230000 9.2950000
END_PHOTOMETRY:

# =============================================
