SURVEY: DES
SNID: 1291957
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 7.200018               # deg
DECL: -43.562267               # deg
MWEBV: 0.006                    # MW E(B-V)
MWEBV_ERR: 0.000                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 56901.355
REDSHIFT_FINAL: 0.3600 +-  0.0050    # (CMB)
REDSHIFT_HELIO: 0.3610 +-  0.0050    # (HELIO)
HOSTGAL_OBJID: -888
HOSTGAL_PHOTOZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SPECZ: -9.0000 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: -9.0000              # arcSec
HOSTGAL_LOGMASS: 2.0000 +-  2.0000 # log10(M/Msolar)
HOSTGAL_MAG: 888.00   888.00   888.00   888.00    # griz
HOSTGAL_SB_FLUXCAL: 0.50     0.69     1.05     0.16    # griz
PRIVATE(DES_mjd_latest_ml): 56980.028
PRIVATE(DES_mjd_trigger): 56903.107
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'g' 'r' 'i' 'z' 'z' 'g' 'r' 'i'
 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.749 30.752 31.021 30.669 30.797 30.793 31.029 30.659 30.797 30.804
 31.048 30.71  30.143 30.369 30.791 30.466 30.73  30.773 31.03  30.721
 29.392 29.571 30.734 30.772 31.034 30.692 30.806 30.806 30.769 30.787
 31.034 30.663 30.652 30.736 30.761 31.022 30.681 30.565 30.365 30.723
 30.319 30.727 30.747 31.006 30.632 30.6   30.698 30.954 30.428 30.395
 30.94  30.621 30.768 30.781 31.026 30.686 30.778 30.792 31.032 30.668]
PSF: [3.25  3.17  2.75  2.523 3.09  2.53  2.14  1.961 3.35  2.62  2.85  2.358
 2.56  2.25  2.2   2.356 2.63  2.38  2.44  2.274 3.54  2.638 2.55  2.37
 2.19  1.95  2.45  2.35  2.75  2.4   2.13  1.881 4.446 3.11  2.8   2.51
 2.486 2.02  1.78  1.72  1.606 2.72  2.24  2.2   1.934 3.4   3.35  3.31
 2.4   2.25  2.11  2.453 1.93  1.72  1.64  1.565 1.9   1.67  1.51  1.384]
SKYSIG: [27.46 26.25 33.93 27.69 13.61 15.   21.78 18.37  6.94 10.33 17.02 15.99
 20.22 24.08 34.22 28.22 16.24 19.31 27.05 23.12  7.81 25.05  6.8  11.79
 22.12 21.46  6.44 10.52  9.02 13.57 22.66 20.53 21.85  7.67 15.53 29.24
 28.27  7.44 13.22 21.27 21.17  7.49 12.89 23.92 22.47 11.37 14.17 25.94
 18.59 25.14 30.8  26.42  7.09 10.4  18.85 18.62  9.27 12.1  22.88 22.02]
GAIN: [4.41  3.83  3.95  4.146 4.33  3.83  3.91  4.189 4.09  3.64  3.84  4.137
 4.4   3.87  3.97  4.15  4.35  3.82  3.95  4.125 4.16  4.194 4.08  3.74
 3.91  4.15  4.06  3.7   4.21  3.78  3.94  4.16  4.121 4.14  3.81  3.95
 4.135 4.16  3.8   3.96  4.175 4.14  3.78  3.88  4.152 4.3   3.79  3.89
 4.42  3.84  3.95  4.16  4.08  3.73  3.84  4.195 4.21  3.77  3.94  4.155]
PHOTFLAG: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
PHOTPROB: [0.99 0.94 0.85 1.   1.02 1.01 1.03 1.   1.03 1.   0.97 1.   1.01 1.07
 1.   1.   1.14 1.12 0.99 0.98 0.9  1.05 0.95 1.04 1.09 0.98 0.94 1.04
 1.   0.95 0.92 0.94 1.06 1.05 0.95 0.86 0.98 1.04 0.91 1.03 0.99 0.9
 1.01 1.   0.99 0.84 1.02 0.97 1.02 1.03 0.91 1.   0.97 0.9  0.96 0.98
 0.93 0.99 0.98 1.03]
SPECTRA: {}

NOBS: 60
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 56877.179  g  NULL -63.4690000 31.6090000
OBS: 56877.181  r  NULL 2.8560000 18.7670000
OBS: 56877.183  i  NULL 21.9600000 12.7590000
OBS: 56877.186  z  NULL -1.0320000 12.8060000
OBS: 56885.209  g  NULL 11.3980000 9.3326000
OBS: 56885.212  r  NULL 17.8780000 7.1892000
OBS: 56885.214  i  NULL 25.6010000 6.5952000
OBS: 56885.217  z  NULL 15.0170000 6.8629000
OBS: 56890.218  g  NULL 46.4720000 4.9190000
OBS: 56890.220  r  NULL 69.9050000 5.4680000
OBS: 56890.222  i  NULL 57.8370000 6.7036000
OBS: 56890.225  z  NULL 57.9180000 6.8221000
OBS: 56903.107  g  NULL 125.3600000 19.0400000
OBS: 56903.109  r  NULL 199.9500000 16.3950000
OBS: 56903.111  i  NULL 210.2100000 13.3560000
OBS: 56903.114  z  NULL 139.8400000 14.7470000
