OBS: 53622.470  i  NULL -4.2660000 2.7070000
OBS: 53624.490  i  NULL -2.3590000 1.5640000
OBS: 53639.530  i  NULL 7.3930000 1.6230000
OBS: 53642.430  i  NULL 16.5610000 2.5860000
OBS: 53647.530  i  NULL 29.2640000 1.9040000
OBS: 53648.410  i  NULL 30.4850000 4.1160000
OBS: 53651.410  i  NULL 42.9610000 2.4210000
OBS: 53655.420  i  NULL 54.3880000 1.7660000
OBS: 53666.410  i  NULL 55.3710000 3.3880000
OBS: 53667.430  i  NULL 56.2400000 1.7480000
OBS: 53670.320  i  NULL 54.0130000 2.5450000
OBS: 53674.390  i  NULL 45.0400000 1.7880000
OBS: 53678.350  i  NULL 44.1790000 2.9950000
OBS: 53682.320  i  NULL 27.6640000 5.3590000
OBS: 53699.290  i  NULL 9.1000000 1.5540000
OBS: 53702.290  i  NULL 13.2980000 2.5500000
OBS: 53705.290  i  NULL 8.7690000 1.2320000
OBS: 53711.290  i  NULL 5.9560000 2.5590000
OBS: 53726.280  i  NULL 1.8340000 1.0710000
OBS: 53730.320  i  NULL 3.4370000 2.9520000
OBS: 53734.250  i  NULL 4.0040000 1.2960000
OBS: 53739.270  i  NULL 0.8950000 2.1510000
OBS: 53766.250  i  NULL 1.5330000 2.5200000
OBS: 53769.230  i  NULL 3.3270000 1.6440000
OBS: 53944.580  i  NULL 5.8300000 3.9890000
OBS: 53946.620  i  NULL -6.9680000 7.3540000
OBS: 53963.540  i  NULL -1.0910000 1.4320000
OBS: 53967.560  i  NULL -1.9960000 2.0980000
OBS: 53970.550  i  NULL -1.7070000 1.3290000
OBS: 53617.530  r  NULL 0.6300000 2.4220000
OBS: 53622.500  r  NULL 4.0120000 2.2660000
OBS: 53624.530  r  NULL 4.3780000 1.5360000
OBS: 53639.570  r  NULL 7.0370000 2.1880000
OBS: 53642.460  r  NULL 16.3520000 2.1520000
OBS: 53648.450  r  NULL 37.0400000 1.7980000
OBS: 53651.440  r  NULL 43.4340000 1.8580000
OBS: 53655.530  r  NULL 54.6990000 2.6930000
