SURVEY: DES
SNID: 1299643
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 55.102634               # deg
DECL: -26.722080               # deg
MWEBV: 0.012                    # MW E(B-V)
MWEBV_ERR: 0.001                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 56935.809
REDSHIFT_FINAL: 0.3800 +-  0.0050    # (CMB)
REDSHIFT_HELIO: 0.3805 +-  0.0050    # (HELIO)
HOSTGAL_OBJID: 22950
HOSTGAL_PHOTOZ: 0.4846 +-  0.0323   # (HELIO)
HOSTGAL_SPECZ: 0.3773 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: 0.4400              # arcSec
HOSTGAL_LOGMASS: 9.2530 +-  0.0280 # log10(M/Msolar)
HOSTGAL_MAG: 24.11    23.01    22.65    22.40    # griz
HOSTGAL_SB_FLUXCAL: 4.65    15.33    20.94    27.21    # griz
PRIVATE(DES_mjd_latest_ml): 57008.118
PRIVATE(DES_mjd_trigger): 56943.23
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'z' 'g' 'r' 'i' 'z' 'g'
 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'r' 'i' 'z'
 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.794 30.817 31.058 30.757 30.772 30.807 31.041 30.718 30.735 30.788
 31.03  30.695 30.772 30.812 31.046 30.731 30.761 30.802 31.036 30.704
 30.225 30.438 30.78  30.593 30.611 30.697 30.724 30.447 30.675 30.767
 30.705 30.729 30.781 31.025 30.698 30.707 30.742 31.002 30.641 30.687
 30.761 31.005 30.657 30.756 30.811 31.04  30.726 30.764 30.813 31.052
 30.747 30.737 31.    30.638 30.77  30.803 31.027 30.685 30.773 30.813
 31.046 30.715 30.765 30.803 31.026 30.67 ]
PSF: [2.05  1.82  1.83  1.852 2.31  2.05  1.82  1.713 2.38  2.13  2.16  1.97
 2.28  1.98  1.81  1.684 1.9   1.75  1.63  1.593 2.32  2.14  2.    1.93
 2.81  2.56  2.34  2.412 3.95  4.17  2.799 2.54  2.09  1.89  1.78  1.89
 1.85  1.9   1.768 2.33  2.01  1.93  1.95  4.4   4.22  3.89  3.56  2.95
 2.42  2.01  1.809 3.84  3.84  3.628 2.32  2.04  1.95  1.669 2.29  2.31
 2.22  2.171 3.97  3.57  3.13  2.621]
SKYSIG: [24.89 23.57 29.49 24.22  7.23 10.5  17.   15.46  7.68 11.44 20.6  19.72
 17.69 16.9  20.62 16.27  7.6  12.83 20.12 18.27  8.93 13.89 25.03 23.05
  7.66 11.92 20.9  19.69 23.99 26.74 29.07 17.46 17.33 25.62 22.86  7.09
 11.45 20.14 18.47 12.17 13.42 25.06 23.38 14.27 15.23 25.01 23.94 17.9
 17.69 24.19 21.37 25.36 30.32 24.85  6.92 10.36 20.21 19.65  6.97  9.58
 16.41 15.17  9.8  11.93 22.67 21.84]
GAIN: [3.85  3.68  3.83  3.984 3.57  3.54  3.75  4.036 3.63  3.56  3.78  4.02
 3.85  3.62  3.78  3.995 3.6   3.59  3.77  4.024 3.74  3.63  3.77  4.005
 3.62  3.56  3.82  4.021 3.83  3.63  3.993 3.83  3.63  3.77  3.995 3.61
 3.56  3.76  4.07  3.78  3.62  3.78  3.996 3.8   3.58  3.76  3.985 3.83
 3.64  3.76  4.01  3.65  3.81  4.01  3.68  3.49  3.75  4.015 3.66  3.51
 3.7   4.03  3.74  3.56  3.77  4.006]
PHOTFLAG: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
PHOTPROB: [0.92 0.86 1.   0.92 0.92 1.02 0.97 0.97 0.91 0.88 0.98 1.02 1.05 1.
 0.96 0.96 1.   0.94 0.94 0.94 0.98 0.94 1.06 1.03 1.03 1.   0.99 1.
 0.92 0.99 0.94 0.99 1.02 0.99 1.   0.88 1.03 0.98 0.92 0.93 1.04 1.1
 1.08 1.02 0.97 1.03 1.   0.98 0.93 0.95 0.99 0.92 0.99 0.97 1.05 1.07
 0.95 0.99 0.99 1.03 0.86 0.96 0.89 1.05 1.   0.98]
SPECTRA: {}

NOBS: 66
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 56912.344  g  NULL -11.4230000 12.9030000
OBS: 56912.346  r  NULL -12.2000000 8.9647000
OBS: 56912.348  i  NULL 9.3370000 9.5786000
OBS: 56912.350  z  NULL -0.2090000 9.8233000
OBS: 56920.305  g  NULL 3.7834000 3.4097000
OBS: 56920.307  r  NULL 15.0990000 4.9875000
OBS: 56920.309  i  NULL 12.9730000 5.3600000
OBS: 56920.312  z  NULL 10.9900000 6.6706000
OBS: 56927.235  g  NULL 67.9360000 4.1204000
OBS: 56927.237  r  NULL 97.7940000 6.5112000
OBS: 56927.239  i  NULL 79.2700000 8.1879000
OBS: 56927.242  z  NULL 82.2620000 9.3802000
OBS: 56943.230  g  NULL 114.2500000 8.9416000
OBS: 56943.232  r  NULL 203.6400000 8.1959000
OBS: 56943.234  i  NULL 177.7100000 7.6804000
OBS: 56943.237  z  NULL 133.8200000 6.8417000
OBS: 56949.323  g  NULL 84.4860000 3.6041000
OBS: 56949.326  r  NULL 167.6200000 6.2231000
OBS: 56949.328  i  NULL 160.2400000 6.5958000
OBS: 56949.330  z  NULL 125.6900000 7.3295000
OBS: 56956.338  g  NULL 61.5970000 6.9303000
OBS: 56956.340  r  NULL 129.8800000 9.8542000
OBS: 56956.342  i  NULL 147.7700000 11.2910000
OBS: 56956.345  z  NULL 85.9890000 11.3150000
OBS: 56960.271  g  NULL 35.7020000 5.5989000
OBS: 56960.273  r  NULL 99.9610000 7.9770000
OBS: 56960.276  i  NULL 110.1600000 11.4320000
OBS: 56960.278  z  NULL 91.4270000 14.4790000
OBS: 56966.353  g  NULL -24.3800000 25.6530000
OBS: 56966.355  r  NULL 46.5260000 30.2750000
OBS: 56966.361  z  NULL 74.4850000 18.2940000
OBS: 56973.315  g  NULL 25.4840000 10.1290000
OBS: 56973.317  r  NULL 36.1010000 8.0588000
OBS: 56973.319  i  NULL 75.4390000 8.8490000
OBS: 56973.322  z  NULL 72.5590000 10.1600000
