SURVEY: SNLS
SNID: 05D3mn
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 214.688507 deg
DECL: 52.323145 deg
MWEBV: 0.0089 MW E(B-V)
REDSHIFT_HELIO: 0.76 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.76 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53559.367
FILTERS: griz
OBS: 53578.310  i  NULL 31.4590000 2.4330000
OBS: 53583.260  i  NULL 19.0190000 1.8480000
OBS: 53737.610  i  NULL 2.8700000 1.8040000
OBS: 53742.630  i  NULL 0.4400000 1.2500000
OBS: 53766.580  i  NULL 0.5600000 0.9860000
OBS: 53769.580  i  NULL 1.2830000 2.2550000
OBS: 53772.590  i  NULL 0.7610000 1.7370000
OBS: 53791.570  i  NULL 1.8330000 1.3660000
OBS: 53798.580  i  NULL 3.2950000 1.2490000
OBS: 53801.570  i  NULL 1.9610000 1.1280000
OBS: 53847.450  i  NULL 2.8310000 1.5220000
OBS: 53851.320  i  NULL -0.9880000 1.7460000
OBS: 53855.360  i  NULL 0.1830000 0.9990000
OBS: 53859.310  i  NULL 0.9360000 1.2740000
OBS: 53875.470  i  NULL 2.9060000 1.7630000
OBS: 53879.260  i  NULL 0.9910000 1.9290000
OBS: 53883.330  i  NULL 1.5350000 1.2110000
OBS: 53888.360  i  NULL 1.4960000 2.2480000
OBS: 53892.320  i  NULL 0.7470000 1.0720000
OBS: 53906.310  i  NULL 0.2700000 1.5500000
OBS: 53910.350  i  NULL 1.4610000 1.3530000
OBS: 53508.350  r  NULL -1.3850000 1.6750000
OBS: 53518.420  r  NULL 0.3630000 1.4040000
OBS: 53523.390  r  NULL 1.6730000 1.0220000
OBS: 53527.330  r  NULL -1.0390000 0.7190000
OBS: 53531.380  r  NULL -1.0100000 0.9250000
OBS: 53534.350  r  NULL -0.4860000 1.1490000
OBS: 53550.400  r  NULL 27.9910000 0.8120000
OBS: 53553.390  r  NULL 30.1060000 0.8660000
OBS: 53558.310  r  NULL 28.5140000 0.9130000
OBS: 53565.310  r  NULL 22.6070000 1.0460000
OBS: 53578.280  r  NULL 11.7250000 2.0080000
OBS: 53583.280  r  NULL 5.6060000 1.1150000
OBS: 53586.260  r  NULL 5.4720000 1.3720000
OBS: 53737.630  r  NULL 1.5490000 0.9440000
OBS: 53743.650  r  NULL 1.4960000 0.7210000
OBS: 53766.640  r  NULL 0.9030000 0.8880000
OBS: 53769.560  r  NULL 1.0530000 1.1870000
OBS: 53772.630  r  NULL -4.0260000 1.6460000
OBS: 53791.620  r  NULL -0.0970000 1.1330000
OBS: 53799.460  r  NULL 0.5580000 0.8870000
OBS: 53848.440  r  NULL 0.5240000 1.3740000
OBS: 53851.400  r  NULL -0.1190000 0.8720000
OBS: 53855.390  r  NULL -0.0440000 0.8210000
OBS: 53859.340  r  NULL 1.5970000 0.9750000
OBS: 53875.500  r  NULL -0.0320000 1.8590000
OBS: 53879.290  r  NULL 0.5410000 1.0370000
OBS: 53883.370  r  NULL -1.6560000 0.9900000
OBS: 53888.380  r  NULL -1.4150000 1.0390000
OBS: 53892.350  r  NULL -1.5910000 1.2870000
OBS: 53906.350  r  NULL -1.1090000 1.0680000
OBS: 53911.280  r  NULL -0.5280000 0.9540000
