SURVEY: SDSS
SNID: 8921
IAUC: 2005ld
PHOTOMETRY_VERSION: SMPv8+BOSS_2005
SNTYPE: 120
FILTERS: ugrizUGRIZ
OBS: 53669.138  u  NULL 36.3100000 42.6800000
OBS: 53670.161  g  NULL -30.7400000 16.4100000
OBS: 53670.161  r  NULL 29.4200000 26.1700000
OBS: 53670.161  i  NULL -32.9400000 39.5300000
OBS: 53670.161  z  NULL -56.3600000 127.5000000
OBS: 53670.161  u  NULL -2.9800000 39.0800000
OBS: 53671.223  u  NULL 58.7200000 120.4000000
OBS: 53673.128  g  NULL 79.5300000 17.0200000
OBS: 53673.128  r  NULL 28.7300000 28.0900000
OBS: 53673.128  i  NULL 49.6200000 42.8000000
OBS: 53673.128  z  NULL -154.7000000 128.5000000
OBS: 53673.128  u  NULL -46.1400000 51.4700000
OBS: 53674.122  u  NULL 97.1100000 41.9900000
OBS: 53675.125  g  NULL 132.3000000 16.6500000
OBS: 53675.125  r  NULL 135.0000000 27.4500000
OBS: 53675.125  i  NULL 66.9100000 42.7900000
OBS: 53675.125  z  NULL -6.4200000 121.6000000
OBS: 53675.125  u  NULL 5.9100000 39.3600000
OBS: 53676.213  G  NULL 188.4000000 16.2300000
OBS: 53676.213  R  NULL 122.8000000 24.3500000
OBS: 53676.213  I  NULL 153.1000000 35.4900000
OBS: 53676.213  Z  NULL -58.4100000 103.7000000
OBS: 53676.213  U  NULL 48.3300000 54.5600000
OBS: 53677.146  g  NULL 233.9000000 19.6800000
OBS: 53677.146  r  NULL 260.8000000 26.5800000
OBS: 53677.146  i  NULL 186.0000000 40.0800000
OBS: 53677.146  z  NULL 131.7000000 128.6000000
OBS: 53677.146  u  NULL 41.7900000 57.7900000
OBS: 53679.181  R  NULL 299.9000000 31.3600000
OBS: 53679.181  U  NULL 159.2000000 65.8600000
OBS: 53680.132  g  NULL 367.2000000 18.9700000
OBS: 53680.132  r  NULL 419.6000000 25.9500000
OBS: 53680.132  i  NULL 384.6000000 37.4200000
OBS: 53680.132  z  NULL 347.0000000 113.9000000
OBS: 53680.132  u  NULL 33.4600000 50.6100000
OBS: 53681.174  u  NULL 148.8000000 50.5400000
OBS: 53685.133  U  NULL 57.8300000 185.0000000
OBS: 53686.198  g  NULL 863.7000000 82.8700000
OBS: 53686.198  r  NULL 762.6000000 68.9600000
OBS: 53686.198  i  NULL 714.7000000 79.9200000
OBS: 53686.198  z  NULL 569.2000000 268.5000000
OBS: 53686.198  u  NULL -183.0000000 743.3000000
OBS: 53687.172  G  NULL 970.9000000 85.0700000
OBS: 53687.172  R  NULL 906.0000000 51.7800000
OBS: 53687.172  I  NULL 710.8000000 67.6100000
OBS: 53687.172  Z  NULL 546.3000000 137.4000000
OBS: 53687.172  U  NULL 89.7400000 401.0000000
OBS: 53693.133  g  NULL 1123.0000000 40.3500000
OBS: 53693.133  r  NULL 1081.0000000 36.8700000
OBS: 53693.133  i  NULL 836.8000000 45.5300000
OBS: 53693.133  z  NULL 664.8000000 140.9000000
OBS: 53693.133  u  NULL 254.6000000 79.8000000
OBS: 53698.130  g  NULL 1074.0000000 449.6000000
OBS: 53698.130  r  NULL 426.6000000 730.8000000
OBS: 53698.130  i  NULL 673.1000000 1593.0000000
OBS: 53698.130  z  NULL -2966.0000000 9999.0000000
OBS: 53698.130  u  NULL 99.5500000 3359.0000000
OBS: 53699.153  g  NULL 712.4000000 83.5500000
OBS: 53699.153  r  NULL 561.6000000 266.9000000
OBS: 53699.153  i  NULL 753.3000000 206.7000000
OBS: 53699.153  z  NULL 301.1000000 1283.0000000
OBS: 53699.153  u  NULL 67.5500000 551.5000000
OBS: 53700.128  U  NULL 197.1000000 53.0400000
OBS: 53702.125  i  NULL 747.0000000 70.3700000
OBS: 53702.125  z  NULL 494.5000000 293.4000000
OBS: 53702.125  u  NULL 99.0800000 124.1000000
OBS: 53703.137  g  NULL 684.7000000 26.5000000
OBS: 53703.137  r  NULL 887.8000000 40.9200000
OBS: 53703.137  i  NULL 692.6000000 51.1500000
OBS: 53703.137  z  NULL 700.9000000 177.3000000
OBS: 53703.137  u  NULL 131.6000000 76.0400000
OBS: 53704.115  g  NULL 645.5000000 21.4200000
OBS: 53704.115  r  NULL 895.2000000 33.8300000
OBS: 53704.115  i  NULL 665.7000000 43.6300000
OBS: 53704.115  z  NULL 502.2000000 136.0000000
OBS: 53704.115  u  NULL 75.3200000 63.0100000
OBS: 53705.114  U  NULL 166.9000000 56.8300000
END_PHOTOMETRY:

# =============================================
