SURVEY: SDSS
SNID: 13578
IAUC: 2006hc
PHOTOMETRY_VERSION: SMPv8+BOSS_2006
SNTYPE: 120
FILTERS: ugrizUGRIZ
RA: 17.394697  deg
DECL: 0.704158  deg
PIXSIZE: 0.4000  arcsec
NEPOCH: 20
FAKE: 0   (=> data)
MWEBV: 0.0290    MW E(B-V)
MWEBV_ERR: 0.0048    error on MWEBV
NEPOCH_PRESN: 13   16   18   17   20   -9   -9   -9   -9   -9  ugrizUGRIZ
REDSHIFT_HELIO: 0.228000 +- 0.005000  (Helio, z_best)
REDSHIFT_FINAL: 0.226685 +- 0.005000  (CMB)
REDSHIFT_STATUS: OK
PEAKMJD: 53998.867  (SNANA-FIT)
HOSTGAL_OBJID: 1237663204921770853
HOSTGAL_PHOTOZ: 0.3667  +- 0.1651
HOSTGAL_SNSEP: 1.289   # arcSec
HOSTGAL_LOGMASS: 9.121 +-  0.110   # log10(Mgal/Msolar)
HOSTGAL_MAG: 22.44  22.31  21.40  21.46  23.84 999.00 999.00 999.00 999.00 999.00
# ugrizUGRIZ: # ugrizUGRIZ
EPOCH: 20
TELESCOPE: sdss    SEARCH_RUN: 6600  QMASK: 1
IDCCD: 5   FIELD: 82N
CLOUDCAM_AVG: 2702.00     CLOUDCAM_SIG:  9.09
MOONDIST: 999.00 deg     MOONPHASE:   0.11
AIRMASS: 1.504
PASSBAND: g        r        i        z        u
SEARCH_FIELD: 553      553      553      553      553
PHOTOMETRYFLAG: 8      160       32        0     1152
GAIN: 4.050    4.725    4.640    3.480    1.470  e/ADU
RDNOISE: 4.253    4.252   12.992    4.698    4.483  e-
XPIXEL: 761.540   -9.000  761.910   -9.000   -9.000  (pixels)
YPIXEL: 1250.860   -9.000 1244.130   -9.000   -9.000  (pixels)
EDGEDIST: 238.140   -9.000  244.870   -9.000   -9.000  (pixels)
SKY_AVG: 55.50   147.00   255.00   246.75    19.25  ADU/pix
SKY_SIG: 3.93     5.66     8.00     8.66     4.75  ADU/pix
PSF_SIG1: 1.367    1.289    1.156    0.999    1.165  pixels
PSF_SIG2: 3.198    3.253    2.984    2.533    2.227  pixels
PSF_RATIO: 0.055    0.030    0.042    0.063    0.174  (at origin)
FLUX: -0.12     1.93     1.32     5.42     1.14  uJy
FLUX_ERRTOT: 0.499    0.779    1.306    4.070    1.427  uJy
FLUXCAL_ERRTOT: 14.150   23.005   40.984  122.151   44.760
MAG_ERRPLUS: 0.7720   0.4170   0.7900   0.5980   1.0380
MAG_ERRMINUS: 0.7720   0.4170   0.7900   0.5980   1.0380
ZEROPT: 28.4100  28.2280  27.8970  26.6240  27.3900
ZEROPT_ERR: 0.0030   0.0020   0.0030   0.0140   0.0030
SEARCH_MAG: 23.1520  -9.0000  21.7370  -9.0000  -9.0000
SEARCH_MAGERR: 0.2710  -9.0000   0.2100  -9.0000  -9.0000
SKYSUB_ERR: 9.723    4.176   12.697   31.583    6.953  (fluxcal)
GALSUB_ERR: 13.226   13.782   16.451   55.513   36.081  (fluxcal)
END_OF_EPOCH: 20
END_OF_SN: 13578
PHOTFLAG: [   1    1    1    0    1    0    0    0    0  128    0    0    0    0
   34   24   24    0  152    0    8    0  128  128   32    0    0  128
    0    0    8    0    0    0  128 1049 1176    0   24    9    2    0
    0   32  130    0    0  128    0  128    0    0    0   32    0    0
   32    0    0  128   33  128   32    0    1    1  129    1  128 1153
    1   33    0   32    1   34  160   32    0   34    0   32   32    0
 1160   40   32   32    0    0    0 1184   32  160    0    8  160   32
    0 1152]
SPECTRA: {}

NOBS: 100
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 53989.362  g  NULL 293.8000000 42.9800000
OBS: 53989.362  r  NULL 260.3000000 40.1200000
OBS: 53989.362  i  NULL 292.1000000 47.9200000
OBS: 53989.362  z  NULL 88.0600000 122.0000000
OBS: 53989.362  u  NULL -208.9000000 92.6200000
OBS: 53995.377  g  NULL 382.4000000 15.8700000
OBS: 53995.377  r  NULL 404.8000000 24.2900000
OBS: 53995.377  i  NULL 381.1000000 34.9500000
OBS: 53995.377  z  NULL 240.6000000 101.2000000
OBS: 53995.377  u  NULL 42.3500000 46.5600000
OBS: 54000.338  g  NULL 403.8000000 19.7400000
OBS: 54000.338  r  NULL 400.3000000 26.6100000
OBS: 54000.338  i  NULL 389.6000000 45.8800000
OBS: 54000.338  z  NULL 371.3000000 146.7000000
OBS: 54000.338  u  NULL 19.2900000 56.4900000
OBS: 54006.285  g  NULL 246.7000000 14.5900000
OBS: 54006.285  r  NULL 252.9000000 19.4400000
OBS: 54006.285  i  NULL 408.5000000 32.8900000
OBS: 54006.285  z  NULL 342.5000000 85.9600000
OBS: 54006.285  u  NULL 63.6800000 46.0100000
OBS: 54007.388  g  NULL 247.4000000 18.7500000
OBS: 54007.388  r  NULL 385.5000000 30.2700000
OBS: 54007.388  i  NULL 342.6000000 54.4800000
OBS: 54007.388  z  NULL -61.9400000 151.6000000
OBS: 54007.388  u  NULL 25.6700000 128.5000000
OBS: 54009.312  g  NULL 217.0000000 16.8600000
OBS: 54009.312  r  NULL 313.5000000 23.7600000
OBS: 54009.312  i  NULL 347.4000000 37.7100000
OBS: 54009.312  z  NULL 119.9000000 108.1000000
OBS: 54009.312  u  NULL -59.2400000 51.6900000
OBS: 54011.377  g  NULL 200.2000000 13.9000000
OBS: 54011.377  r  NULL 324.0000000 22.1600000
OBS: 54011.377  i  NULL 352.3000000 32.9900000
OBS: 54011.377  z  NULL 271.7000000 87.1700000
OBS: 54011.377  u  NULL -56.4000000 44.3200000
OBS: 54021.381  g  NULL -13.2700000 21.2700000
OBS: 54021.381  r  NULL 133.4000000 24.8600000
OBS: 54021.381  i  NULL 156.7000000 37.0600000
OBS: 54021.381  z  NULL 544.2000000 96.0400000
OBS: 54021.381  u  NULL 27.3400000 62.5400000
OBS: 54025.376  g  NULL 45.2200000 22.0300000
OBS: 54025.376  r  NULL 148.9000000 32.7500000
OBS: 54025.376  i  NULL 200.9000000 48.7600000
OBS: 54025.376  z  NULL 76.0600000 198.5000000
OBS: 54025.376  u  NULL 110.4000000 68.0500000
OBS: 54029.306  g  NULL 46.9100000 17.6000000
OBS: 54029.306  r  NULL 86.7600000 32.6800000
OBS: 54029.306  i  NULL 176.2000000 44.4900000
OBS: 54029.306  z  NULL 181.0000000 132.4000000
OBS: 54029.306  u  NULL -29.5300000 49.1200000
OBS: 54031.293  g  NULL 24.1500000 14.3100000
OBS: 54031.293  r  NULL 109.6000000 22.9900000
OBS: 54031.293  i  NULL 154.2000000 36.1900000
OBS: 54031.293  z  NULL 54.0100000 112.3000000
OBS: 54031.293  u  NULL -62.8300000 43.0800000
OBS: 54036.297  g  NULL 37.0100000 20.0100000
OBS: 54036.297  r  NULL 30.8400000 39.8500000
OBS: 54036.297  i  NULL 136.9000000 48.8900000
OBS: 54036.297  z  NULL -162.6000000 233.3000000
OBS: 54036.297  u  NULL -67.6000000 72.8900000
OBS: 54039.295  g  NULL 0.7900000 23.6400000
OBS: 54039.295  r  NULL 73.3900000 30.6200000
OBS: 54039.295  i  NULL 62.4800000 47.0600000
OBS: 54039.295  z  NULL 98.3700000 117.7000000
OBS: 54039.295  u  NULL 27.4500000 58.9900000
OBS: 54041.266  g  NULL 92.8100000 38.9900000
OBS: 54041.266  r  NULL 112.4000000 41.6100000
OBS: 54041.266  i  NULL 62.7500000 54.1300000
OBS: 54041.266  z  NULL 174.2000000 114.9000000
OBS: 54041.266  u  NULL 100.1000000 101.4000000
OBS: 54048.290  g  NULL 22.2100000 29.7900000
OBS: 54048.290  r  NULL 29.3900000 29.5800000
OBS: 54048.290  i  NULL 98.3900000 37.6300000
OBS: 54048.290  z  NULL 49.1000000 86.5000000
OBS: 54048.290  u  NULL 32.9000000 73.9700000
OBS: 54052.293  g  NULL 9.3500000 21.8800000
OBS: 54052.293  r  NULL 16.8400000 32.6600000
OBS: 54052.293  i  NULL 80.4100000 53.8500000
OBS: 54052.293  z  NULL -24.9400000 173.7000000
OBS: 54052.293  u  NULL 9.0100000 56.3000000
OBS: 54055.290  g  NULL 38.7900000 18.7900000
OBS: 54055.290  r  NULL 9.1400000 29.0300000
OBS: 54055.290  i  NULL 56.1600000 47.5500000
OBS: 54055.290  z  NULL 337.3000000 133.4000000
OBS: 54055.290  u  NULL 85.6700000 63.7400000
OBS: 54058.288  g  NULL 23.6000000 18.4600000
OBS: 54058.288  r  NULL 21.3000000 28.4300000
OBS: 54058.288  i  NULL 61.1700000 48.5200000
OBS: 54058.288  z  NULL -31.0400000 130.3000000
OBS: 54058.288  u  NULL -8.5700000 50.7800000
OBS: 54060.309  g  NULL 28.6900000 16.1900000
OBS: 54060.309  r  NULL 70.0500000 28.7800000
OBS: 54060.309  i  NULL 103.7000000 65.5700000
OBS: 54060.309  z  NULL 71.9400000 123.5000000
OBS: 54060.309  u  NULL 26.2300000 57.7900000
OBS: 54063.278  g  NULL -3.4000000 14.1500000
OBS: 54063.278  r  NULL 53.3000000 23.0000000
OBS: 54063.278  i  NULL 37.0300000 40.9800000
OBS: 54063.278  z  NULL 150.3000000 122.2000000
OBS: 54063.278  u  NULL 29.1000000 44.7600000
END_PHOTOMETRY:

# =============================================
