SURVEY: SNLS
SNID: 06D3bz
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 214.29184 deg
DECL: 53.024826 deg
MWEBV: 0.0091 MW E(B-V)
REDSHIFT_HELIO: 0.727 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.727 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53776.329
FILTERS: griz
SNR: [ 2.0000e-02  1.1162e+01  1.1578e+01  8.4680e+00  2.0470e+00  1.1170e+00
  8.3400e-01  5.4900e-01  1.4970e+00 -9.0000e+00 -9.0000e+00  3.7000e-02
OBS: 53848.470  z  NULL 9.4580000 4.7040000
OBS: 53855.450  z  NULL 7.0470000 2.9380000
OBS: 53859.400  z  NULL 3.9530000 2.5100000
OBS: 53875.410  z  NULL 7.4620000 3.7070000
OBS: 53883.420  z  NULL 7.9570000 4.6560000
OBS: 53892.410  z  NULL 4.5140000 2.1390000
OBS: 53906.400  z  NULL -2.9040000 5.2980000
OBS: 53915.380  z  NULL 3.9890000 5.1470000
OBS: 53919.270  z  NULL 2.1350000 2.8010000
END_PHOTOMETRY:

# =============================================
