SURVEY: SNLS
SNID: 05D1cb
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 36.737733 deg
DECL: -4.117567 deg
MWEBV: 0.0282 MW E(B-V)
REDSHIFT_HELIO: 0.632 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.632 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53617.137
FILTERS: griz
SNR: [ 2.4250e+00  7.3600e-01  2.1713e+01  2.0767e+01  7.4020e+00  8.1040e+00
  1.9200e-01  9.9100e-01  2.3800e+00 -9.0000e+00  1.3650e+00 -9.0000e+00
OBS: 53734.280  g  NULL 0.2270000 0.6520000
OBS: 53739.290  g  NULL -1.2000000 1.3610000
OBS: 53767.220  g  NULL -2.0400000 1.1080000
OBS: 53586.560  i  NULL -0.2360000 0.9620000
OBS: 53592.580  i  NULL 2.6070000 1.9400000
OBS: 53609.520  i  NULL 48.0850000 1.4010000
OBS: 53613.520  i  NULL 50.2900000 2.3400000
OBS: 53617.570  i  NULL 54.8820000 1.2820000
OBS: 53622.470  i  NULL 50.5600000 1.9950000
OBS: 53624.490  i  NULL 46.4550000 1.1730000
OBS: 53639.530  i  NULL 25.1980000 1.1840000
OBS: 53642.430  i  NULL 18.6450000 1.8740000
OBS: 53647.540  i  NULL 13.4160000 1.5890000
OBS: 53648.420  i  NULL 18.8020000 2.1240000
OBS: 53651.410  i  NULL 12.0510000 1.8100000
OBS: 53655.420  i  NULL 11.9650000 1.4120000
OBS: 53666.410  i  NULL 3.3470000 2.3170000
OBS: 53667.430  i  NULL 5.3040000 1.1800000
OBS: 53670.320  i  NULL 2.9900000 2.0430000
OBS: 53674.390  i  NULL 5.0310000 1.3070000
OBS: 53678.350  i  NULL 0.3140000 2.1310000
OBS: 53682.320  i  NULL 5.5750000 4.2280000
OBS: 53699.290  i  NULL 2.8390000 1.1000000
OBS: 53702.290  i  NULL 3.0990000 1.9140000
OBS: 53705.290  i  NULL 3.5880000 1.0620000
OBS: 53711.280  i  NULL 2.5660000 1.9630000
OBS: 53726.280  i  NULL 1.8270000 0.8270000
OBS: 53730.320  i  NULL 5.2330000 2.1580000
OBS: 53734.250  i  NULL 3.6030000 0.9120000
OBS: 53739.260  i  NULL 3.2090000 1.3820000
OBS: 53766.250  i  NULL 0.0730000 1.7660000
OBS: 53769.230  i  NULL 1.6720000 1.1500000
OBS: 53586.600  r  NULL -3.1470000 0.8650000
OBS: 53592.560  r  NULL 2.9110000 1.1880000
OBS: 53609.560  r  NULL 41.1040000 1.9000000
OBS: 53613.550  r  NULL 51.1790000 1.1160000
OBS: 53617.520  r  NULL 45.9340000 1.0550000
OBS: 53622.500  r  NULL 41.8510000 1.6120000
OBS: 53624.530  r  NULL 37.2200000 1.1030000
OBS: 53639.570  r  NULL 15.7650000 1.4770000
OBS: 53642.460  r  NULL 11.0400000 1.4970000
OBS: 53648.450  r  NULL 6.7050000 1.1220000
OBS: 53651.440  r  NULL 5.2100000 1.3640000
OBS: 53655.520  r  NULL 3.0340000 1.8820000
OBS: 53666.460  r  NULL -0.2680000 6.0860000
OBS: 53667.470  r  NULL 2.8900000 1.3550000
OBS: 53670.340  r  NULL 1.5220000 1.2870000
OBS: 53674.480  r  NULL 1.6790000 1.7560000
OBS: 53675.380  r  NULL 3.0670000 1.1800000
OBS: 53678.370  r  NULL 0.8950000 1.2230000
OBS: 53698.460  r  NULL 2.4740000 1.1160000
OBS: 53702.340  r  NULL -0.4730000 0.9600000
OBS: 53705.330  r  NULL 1.7900000 0.7120000
OBS: 53711.360  r  NULL 3.1570000 1.8570000
OBS: 53726.320  r  NULL 0.3480000 1.0190000
OBS: 53730.350  r  NULL 2.0640000 1.5880000
OBS: 53734.310  r  NULL 2.0840000 1.0130000
OBS: 53739.310  r  NULL -2.7610000 1.4760000
OBS: 53766.290  r  NULL 2.0520000 2.0340000
OBS: 53769.270  r  NULL 1.7950000 1.0660000
OBS: 53609.600  z  NULL 46.0970000 3.1640000
OBS: 53613.610  z  NULL 50.7120000 2.7200000
OBS: 53617.480  z  NULL 56.0600000 2.4890000
OBS: 53624.580  z  NULL 49.8040000 3.1250000
OBS: 53639.600  z  NULL 30.5450000 3.5330000
OBS: 53642.510  z  NULL 31.4760000 3.5860000
OBS: 53648.510  z  NULL 35.2520000 3.2380000
OBS: 53655.490  z  NULL 24.5910000 3.8340000
OBS: 53668.360  z  NULL 10.3130000 3.3390000
OBS: 53675.490  z  NULL 10.3400000 2.8400000
OBS: 53699.350  z  NULL 5.6470000 2.0660000
OBS: 53705.390  z  NULL 9.0210000 1.8390000
OBS: 53726.380  z  NULL -1.0680000 3.0250000
OBS: 53734.340  z  NULL 1.0040000 3.5220000
OBS: 53739.350  z  NULL 3.9420000 3.0130000
END_PHOTOMETRY:

# =============================================
