SURVEY: DES
SNID: 1306785
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 101
MASK_FLUXCOR_SNANA: 3
RA: 33.793709               # deg
DECL: -4.522241               # deg
MWEBV: 0.019                    # MW E(B-V)
MWEBV_ERR: 0.001                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 57273.012
REDSHIFT_FINAL: 0.5787 +-  0.0050    # (CMB)
REDSHIFT_HELIO: 0.5800 +-  0.0050    # (HELIO)
HOSTGAL_OBJID: 14572
HOSTGAL_PHOTOZ: 0.6427 +-  0.0249   # (HELIO)
HOSTGAL_SPECZ: 0.5767 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: 0.8900              # arcSec
HOSTGAL_LOGMASS: 10.9890 +-  0.0835 # log10(M/Msolar)
HOSTGAL_MAG: 23.85    22.07    21.13    20.66    # griz
HOSTGAL_SB_FLUXCAL: 4.14    24.16    52.07    75.56    # griz
PRIVATE(DES_mjd_latest_ml): 57286.213
PRIVATE(DES_mjd_trigger): 57278.203
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z'
 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'z' 'g' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.865 30.817 31.076 30.751 30.769 30.8   31.057 30.772 31.119 30.792
 30.705 30.799 30.935 30.524 30.829 30.795 31.055 30.726 30.781 30.799
 31.072 30.764 30.729 30.758 30.937 30.538 30.533 30.673 30.986 30.683
 30.223 30.076 29.892 29.57  30.8   30.796 31.046 30.734 30.753 30.793
 31.04  30.734]
PSF: [4.24  3.98  3.66  3.857 2.87  2.57  2.52  2.335 4.24  3.716 3.53  3.29
 3.11  2.793 3.53  3.88  2.95  2.965 2.71  2.47  2.48  2.395 3.37  3.26
 3.75  4.253 3.61  3.28  3.23  3.199 2.8   2.68  2.65  2.434 3.02  2.66
 2.77  2.346 3.18  3.14  3.4   3.265]
SKYSIG: [ 8.19 12.01 22.22 21.36  8.24 13.04 23.85 23.52 22.87 20.35  8.   11.42
 20.12 18.29  7.9  11.4  19.44 17.47  7.98 11.65 18.75 17.2   8.94 12.27
 20.66 19.07 29.41 28.69 44.03 30.83  9.44 14.13 22.5  20.49  8.13 12.46
 18.   15.85  8.12 12.14 21.07 19.09]
GAIN: [3.62  3.51  3.71  3.869 3.64  3.53  3.69  3.86  3.64  3.866 3.63  3.53
 3.63  3.875 3.55  3.56  3.62  3.851 3.59  3.52  3.66  3.885 3.63  3.5
 3.61  3.89  3.88  3.89  3.75  3.82  3.72  3.59  3.77  3.947 3.63  3.53
 3.64  3.9   3.63  3.52  3.66  3.93 ]
PHOTFLAG: [    0     0     0     0     0     0     0     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0
     0     0 32768     0     0     0 65536 65536     0     0     0     0
     0     0     0     0     0     0]
PHOTPROB: [0.96 0.94 0.97 1.08 1.01 0.97 0.74 0.88 0.86 1.01 1.06 0.96 0.99 0.91
 0.99 0.93 0.92 0.94 0.98 0.92 0.94 1.08 1.07 0.9  0.88 1.02 0.98 0.99
 0.97 0.91 0.92 1.   0.93 0.97 1.04 1.03 0.9  0.95 0.96 1.   1.08 1.04]
SPECTRA: {}

NOBS: 42
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 57248.419  g  NULL 8.5740000 8.2427000
OBS: 57248.421  r  NULL -7.9120000 13.0790000
OBS: 57248.423  i  NULL 13.7950000 18.7260000
OBS: 57248.426  z  NULL -17.1310000 27.6590000
OBS: 57252.267  g  NULL 0.0750000 5.6756000
OBS: 57252.269  r  NULL 5.6280000 8.4517000
OBS: 57252.272  i  NULL 4.0290000 12.7740000
OBS: 57252.274  z  NULL 13.1950000 16.5200000
OBS: 57256.269  i  NULL 8.3766000 23.0080000
OBS: 57256.271  z  NULL -35.3260000 24.2570000
OBS: 57257.254  g  NULL 14.6940000 6.5036000
OBS: 57257.256  r  NULL 2.8100000 9.8543000
OBS: 57257.258  i  NULL 7.1622000 15.0730000
OBS: 57257.261  z  NULL 13.6630000 19.5520000
OBS: 57276.368  g  NULL 24.9440000 6.2663000
OBS: 57276.370  r  NULL 55.9190000 11.5360000
OBS: 57276.373  i  NULL 68.4810000 13.1350000
OBS: 57276.375  z  NULL 82.0930000 17.1080000
OBS: 57278.203  g  NULL 27.4680000 5.1889000
OBS: 57278.205  r  NULL 72.3840000 8.1469000
OBS: 57278.208  i  NULL 63.3860000 10.4160000
OBS: 57278.210  z  NULL 72.0260000 12.1840000
OBS: 57286.210  g  NULL 12.1610000 7.7921000
OBS: 57286.213  r  NULL 77.2030000 11.1850000
OBS: 57286.215  i  NULL 85.1180000 21.4570000
OBS: 57286.217  z  NULL 40.8400000 33.6410000
