SURVEY: DES
SNID: 1337228
IAUC: NULL
FILTERS: griz
FAKE: 0
TYPE: 1
MASK_FLUXCOR_SNANA: 3
RA: 7.524775               # deg
DECL: -43.034130               # deg
MWEBV: 0.005                    # MW E(B-V)
MWEBV_ERR: 0.000                    # MW E(B-V)
PIXSIZE: 0.2700                    # arcSec
PEAKMJD: 57354.145
REDSHIFT_FINAL: 0.5788 +-  0.0050    # (CMB)
REDSHIFT_HELIO: 0.5800 +-  0.0050    # (HELIO)
HOSTGAL_OBJID: 42172
HOSTGAL_PHOTOZ: 0.6061 +-  0.0639   # (HELIO)
HOSTGAL_SPECZ: 0.5787 +- -9.0000   # (HELIO)
HOSTGAL_SNSEP: 0.4600              # arcSec
HOSTGAL_LOGMASS: 10.3410 +-  1.7890 # log10(M/Msolar)
HOSTGAL_MAG: 24.19    23.10    22.69    22.56    # griz
HOSTGAL_SB_FLUXCAL: 3.60    11.77    17.84    21.36    # griz
PRIVATE(DES_mjd_latest_ml): 57372.038
PRIVATE(DES_mjd_trigger): 57355.144
BAND: ['g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'r' 'i'
 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r'
 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z' 'g' 'r' 'i' 'z']
ZPFLUX: [30.718 30.726 30.971 30.66  30.715 30.721 30.957 30.634 30.721 30.723
 30.959 30.635 30.698 30.71  30.955 30.688 30.414 30.919 30.592 30.671
 30.706 30.944 30.636 30.719 30.694 30.855 30.538 30.063 30.808 30.587
 30.589 30.72  30.965 30.64  30.72  30.73  30.977 30.627 30.723 30.721
 30.954 30.616 30.708 30.72  30.939 30.544 30.594 30.588 30.796 30.485
 30.636 30.668 30.91  30.519]
PSF: [2.39  2.04  1.94  2.179 2.83  2.92  2.26  2.384 2.05  1.96  1.77  1.67
 3.14  3.    2.77  2.687 1.46  1.52  1.459 2.01  1.95  1.65  1.506 2.28
 2.14  1.83  1.649 1.79  1.76  1.624 4.15  3.49  3.71  3.528 2.33  2.15
 1.98  1.872 2.07  1.92  1.84  1.839 2.66  2.45  2.4   2.033 3.5   3.06
 2.8   2.559 2.16  2.05  1.93  1.767]
SKYSIG: [ 7.52 12.12 22.42 23.09  7.76 11.79 23.18 24.03  7.7  10.6  17.39 17.48
  8.68 11.58 21.18 21.96 17.92 23.89 23.75 19.59 19.11 26.61 24.36  9.04
 10.93 18.83 17.42 19.84 24.14 19.77 21.56 21.49 28.42 23.37 26.56 24.3
 31.52 26.35 12.17 14.15 26.42 25.27  7.82 11.15 21.14 20.74  8.97 12.59
 21.65 22.28 26.08 24.73 29.68 22.22]
GAIN: [3.92  3.96  4.04  3.95  3.92  3.99  4.04  3.93  3.94  3.92  3.99  3.93
 3.98  3.96  4.03  3.93  4.02  4.02  3.94  4.17  4.03  4.07  3.945 4.02
 3.97  4.    3.955 4.12  4.03  3.987 4.15  4.07  4.06  3.949 4.18  4.08
 4.09  3.975 4.1   4.01  4.01  3.94  3.94  4.01  4.03  3.966 4.02  4.02
 4.03  3.945 4.18  4.07  4.09  3.97 ]
PHOTFLAG: [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
PHOTPROB: [1.02 0.94 0.99 1.02 1.12 1.07 0.97 0.96 0.98 1.11 0.98 0.93 1.03 1.03
 0.95 1.07 1.19 0.87 1.   1.05 1.01 1.04 0.99 0.84 0.98 1.05 0.96 1.01
 1.14 0.92 0.88 0.95 0.99 0.96 1.03 0.97 0.96 1.   1.12 1.06 1.03 1.
 0.9  0.94 1.09 0.97 1.11 1.1  1.01 1.11 0.96 1.09 1.01 0.99]
SPECTRA: {}

NOBS: 54
NVAR: 6
VARLIST:  MJD	FLT FIELD	FLUXCAL	  FLUXCALERR

OBS: 57325.023  g  NULL -6.0530000 3.9445000
OBS: 57325.025  r  NULL 2.9620000 7.1709000
OBS: 57325.027  i  NULL -7.4360000 7.6612000
OBS: 57325.030  z  NULL 3.4260000 12.2550000
OBS: 57329.015  g  NULL 5.5390000 4.9391000
OBS: 57329.017  r  NULL 1.5980000 9.1703000
OBS: 57329.019  i  NULL -9.2770000 9.5091000
OBS: 57329.022  z  NULL 11.3190000 14.6720000
OBS: 57334.188  g  NULL -1.1190000 3.5593000
OBS: 57334.190  r  NULL 4.9228000 6.6098000
OBS: 57334.192  i  NULL 3.1461000 5.8386000
OBS: 57334.195  z  NULL 4.3396000 7.7866000
OBS: 57339.019  g  NULL 0.6016900 6.2209000
OBS: 57339.021  r  NULL 29.6710000 9.2909000
OBS: 57339.023  i  NULL -0.8280000 11.2330000
OBS: 57339.025  z  NULL 15.9330000 14.2840000
OBS: 57344.036  r  NULL 35.1810000 9.8351000
OBS: 57344.038  i  NULL 23.4220000 7.4625000
OBS: 57344.041  z  NULL 38.1000000 8.8906000
OBS: 57355.142  g  NULL 20.8420000 10.3390000
OBS: 57355.144  r  NULL 57.4280000 10.9900000
OBS: 57355.146  i  NULL 51.9050000 8.8560000
OBS: 57355.149  z  NULL 58.2580000 9.1206000
OBS: 57365.036  g  NULL 5.7084000 4.6605000
OBS: 57365.039  r  NULL 61.9260000 7.4002000
OBS: 57365.041  i  NULL 57.2290000 7.7966000
OBS: 57365.044  z  NULL 42.4900000 8.3386000
OBS: 57372.034  r  NULL 15.7430000 29.1410000
OBS: 57372.036  i  NULL 47.8640000 9.4306000
OBS: 57372.039  z  NULL 44.1080000 8.7129000
OBS: 57376.040  g  NULL -27.4880000 21.3590000
OBS: 57376.042  r  NULL 9.8070000 19.6530000
