SURVEY: SNLS
SNID: 05D1az
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 36.302108 deg
DECL: -4.602335 deg
MWEBV: 0.024 MW E(B-V)
REDSHIFT_HELIO: 0.842 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.842 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53603.741
FILTERS: griz
OBS: 53731.320  g  NULL -1.3210000 1.0810000
OBS: 53734.280  g  NULL 0.1870000 0.6790000
OBS: 53739.290  g  NULL -1.4340000 1.4050000
OBS: 53767.220  g  NULL -0.0930000 1.2350000
OBS: 53948.610  g  NULL 0.9080000 0.9030000
OBS: 53967.600  g  NULL -0.6860000 0.8990000
OBS: 53971.530  g  NULL -0.0670000 0.8030000
OBS: 53586.560  i  NULL 27.1830000 0.8890000
OBS: 53592.580  i  NULL 30.9470000 2.1180000
OBS: 53609.520  i  NULL 38.5740000 1.4090000
OBS: 53613.520  i  NULL 35.1210000 2.2240000
OBS: 53617.570  i  NULL 30.3150000 1.1750000
OBS: 53622.470  i  NULL 27.8730000 1.9430000
OBS: 53624.490  i  NULL 24.7240000 1.0890000
OBS: 53639.530  i  NULL 10.6740000 1.1880000
OBS: 53642.430  i  NULL 7.3920000 1.9080000
OBS: 53647.550  i  NULL 5.6690000 1.5710000
OBS: 53648.420  i  NULL 6.1470000 1.7550000
OBS: 53651.410  i  NULL 5.6880000 1.9100000
OBS: 53655.420  i  NULL 7.0090000 1.3110000
OBS: 53666.410  i  NULL 0.6230000 2.4960000
OBS: 53667.430  i  NULL 2.0760000 1.1570000
OBS: 53670.320  i  NULL 7.1650000 1.9490000
OBS: 53674.390  i  NULL 4.0300000 1.3980000
OBS: 53678.350  i  NULL 3.4760000 2.1240000
OBS: 53682.320  i  NULL 6.5240000 4.4350000
OBS: 53699.290  i  NULL 1.4080000 1.0810000
OBS: 53702.290  i  NULL 3.9380000 1.9860000
OBS: 53705.300  i  NULL 0.1900000 1.0730000
OBS: 53711.280  i  NULL 1.7150000 1.8740000
OBS: 53726.280  i  NULL 0.8510000 0.8880000
OBS: 53730.320  i  NULL 2.9020000 2.1320000
OBS: 53734.250  i  NULL 1.2530000 0.8750000
OBS: 53739.260  i  NULL 1.7410000 1.4660000
OBS: 53766.250  i  NULL -3.0150000 1.7420000
OBS: 53769.230  i  NULL 4.0570000 1.2270000
OBS: 53944.600  i  NULL 5.3960000 2.1560000
OBS: 53946.610  i  NULL -4.8910000 4.0450000
OBS: 53963.540  i  NULL -2.4300000 1.1710000
OBS: 53967.560  i  NULL 0.8660000 1.5920000
OBS: 53970.540  i  NULL 2.8380000 0.9300000
OBS: 53586.600  r  NULL 17.9500000 0.8750000
OBS: 53592.560  r  NULL 21.7090000 1.1060000
OBS: 53609.560  r  NULL 15.2520000 1.6440000
OBS: 53613.550  r  NULL 14.7890000 0.9970000
OBS: 53617.520  r  NULL 11.4740000 0.7620000
OBS: 53622.500  r  NULL 7.7940000 1.3800000
OBS: 53624.530  r  NULL 7.2710000 0.9840000
OBS: 53639.570  r  NULL 4.2990000 1.3260000
OBS: 53642.460  r  NULL 3.6010000 1.3620000
OBS: 53648.450  r  NULL 0.8170000 1.0030000
OBS: 53651.440  r  NULL 1.5240000 1.2080000
OBS: 53655.520  r  NULL 2.4770000 1.5600000
OBS: 53666.460  r  NULL 9.3980000 5.7370000
OBS: 53667.470  r  NULL -0.0160000 1.1480000
OBS: 53670.340  r  NULL 0.7280000 1.0230000
OBS: 53674.480  r  NULL 0.1600000 1.5570000
OBS: 53675.380  r  NULL 1.1630000 1.0490000
OBS: 53678.370  r  NULL 1.1950000 1.0780000
OBS: 53698.460  r  NULL 1.0950000 1.0320000
OBS: 53702.340  r  NULL -1.3940000 0.9200000
OBS: 53705.330  r  NULL 1.0760000 0.6610000
OBS: 53711.360  r  NULL 5.4490000 1.7170000
OBS: 53726.320  r  NULL 0.2850000 0.9100000
OBS: 53730.350  r  NULL -0.5970000 1.3050000
OBS: 53734.310  r  NULL 0.0160000 0.8380000
OBS: 53739.310  r  NULL 0.4890000 1.3890000
OBS: 53766.290  r  NULL 1.6670000 1.7030000
OBS: 53769.270  r  NULL 0.7110000 1.0660000
OBS: 53948.590  r  NULL 0.0960000 1.1020000
OBS: 53963.590  r  NULL 1.0890000 1.0800000
OBS: 53967.580  r  NULL -0.0430000 0.9370000
OBS: 53970.600  r  NULL -1.5870000 0.7430000
OBS: 53609.600  z  NULL 38.8210000 3.6110000
OBS: 53613.610  z  NULL 35.7930000 3.1060000
OBS: 53617.480  z  NULL 36.5080000 2.7960000
OBS: 53624.580  z  NULL 22.1490000 3.4140000
OBS: 53639.600  z  NULL 19.6740000 3.8670000
OBS: 53642.510  z  NULL 16.1620000 3.9770000
OBS: 53648.510  z  NULL 10.7310000 3.7260000
OBS: 53655.490  z  NULL 6.1260000 4.2420000
OBS: 53668.360  z  NULL 1.8990000 3.9910000
OBS: 53675.490  z  NULL 4.0960000 3.2420000
OBS: 53699.350  z  NULL -2.1750000 2.3190000
OBS: 53705.390  z  NULL 8.5690000 2.1930000
OBS: 53726.380  z  NULL 2.2480000 3.5350000
OBS: 53734.340  z  NULL 5.3740000 4.2090000
OBS: 53739.350  z  NULL 0.4950000 3.3220000
OBS: 53963.620  z  NULL -6.5000000 3.7990000
OBS: 53971.590  z  NULL 3.3680000 3.3220000
END_PHOTOMETRY:

# =============================================
