SURVEY: SNLS
SNID: 05D3mh
IAUC: UNKNOWN
PHOTOMETRY_VERSION: JLA2014_SNLS
RA: 214.749304 deg
DECL: 52.66756 deg
MWEBV: 0.0092 MW E(B-V)
REDSHIFT_HELIO: 0.67 +- 0.001    (HELIO)
REDSHIFT_FINAL: 0.67 +- 0.001    (HELIO)
REDSHIFT_Status: warning: redshift err fudged
SEARCH_PEAKMJD: 53558.798
FILTERS: griz
OBS: 53586.260  r  NULL 6.9390000 1.9950000
OBS: 53737.630  r  NULL 0.3310000 1.0780000
OBS: 53743.650  r  NULL 3.0380000 0.8500000
OBS: 53766.640  r  NULL -0.1890000 0.9320000
OBS: 53769.560  r  NULL -1.3620000 1.7680000
OBS: 53772.640  r  NULL 4.7270000 2.7610000
OBS: 53791.620  r  NULL -1.7180000 1.4960000
OBS: 53799.450  r  NULL 0.7660000 1.1430000
OBS: 53848.440  r  NULL 2.4860000 1.6680000
OBS: 53851.400  r  NULL -0.4980000 1.1450000
OBS: 53855.390  r  NULL 3.1520000 1.1440000
OBS: 53859.350  r  NULL 1.9660000 1.2540000
OBS: 53875.510  r  NULL 1.1480000 2.5740000
OBS: 53879.290  r  NULL -0.2450000 1.2470000
OBS: 53883.370  r  NULL 0.6910000 1.4020000
OBS: 53888.380  r  NULL 1.9000000 1.4220000
OBS: 53892.350  r  NULL 3.1170000 1.5700000
OBS: 53519.340  z  NULL 5.5980000 4.3240000
OBS: 53527.380  z  NULL 1.3150000 3.0110000
OBS: 53534.380  z  NULL -0.1620000 4.6180000
OBS: 53551.350  z  NULL 41.1440000 3.4010000
OBS: 53552.370  z  NULL 45.5730000 5.4620000
OBS: 53558.340  z  NULL 48.4950000 3.2830000
OBS: 53564.260  z  NULL 7.3330000 13.9130000
OBS: 53565.350  z  NULL 38.8260000 4.5950000
OBS: 53799.570  z  NULL -2.6390000 3.9190000
OBS: 53848.470  z  NULL -2.5800000 5.6760000
OBS: 53855.440  z  NULL 0.3950000 4.1180000
OBS: 53859.390  z  NULL -2.6020000 3.5390000
OBS: 53875.400  z  NULL 0.9080000 5.1560000
OBS: 53883.420  z  NULL -5.6110000 5.5960000
OBS: 53892.410  z  NULL 0.5730000 2.6670000
END_PHOTOMETRY:

# =============================================
